Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2004,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2005,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2006,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2007,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2008,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2009,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2010,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2011,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2012,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2013,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2014,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2015,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2016,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2017,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2018,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2019,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2020,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2021,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
2022,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,0,0,
