Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,17857,13,39346,5.90,14507,10,38685,3.75,,,,
2004,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,20738,11,33795,6.75,18550,8,38051,3.90,,,,
2005,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,27684,11,40603,7.50,27797,8,44475,5.00,,,,
2006,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,33910,11,39264,9.50,36351,8,41544,7.00,,,,
2007,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,18923,11,34236,6.08,15163,8,29731,4.08,,,,
2008,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,25691,11,45216,6.25,26884,8,40966,5.25,,,,
2009,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,28170,10,48991,5.75,25274,8,40438,5.00,,,,
2010,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,29669,10,51598,5.75,26333,8,42133,5.00,,,,
2011,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,32597,10,49766,6.55,28042,8,44423,5.05,,,,
2012,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,34047,10,50440,6.75,28279,8,44798,5.05,,,,
2013,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,35983,10,53308,6.75,29492,8,46720,5.05,,,,
2014,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,37349,10,55332,6.75,30215,8,47865,5.05,,,,
2015,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,34794,10,53121,7.00,28274,8,44791,5.00,,,,
2016,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,41433,9,56500,6.60,33274,8,49756,5.35,,,,
2017,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,43348,9,59111,6.60,34993,8,49990,5.60,,,,
2018,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,43449,9,59249,6.60,37484,8,53549,5.60,,,,
2019,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,45518,9,62070,6.60,37546,8,53637,5.60,,,,
2020,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,41768,7,57329,5.10,38118,9,50824,6.75,,,,
2021,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,46996,9,60423,7.00,37501,9,48216,7.00,,,,
2022,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,51777,9,66571,7.00,41216,9,52993,7.00,,,,
