Date,Loc,Opponent,W/L,Score,Singles,Singles,Singles,Singles,Singles,Singles,Doubles,Doubles,Doubles,Rankings,Rankings
Date,Loc,Opponent,W/L,Score,1,2,3,4,5,6,1,2,3,Nation,Region
9/17/23,,"Cornell Invitational - Mount Vernon, Iowa",,,,,,,,,,,,,
9/29/23,,"2023 ITA Midwest Championships - St Peter, Minn.",,,,,,,,,,,,,
2/4/24,,Augustana,W,9-0,W,W,W,W,W,W,W,W,W,#36,
2/4/24,,Iowa Central CC,W,5-4,L,W,W,L,W,L,L,W,W,,
2/10/24,vs,Wheaton College (Ill.),W,6-3,L,W,W,L,W,W,W,L,W,#36,
2/10/24,vs,Luther College,W,5-4,W,L,W,W,L,L,L,W,W,#36,
2/11/24,at,UW-Whitewater (#25),L,3-6,L,L,W,L,L,W,L,W,L,#36,
2/17/24,vs,Bethel (MN),W,8-1,W,L,W,W,W,W,W,W,W,#36,
2/17/24,at,Gustavus Adolphus (#12),L,0-9,L,L,L,L,L,L,L,L,L,#36,
2/18/24,at,Macalester College,W,8-1,W,W,W,W,W,L,W,W,W,#36,
2/24/24,at,UW-Eau Claire,W,8-1,L,W,W,W,W,W,W,W,W,#36,
3/2/24,,Morningside University,W,5-4,W,W,L,L,W,L,W,W,L,#36,
3/9/24,,Central,W,9-0,W,W,W,W,W,W,W,W,W,#36,
3/15/24,vs,Carthage College,W,5-4,L,W,L,W,W,L,W,L,W,#38,
3/18/24,vs,Frostburg State,W,5-2,L,W,W,W,L,W,L,W,W,#38,
3/18/24,vs,College of Wooster,W,8-1,W,W,W,L,W,W,W,W,W,#38,
3/21/24,vs,Carleton,W,7-2,W,L,L,W,W,W,W,W,W,#38,
3/21/24,at,Western New England University,W,9-0,W,W,W,W,W,W,W,W,W,,
3/25/24,vs,UW-Whitewater (#22),L,3-6,W,L,W,L,L,W,L,L,L,#38,
3/25/24,vs,Oberlin College Tennis,W,8-1,W,L,W,W,W,W,W,W,W,#38,
4/6/24,,Illinois College,W,9-0,W,W,W,W,W,W,W,W,W,#27,
4/6/24,,Monmouth College,W,9-0,W,W,W,W,W,W,W,W,W,#27,
4/13/24,,Lake Forest,W,8-1,L,W,W,W,W,W,W,W,W,#31,#9
4/14/24,,Cornell College,W,8-1,W,W,W,W,W,W,W,L,W,#29,#9
4/20/24,at,Lawrence University,W,9-0,W,W,W,W,W,W,W,W,W,#34,#9
4/20/24,at,Ripon,W,9-0,W,W,W,W,W,W,W,W,W,#34,#9
4/21/24,,Coe College,W,8-1,W,W,W,W,W,W,W,W,L,#34,#9
4/26/24,vs,Lawrence University,W,5-0,u,u,W,u,u,W,W,W,W,#35,#9
4/26/24,vs,Lake Forest,W,5-2,L,u,W,u,W,W,W,L,W,#35,#9
4/27/24,,"2024 Midwest Conference Tournament - Madison, Wis.",,,,,,,,,,,,,
5/10/24,vs,Ohio Northern,W,5-1,W,u,u,W,W,u,W,L,W,#32,#9
5/11/24,vs,Denison University (#11),L,0-5,u,L,u,u,L,u,L,L,L,#32,#9
