Singles,Overall,1,2,3,4,5,6,Streak,Last 10,vs Ranked,vs Ranked
Singles,Overall,1,2,3,4,5,6,Streak,Last 10,Nat'l,Reg'l
"Bostoen, Albert",2-0,1-0,—,—,—,1-0,—,W 2,2-0,0-0,0-0
"Bridgers, Henry",1-0,—,—,—,1-0,—,—,W 1,1-0,0-0,0-0
"Chhim, William",3-0,—,—,—,1-0,—,2-0,W 3,3-0,0-0,0-0
"Cooke, Wilder",1-1,1-1,—,—,—,—,—,W 1,1-1,0-0,0-0
"Klass, Aiden",1-0,—,—,—,1-0,—,—,W 1,1-0,0-0,0-0
"McLaughlin, Keegan",4-0,—,—,1-0,—,2-0,1-0,W 4,4-0,0-0,0-0
"Rudenberg, Sam",1-0,—,—,1-0,—,—,—,W 1,1-0,0-0,0-0
"Satav, Anshul",4-0,1-0,2-0,1-0,—,—,—,W 4,4-0,0-0,0-0
"Shaker-Check, Luka",1-0,—,—,1-0,—,—,—,W 1,1-0,0-0,0-0
"Skidmore, Spencer",5-0,—,1-0,—,2-0,1-0,1-0,W 5,5-0,0-0,0-0
"Willett, Lucas",2-0,—,2-0,—,—,—,—,W 2,2-0,0-0,0-0
"Young, Jacob",5-0,2-0,1-0,1-0,—,—,1-0,W 5,5-0,0-0,0-0
"Yung, Charles",3-0,—,—,1-0,1-0,1-0,—,W 3,3-0,0-0,0-0
Total,33-1,5-1,6-0,6-0,6-0,5-0,5-0,—,—,0-0,0-0
Percentage,.971,.833,1.000,1.000,1.000,1.000,1.000,—,—,.000,.000
