0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2017-18,11,920,-,266,156,79,76,-,7,-,3,3,236-56,.808,83.6
2018-19,18,1498,339,-,158,76,76,-,9,-,1,1,299-160,.651,83.2
2019-20,9,716,-,-,151,81,75,-,5,-,1,2,310-54,.852,79.6
2020-21,4,312,-,-,157,77,76,-,3,-,3,3,81-3,.964,78.0
Totals,42,3446,339,266,151,76,75,-,24,-,8,9,926-273,.772,82.0
