0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2018-19,18,1382,312,-,141,75,69,2,9,1,5,6,389-70,.847,76.8
2019-20,9,671,-,-,143,77,70,2,5,3,3,5,354-10,.973,74.6
2020-21,4,301,-,-,149,76,72,-,3,3,3,3,84-0,1.000,75.3
Totals,31,2354,312,-,141,75,69,4,17,7,11,14,827-80,.912,75.9
