0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Ryerson Fall Classic,10/1/2011,2,89-84=173,+31,t-52nd/68
Arizona Dual,3/22/2012,1,82,+10,
Simpson Spring Invitational,3/27/2012,1,83,+12,t-36th/78
Prairie Fire Classic,3/30-31/2012,2,83-87=170,+26,37th/69
IWU Invitational,4/6-7/2012,2,92-83=175,+31,t-105th/120
Wartburg Men's Spring Invite,"Apr 13-14, 2012",2,81-87=168,+24,t-81st/103
BVU Spring Invite,4/20-21/2012,2,83-80=163,+19,t-64th/108
Midwest Conference Championships,5/03-05/2012,3,93-77-84=254,+38,26th/54
SEASON TOTALS,SEASON TOTALS,15,1268 Avg. 84.5,+13,-
