0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Ryerson Fall Classic,10/1/2011,2,97-107=204,+62,66th/68
Arizona Dual,3/22/2012,1,101,+29,
BVU Spring Invite,4/20-21/2012,2,90-100=190,+46,105th/108
SEASON TOTALS,SEASON TOTALS,5,495 Avg. 99.0,+27,-
