Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,45689,7,111050,2.88,40070,8,90810,3.53,,,,
2004,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,19094,7,46409,2.88,16532,8,40322,3.28,,,,
2005,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,19808,7,48144,2.88,20045,8,48890,3.28,,,,
2006,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,51886,7,107456,3.38,48534,8,109992,3.53,,,,
2007,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,26312,7,54492,3.38,23177,8,52526,3.53,,,,
2008,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,27500,7,56953,3.38,22997,8,47416,3.88,,,,
2009,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,27714,7,57396,3.38,23059,8,47544,3.88,,,,
2010,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,26429,7,47681,3.88,28755,8,52521,4.38,,,,
2011,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,29020,7,54755,3.71,29016,8,50136,4.63,,,,
2012,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,27194,7,53471,3.56,28084,8,51768,4.34,,,,
2013,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,28612,7,56260,3.56,29291,8,53993,4.34,,,,
2014,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,27542,8,56642,3.89,27726,9,57496,4.34,,,,
2015,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,28881,8,57762,4.00,28524,9,59151,4.00,,,,
2016,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,30746,8,60583,4.06,29712,9,60775,4.40,,,,
2017,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,24550,10,58175,4.22,25227,11,60064,4.62,,,,
2018,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,26783,10,63467,4.22,25438,11,59283,4.72,,,,
2019,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,29973,9,66443,4.06,28879,10,61055,4.73,,,,
2020,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,27424,9,58487,4.22,25820,10,53347,4.84,,,,
2021,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,31132,11,70031,4.89,29715,12,62668,5.69,,,,
2022,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,32239,11,72521,4.89,30694,12,65539,5.62,,,,
