Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2004,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2005,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2006,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2007,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2008,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2009,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2010,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2011,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2012,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2013,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2014,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2015,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2016,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2017,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2018,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2019,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2020,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2021,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
2022,146481,00170600,Lake Forest College,IL,NCAA Division III with football,,1,NCAA,699,984,1683,0,0,
