Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 4, 1999 (Saturday)",,Neutral,Luther,"Northfield, MN",,,"W,3-2(15-7, 15-4, 14-16, 15-17, 15-7)",
"September 4, 1999 (Saturday)",,Away,Carleton,"Northfield, MN",,,"W,3-1(15-10, 15-3, 10-15, 15-5)",
"September 4, 1999 (Saturday)",,Neutral,Clarke,"Northfield, MN",,,"W,3-1(15-13, 15-4, 9-15, 15-11)",
"September 8, 1999 (Wednesday)",,Home,William Penn,"Grinnell, IA",,,"W,3-0(15-9, 15-9, 15-7)",
"September 11, 1999 (Saturday)",,Home,NebraskaWesleyan,"Grinnell, IA",,,"L,0-3(8-15, 14-16, 11-15)",
"September 17, 1999 (Friday)",,Neutral,St. Catherine's (Bethel Tournament),"St. Paul, MN",,,"W,3-0(15-0, 15-4, 15-13)",
"September 18, 1999 (Saturday)",,Neutral,Hamline (Bethel Tournament),"St. Paul, MN",,,"W,3-1(15-11, 9-15, 15-13, 15-40",
"September 18, 1999 (Saturday)",,Away,Bethel (Bethel Tournament),"St. Paul, MN",,,"L,0-3(6-15, 13-15, 4-15)",
"September 18, 1999 (Saturday)",,Neutral,Gustavus Adolphus (Bethel Tournament),"St. Paul, MN",,,"L,0-3(6-15, 13-15, 10-15)",
"September 22, 1999 (Wednesday)",,Home,Wartburg,"Grinnell, IA",,,"W,3-1(11-15, 15-7, 16-14, 16-14)",
"September 25, 1999 (Saturday)",,Home,Lake Forest,"Grinnell, IA",,,"L,1-3(8-15, 15-2, 11-15, 11-15)",
"September 28, 1999 (Tuesday)",,Away,Cornell,"Mount Vernon, IA",,,"W,3-0(15-6, 15-5, 15-11)",
"October 2, 1999 (Saturday)",,Away,Illinois College,"Jacksonville, IL",,,"W,3-1(12-15, 15-10, 15-13, 15-4)",
"October 3, 1999 (Sunday)",,Away,Monmouth,"Monmouth, IL",,,"W,3-1(15-8, 15-2, 8-15, 15-9)",
"October 6, 1999 (Wednesday)",,Away,William Penn,"Oskaloosa, IA",,,"W,3-1(15-8, 15-10, 12-15, 15-8)",
"October 8, 1999 (Friday)",,Home,Knox,"Grinnell, IA",,,"W,3-0(15-3, 15-6, 15-3)",
"October 17, 1999 (Sunday)",,Away,Claremont,"Claremont, CA",,,"W,3-1(16-14, 15-9, 9-15, 15-3)",
"October 18, 1999 (Monday)",,Away,Pomona-Pitzer,"Claremont, CA",,,"W,3-1(15-12, 0-15, 15-10, 15-8)",
"October 19, 1999 (Tuesday)",,Away,Occidental,"Los Angeles, CA",,,"W,3-1(15-11, 15-7, 13-15, 15-13)",
"October 20, 1999 (Wednesday)",,Away,UC San Diego,"La Jolla, CA",,,"L,0-3(7-15, 12-15, 4-15)",
"October 30, 1999 (Saturday)",,Away,UW-La Crosse,"La Crosse, WI",,,"L,0-3(2-15, 5-15, 4-15)",
"October 30, 1999 (Saturday)",,Neutral,Macalester,"La Crosse, WI",,,"W,3-2(16-14, 7-15, 14-16, 17-15, 17-15)",
"November 5, 1999 (Friday)",,Away,Ripon (MWC Tournament),"Ripon, WI",,,"W,3-0(15-11, 15-4, 15-7)",
"November 6, 1999 (Saturday)",,Neutral,Carroll (MWC Tournament),"Ripon, WI",,,"L,0-3(10-15, 9-15, 11-15)",
"November 6, 1999 (Saturday)",,Neutral,Illinois College (MWC Tournament),"Ripon, WI",,,"L,0-3(3-15, 4-15, 10-15)",
