#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
20.0,"Carton, Lucky 20 Carton, Lucky",7,0,0,0-0,0-0,0,0-0,0,42,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",3,1,0,17-20,0-0,1,0-0,0,40,View Bio
9.0,"Wilson, Garrett 9 Wilson, Garrett",5,0,0,0-0,0-0,0,0-0,0,30,View Bio
26.0,"Eaton, Sam 26 Eaton, Sam",2,0,0,0-0,0-0,0,0-0,0,12,View Bio
16.0,"Cloake, Will 16 Cloake, Will",1,0,0,0-0,0-0,1,1-1,0,8,View Bio
15.0,"Smith, Noah 15 Smith, Noah",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
41.0,"Sung, Marcus 41 Sung, Marcus",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
22.0,"Werner, Hugh 22 Werner, Hugh",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
,Total,21,1,0,17-20,0-0,2,1-1,0,150,
,Opponents,47,2,1,40-42,0-2,0,0-3,0,330,
