#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
1.0,"Baird, Henry 1 Baird, Henry",10,103.04,159,256,14,62.11 %,1188,10,66,118.8,View Bio
16.0,"Cloake, Will 16 Cloake, Will",5,124.29,23,44,2,52.27 %,307,3,70,61.4,View Bio
20.0,"Carton, Lucky 20 Carton, Lucky",10,-66.67,0,3,1,0.00 %,0,0,0,0.0,View Bio
,Total,10,104.45,182,303,17,60.07 %,1495,13,70,149.5,
,Opponents,10,152.76,148,259,9,57.14 %,1984,30,55,198.4,
