#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",37,1399,37.81,64,2,6,7,6,0,View Bio
29.0,"Davidoff, Noah 29 Davidoff, Noah",15,362,24.13,39,0,3,0,0,0,View Bio
,Total,52,1761,33.87,64,2,9,7,6,0,
,Opponents,36,1239,34.42,59,2,11,9,6,1,
