Statistic,GRINNELL,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,14.80,33.00
Total TOT,148,330
First Downs,First Downs,First Downs
Rushing RUSH,67,90
Passing PASS,77,87
Penalty PEN,13,15
Total TOT,157,192
Rushing,Rushing,Rushing
Yards Gained YDS,1377,1877
Yards Lost YDL,171,192
Attempts ATT,370,347
Average Per Attempt AVG/ATT,3.3,4.9
Avg. Per Game AVG/G,120.6,168.5
Touchdowns TDS,8,14
Total TOT,1206,1685
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,303-182-17,259-148-9
Avg. Per Attempt AVG/ATT,4.93,7.66
Avg. Per Game AVG/G,149.50,198.40
Touchdowns TDS,13,30
Total TOT,1495,1984
Total Offense,Total Offense,Total Offense
Total Plays TOT,673,606
Avg. Per Play AVG/P,4.0,6.1
Avg. Per Game AVG/G,270.1,366.9
Total Yards TOT YDS,2701,3669
Touchdowns TDS,21,47
Returns,Returns,Returns
Kickoff: Average KO: AVG,13.44,9.00
Kickoff: Total KO: TOT,32-430,17-153
Punt: Average P: AVG,3.00,11.64
Punt: Total P: TOT,5-15,11-128
INT: Average INT: AVG,9.11,13.35
INT: Total INT: TOT,9-82,17-227
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,33.87,34.42
Punt: Net Average P: Net AVG,30.63,32.89
Punt: Total Yards P: YDS,52-1761,36-1239
FG: Good-Attempts FG: FGM-FGA,1-4,2-10
Onside Kicks Onside K,1-2,1-1
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,42.50,45.70
Total-Yards TOT/YDS,43-425,53-457
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,34:01,25:55
Total TOT,05:40:07,04:19:14
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,49-153 (32.03 %),51-124 (41.13 %)
4th Down Conversions 4th %,21-37 (56.76 %),10-21 (47.62 %)
Fumbles-Lost FUM-Lost,15-8,18-9
Sacks-Yards Lost SCK YDS,15-77,13-102
PAT: Good-Attempts PAT,17-20,40-42
Misc. Yards MISC YDS,0,-18
Red Zone: Attempts-Scores RZ: ATT-Score,17-27,29-43
Red Zone: Touchdowns RZ: TDS,16-27,27-43
