Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
09/07/2024,Grinnell,39,184,2,21,17,157,3,54,159,3,54,3,53,0,45,0,0,0,0
09/14/2024,Grinnell,39,168,2,30,4,47,1,35,47,1,35,2,15,0,10,2,44,0,40
09/21/2024,Grinnell,38,160,0,30,13,134,2,28,134,2,28,0,0,0,0,0,0,0,0
10/5/2024,Grinnell College,25,90,0,25,18,211,2,27,211,2,27,1,0,0,0,1,19,0,19
10/12/2024,Grinnell,34,153,0,30,17,289,6,49,289,6,49,2,0,0,0,4,39,0,22
10/19/2024,Grinnell,28,77,2,14,17,306,4,55,306,4,55,3,11,0,11,1,20,0,20
10/26/2024,Grinnell,33,138,2,22,7,75,0,20,75,0,20,2,10,0,10,1,0,0,0
11/02/2024,Grinnell,37,355,2,51,25,312,6,31,312,6,31,2,21,0,21,0,0,0,0
11/09/2024,Grinnell,30,97,1,24,23,334,5,39,334,5,39,1,21,0,21,0,0,0,0
11/16/2024,Grinnell,44,263,3,41,7,117,1,34,117,1,34,1,22,0,22,2,6,0,6
