#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
22.0,"Werner, Hugh 22 Werner, Hugh",10,48,34,82.0,6.5-13,0-0,1,2,0,4,3,0,0,View Bio
12.0,"Greene, Bert 12 Greene, Bert",10,23,23,46.0,1.5-3,0.5-2,0,1,0,0,0,0,0,View Bio
92.0,"Bishop, Breck 92 Bishop, Breck",10,26,16,42.0,8.0-33,5.0-27,0,0,5,0,2,0,0,View Bio
7.0,"Johanson, Kevin 7 Johanson, Kevin",10,24,17,41.0,1.0-1,0-0,2,4,0,0,0,0,0,View Bio
3.0,"Quirk, Danny 3 Quirk, Danny",8,18,18,36.0,2.5-11,1.0-1,0,0,0,1,1,0,0,View Bio
98.0,"Chu, Travis 98 Chu, Travis",10,23,12,35.0,10.0-32,2.0-10,0,0,1,0,0,0,0,View Bio
8.0,"Marionneaux, Hays 8 Marionneaux, Hays",10,23,7,30.0,1.0-3,0-0,2,8,0,0,0,0,0,View Bio
25.0,"Fitzgerald, Keaton 25 Fitzgerald, Keaton",10,21,8,29.0,0.5-2,0-0,2,4,0,1,1,1,0,View Bio
55.0,"Lawrence, TJ 55 Lawrence, TJ",10,18,11,29.0,2.0-12,0-0,0,4,2,1,1,0,0,View Bio
59.0,"Williams, Peyton 59 Williams, Peyton",7,11,15,26.0,4.0-5,0-0,0,0,1,1,0,0,0,View Bio
45.0,"Smith, Alex 45 Smith, Alex",10,15,4,19.0,0-0,0-0,0,0,1,0,0,0,0,View Bio
54.0,"Whalen, Adam 54 Whalen, Adam",7,10,9,19.0,5.5-18,3.5-15,0,0,0,1,0,0,0,View Bio
18.0,"Griffin, Ajay 18 Griffin, Ajay",9,12,3,15.0,0-0,0-0,1,0,0,0,0,0,0,View Bio
,"Stefan, Luke  Stefan, Luke",4,7,7,14.0,0-0,0-0,0,0,0,0,1,0,0,View Bio
6.0,"Readon, CJ 6 Readon, CJ",7,9,4,13.0,0-0,0-0,0,1,0,0,0,0,0,View Bio
32.0,"Reyes, Will 32 Reyes, Will",8,9,2,11.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
64.0,"Leonard, Rory 64 Leonard, Rory",6,4,3,7.0,1.5-5,1.0-4,0,0,0,0,0,0,0,View Bio
35.0,"Stubbs, Adrian 35 Stubbs, Adrian",6,4,3,7.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
36.0,"Greene, Charlie 36 Greene, Charlie",10,3,2,5.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
9.0,"Warren, Jake 9 Warren, Jake",3,4,1,5.0,0-0,0-0,0,0,0,0,1,0,0,View Bio
11.0,"Johanson, Matthew 11 Johanson, Matthew",6,3,0,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
41.0,"Sung, Marcus 41 Sung, Marcus",10,1,2,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
20.0,"Carton, Lucky 20 Carton, Lucky",10,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
86.0,"Cerrato, Ben 86 Cerrato, Ben",9,1,1,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
21.0,"Jackson, Hunter 21 Jackson, Hunter",5,2,0,2.0,2.0-18,2.0-18,0,0,0,0,0,0,0,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",10,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
16.0,"Cloake, Will 16 Cloake, Will",5,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
26.0,"Eaton, Sam 26 Eaton, Sam",10,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
56.0,"Elvin, Mike 56 Elvin, Mike",2,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
62.0,"Norris, Sam 62 Norris, Sam",2,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
58.0,"Olufade, Michael 58 Olufade, Michael",1,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
80.0,"Reiter, Chris 80 Reiter, Chris",4,1,0,1.0,0-0,0-0,0,0,0,0,0,1,0,View Bio
72.0,"Sanchez, Logan 72 Sanchez, Logan",2,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
14.0,"Tennicott, Brandon 14 Tennicott, Brandon",3,1,0,1.0,0-0,0-0,1,1,0,0,0,0,0,View Bio
85.0,"Urias Jr., Rene 85 Urias Jr., Rene",8,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
42.0,"Walters, Luke 42 Walters, Luke",2,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
9.0,"Wilson, Garrett 9 Wilson, Garrett",10,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
1.0,"Baird, Henry 1 Baird, Henry",10,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
31.0,"Rodriguez, Javi 31 Rodriguez, Javi",3,0,0,0.0,0-0,0-0,0,2,0,0,0,0,0,View Bio
15.0,"Smith, Noah 15 Smith, Noah",10,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
,Total,10,330,206,536.0,46.0-156,15.0-77,9,27,10,9,10,2,0,
,Opponents,10,404,210,614.0,50.0-184,13.0-102,17,32,12,8,8,2,1,
