Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Lyon,48-28,23/18,5/11,13/7,5/0,27-99 / 39-184,30-48-3 / 17-25-1,341/159,75-440 / 64-343,3/161,3/2
Ripon,19-23,18/13,3/10,14/2,1/1,29-35 / 39-168,27-44-2 / 4-11-0,249/47,73-284 / 50-215,2/79,4/0
Beloit,16-7,16/15,8/6,6/7,2/2,40-130 / 38-160,22-39-1 / 13-29-1,94/134,79-224 / 67-294,49/12,1/4
Lawrence University,14-17,21/15,11/4,9/10,1/1,43-194 / 25-90,19-28-1 / 18-26-2,140/211,71-334 / 51-301,12/19,1/2
Monmouth (IL),49-7,8/22,4/7,4/12,0/3,34-82 / 34-153,14-23-1 / 17-33-0,55/289,57-137 / 67-442,70/76,2/0
Lake Forest,42-22,16/24,2/9,13/12,1/3,34-48 / 28-77,21-35-3 / 17-29-2,260/306,69-308 / 57-383,78/71,4/3
Knox,14-21,16/13,14/6,2/5,0/2,53-227 / 33-138,7-16-0 / 7-15-1,58/75,69-285 / 48-213,65/10,0/2
Illinois Col.,56-14,18/35,10/17,5/15,3/3,44-209 / 37-355,11-27-3 / 25-40-1,79/312,71-288 / 77-667,154/31,3/4
UChicago,6-42,10/18,6/5,4/13,0/0,44-125 / 30-97,9-13-1 / 23-30-0,78/334,57-203 / 60-431,61/21,4/0
Cornell College,7-26,11/19,4/15,7/4,0/0,22-57 / 44-263,22-30-2 / 7-21-1,141/117,52-198 / 65-380,47/28,3/1
