Stat,Value,Player/Opponent
Rushes,25.0,Lucky Carton vs Lawrence University (10/5/2024)
Yards Rushing,109.0,Lucky Carton vs Lawrence University (10/5/2024)
TD Rushes,1.0,"Cloake,Will vs Lake Forest (10/19/2024)"
,1.0,"Eaton,Sam vs Illinois Col. (11/02/2024)"
,1.0,"Sung,Marcus vs Ripon (09/14/2024)"
,1.0,Lucky Carton vs Lawrence University (10/5/2024)
,1.0,Hugh Werner vs Lawrence University (10/5/2024)
,1.0,"Carton,Lucky vs Knox (10/26/2024)"
,1.0,"Eaton,Sam vs Knox (10/26/2024)"
,1.0,"Carton,Lucky vs UChicago (11/09/2024)"
Long Rush,64.0,"Eaton,Sam vs Illinois Col. (11/02/2024)"
Pass Attempts,48.0,"Baird,Henry vs Lyon (09/07/2024)"
Pass Completions,30.0,"Baird,Henry vs Lyon (09/07/2024)"
Yards Passing,341.0,"Baird,Henry vs Lyon (09/07/2024)"
TD Passes,4.0,"Baird,Henry vs Lyon (09/07/2024)"
Longest Pass,70.0,"Cloake,Will vs Lake Forest (10/19/2024)"
Receptions,12.0,"Rhinehart,Nick vs Cornell College (11/16/2024)"
Yards Receiving,102.0,"Carton,Lucky vs Lake Forest (10/19/2024)"
TD Receptions,2.0,"Carton,Lucky vs Lyon (09/07/2024)"
Longest Reception,70.0,"Carton,Lucky vs Lake Forest (10/19/2024)"
Field Goals,1.0,Nick Rhinehart vs Lawrence University (10/5/2024)
Longest Field Goal,31.0,Nick Rhinehart vs Lawrence University (10/5/2024)
Punts,9.0,"Rhinehart,Nick vs Monmouth (IL) (10/12/2024)"
Punting Average,44.4,"Rhinehart,Nick vs Lake Forest (10/19/2024)"
Longest Punt,64.0,"Rhinehart,Nick vs Knox (10/26/2024)"
Longest Punt Return,10.0,"Johanson,Matthew vs Illinois Col. (11/02/2024)"
Longest Kickoff Return,32.0,"Johanson,Matthew vs Illinois Col. (11/02/2024)"
Tackles,14.0,"Werner,Hugh vs Beloit (09/21/2024)"
Sacks,2.0,"Jackson,Hunter vs Lyon (09/07/2024)"
,2.0,"Bishop,Breck vs Illinois Col. (11/02/2024)"
,2.0,"Bishop,Breck vs Cornell College (11/16/2024)"
Interceptions,1.0,"Fitzgerald,Keaton vs Lyon (09/07/2024)"
,1.0,"Marionneaux,Hays vs Beloit (09/21/2024)"
,1.0,"Marionneaux,Hays vs Lake Forest (10/19/2024)"
,1.0,"Tennicott,Brandon vs Lake Forest (10/19/2024)"
,1.0,"Johanson,Kevin vs Illinois Col. (11/02/2024)"
,1.0,Ajay Griffin vs Lawrence University (10/5/2024)
,1.0,Hugh Werner vs Lawrence University (10/5/2024)
,1.0,"Fitzgerald,Keaton vs Knox (10/26/2024)"
,1.0,"Johanson,Kevin vs Cornell College (11/16/2024)"
