Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
09/07/2024,Grinnell,3,129,43.0,59,0,0,1,1,1,1-2,29,0,9,486,54.0,2,1
09/14/2024,Grinnell,6,187,18.7,58,1,0,1,1,0,1-3,36,0,4,243,60.75,0,0
09/21/2024,Grinnell,4,125,20.15,55,0,0,2,1,1,0-0,0,0,3,164,54.67,1,1
10/5/2024,Grinnell College,2,86,43.0,52,0,1,0,1,0,0-1,0,1,3,99,33.0,0,0
10/12/2024,Grinnell,3,116,38.7,47,0,0,2,0,1,0-1,0,0,8,375,46.88,0,0
10/19/2024,Grinnell,4,134,33.5,39,0,0,1,0,2,0-1,0,0,7,337,48.14,1,0
10/26/2024,Grinnell,5,175,35.0,53,0,0,3,1,0,0-0,0,0,3,159,53.0,0,0
11/02/2024,Grinnell,2,65,32.5,35,0,0,0,0,1,0-0,0,0,9,509,56.56,1,1
11/09/2024,Grinnell,4,91,22.8,36,0,0,1,0,1,0-2,0,0,7,350,50.0,0,2
11/16/2024,Grinnell,3,131,43.7,52,0,1,0,1,2,0-0,0,0,4,198,49.5,1,0
