#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
9.0,"Wilson, Garrett 9 Wilson, Garrett",10,27,352,13.04,5,66,35.2,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",10,53,350,6.6,3,21,35.0,View Bio
20.0,"Carton, Lucky 20 Carton, Lucky",10,41,311,7.59,4,70,31.1,View Bio
15.0,"Smith, Noah 15 Smith, Noah",10,20,228,11.4,1,45,22.8,View Bio
11.0,"Johanson, Matthew 11 Johanson, Matthew",7,8,65,8.13,0,20,9.29,View Bio
36.0,"Greene, Charlie 36 Greene, Charlie",10,9,55,6.11,0,14,5.5,View Bio
10.0,"Reed, Jack 10 Reed, Jack",3,4,41,10.25,0,17,13.67,View Bio
26.0,"Eaton, Sam 26 Eaton, Sam",10,8,25,3.13,0,10,2.5,View Bio
80.0,"Reiter, Chris 80 Reiter, Chris",4,2,25,12.5,0,20,6.25,View Bio
85.0,"Urias Jr., Rene 85 Urias Jr., Rene",8,2,12,6.0,0,7,1.5,View Bio
86.0,"Cerrato, Ben 86 Cerrato, Ben",9,1,10,10.0,0,10,1.11,View Bio
6.0,"Readon, CJ 6 Readon, CJ",7,4,9,2.25,0,8,1.29,View Bio
23.0,"Semmen, Seth 23 Semmen, Seth",5,1,8,8.0,0,8,1.6,View Bio
41.0,"Sung, Marcus 41 Sung, Marcus",10,1,5,5.0,0,5,0.5,View Bio
34.0,"Leonard, Ty 34 Leonard, Ty",3,0,0,,0,0,0.0,View Bio
17.0,"Destino, Bennett 17 Destino, Bennett",3,1,-1,-1.0,0,0,-0.33,View Bio
,Total,10,182,1495,8.21,13,70,149.5,
,Opponents,10,148,1982,13.39,30,55,198.2,
