Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
09/07/2024,Lyon,27,99,0,33,30,341,4,66,341,4,66,1,3,0,3,0,0,0,0
09/14/2024,Ripon,29,35,1,9,27,249,2,45,249,2,45,0,0,0,0,3,2,0,3
09/21/2024,Beloit,40,130,0,9,22,94,1,18,94,1,18,1,0,0,0,0,0,0,0
10/5/2024,Lawrence University,43,194,2,14,19,140,0,19,140,0,19,1,12,0,12,0,0,0,0
10/12/2024,Monmouth (IL),34,82,0,24,14,55,1,14,55,1,14,6,67,0,16,1,3,0,3
10/19/2024,Lake Forest,34,48,1,13,21,260,2,70,260,2,70,6,76,0,26,0,0,0,0
10/26/2024,Knox,53,227,2,21,7,58,1,16,58,1,16,3,53,0,23,0,0,0,0
11/02/2024,Illinois Col.,44,209,1,64,11,79,1,20,79,1,20,7,124,0,32,1,10,0,10
11/09/2024,UChicago,44,125,1,14,9,78,0,23,78,0,23,4,61,0,23,0,0,0,0
11/16/2024,Cornell College,22,57,0,15,22,141,1,28,141,1,28,3,34,0,20,0,0,0,0
