Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
09/07/2024,Lyon,L,28-48,2,2,14,2,0,2,0,0,0,0,0,0,0
09/14/2024,Ripon,L,19-23,6,3,19,3,1,2,0,1,0,1,1,0,0
09/21/2024,Beloit,L,7-16,4,1,7,1,0,1,0,0,3,0,0,0,0
10/5/2024,Lawrence University,W,17-14,4,3,17,2,2,0,1,0,0,1,0,0,0
10/12/2024,Monmouth (IL),L,7-49,1,1,7,1,0,1,0,0,0,0,0,0,0
10/19/2024,Lake Forest,L,22-42,3,2,15,2,1,1,0,0,0,1,0,0,0
10/26/2024,Knox,W,21-14,5,3,21,3,2,1,0,0,1,0,0,0,0
11/02/2024,Illinois Col.,L,14-56,1,1,7,1,0,1,0,0,0,0,0,0,0
11/09/2024,UChicago,L,6-42,1,1,6,1,1,0,0,0,0,0,0,0,0
11/16/2024,Cornell College,L,7-26,0,0,0,0,0,0,0,0,0,0,0,0,0
,TOTALS,,,27,17,113,16,7,9,1,1,4,3,1,0,0
