#,Player,Games Played GP
1.0,"Baird, Henry",10
92.0,"Bishop, Breck",10
20.0,"Carton, Lucky",10
86.0,"Cerrato, Ben",9
98.0,"Chu, Travis",10
76.0,"Clark, Joshua",10
16.0,"Cloake, Will",5
65.0,"Cornforth, Miles",9
29.0,"Davidoff, Noah",4
17.0,"Destino, Bennett",4
70.0,"Eastern, Ricky",7
26.0,"Eaton, Sam",10
56.0,"Elvin, Mike",2
25.0,"Fitzgerald, Keaton",10
12.0,"Greene, Bert",10
36.0,"Greene, Charlie",10
18.0,"Griffin, Ajay",9
57.0,"Hardy, Cash",10
21.0,"Jackson, Hunter",5
7.0,"Johanson, Kevin",10
11.0,"Johanson, Matthew",7
52.0,"Jones, Ty",4
90.0,"Kozhaya, Andrew",3
55.0,"Lawrence, TJ",10
64.0,"Leonard, Rory",6
34.0,"Leonard, Ty",3
8.0,"Marionneaux, Hays",10
13.0,"Neidert, Raiden",1
62.0,"Norris, Sam",2
58.0,"Olufade, Michael",1
3.0,"Quirk, Danny",8
6.0,"Readon, CJ",7
10.0,"Reed, Jack",3
80.0,"Reiter, Chris",4
32.0,"Reyes, Will",8
19.0,"Rhinehart, Nick",10
31.0,"Rodriguez, Javi",3
72.0,"Sanchez, Logan",2
23.0,"Semmen, Seth",5
66.0,"Singh, Shawan",3
45.0,"Smith, Alex",10
15.0,"Smith, Noah",10
74.0,"Stebbins, Colby",7
,"Stefan, Luke",4
35.0,"Stubbs, Adrian",6
41.0,"Sung, Marcus",10
77.0,"Taylor, Tyrell",9
14.0,"Tennicott, Brandon",3
85.0,"Urias Jr., Rene",8
42.0,"Walters, Luke",2
9.0,"Warren, Jake",3
22.0,"Werner, Hugh",10
54.0,"Whalen, Adam",7
59.0,"Williams, Peyton",7
9.0,"Wilson, Garrett",10
