Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Olowu, Paige",FR-1,25.72,The Midwest Conference Outdoor T&F Championships,"May 10, 2019",0.9
,"Olowu, Paige",FR-1,25.79,The Midwest Conference Outdoor T&F Championships,"May 10, 2019",0.3
,"Olowu, Paige",FR-1,25.97,2019 Viking Classic,"Apr 26, 2019",1.9
,"Olowu, Paige",FR-1,26.03,Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",1.2
,"Maddaus, Jordan",SR-4,28.04,The Midwest Conference Outdoor T&F Championships,"May 10, 2019",0.6
,"Maddaus, Jordan",SR-4,28.37,2019 Dick Young Invite,"Apr 20, 2019",-1.9
,"Maddaus, Jordan",SR-4,28.41,Mustang Open,"Apr 13, 2019",-1.0
,"McCabe, Madeline",FR-1,28.54,Cornell College Invitational,"Apr 6, 2019",0.6
,"McCabe, Madeline",FR-1,28.69,2019 Viking Classic,"Apr 26, 2019",1.0
,"McCabe, Madeline",FR-1,28.89,Mustang Open,"Apr 13, 2019",-2.7
,"Maddaus, Jordan",SR-4,29.35,Emory Classic,"Mar 29, 2019",-1.8
,"Maddaus, Jordan",SR-4,29.47,Cornell College Invitational,"Apr 6, 2019",-0.6
,"Tomczik, Kate",FR-1,30.06,2019 Viking Classic,"Apr 26, 2019",1.0
,"McCabe, Madeline",FR-1,30.08,2019 Dick Young Invite,"Apr 20, 2019",-1.9
