0,1,2,3,4,5,6,7
Tournament,Dates,Rounds,Place,Teams,Players,Par,Score
Mount Mercy Invitational,"Aug 29-30, 2015",2,1,6,36,+76,652
Luther Sail Classic,9/4-5/2015,2,2,12,67,+59,635
Wartburg College Fall Invite,"Sep 12-13, 2015",2,5,17,94,+63,639
Grinnell College Invitational,"Sep 27, 2015",1,1,4,24,+36,324
Midwest Conference Championship,10/2-4/2015,3,1,7,40,+142,1018
Washington (Mo.) Spring Invitational,"April 2-3, 2016",,,,,,
IWU Kathy Niepagen Spring Fling,4/16-17/2016,2,7,21,108,+54,630
