#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
0.0,"Fox, Greg 00Fox, Greg",8,8,580:22,10,1.55,38,0.792,2.0,3.0,1.0,0,0,View Bio
1.0,"Schemper, Ben 1Schemper, Ben",7,1,228:38,5,1.97,14,0.737,0.0,2.0,0.0,0,0,View Bio
31.0,"Tyree, Isaiah 31Tyree, Isaiah",3,0,59:23,2,3.03,3,0.6,1.0,0.0,0.0,0,0,View Bio
,Total,9,-,868:23,17,1.76,55,0.764,3.0,5.0,1.0,0,0,
,Opponents,9,-,868:23,17,1.76,69,0.802,,,,0,0,
