Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,22,31
Goals Per Game G/AVG,1.29,1.82
Shots SH,221,262
Shots Per Game SH/AVG,13.0,15.4
Shots Percentage SH%,0.100,0.118
Shots On Goal SOG,123-221,141-262
Shots On Goal Percentage SOG%,0.557,0.538
Penalties,Penalties,Penalties
Yellow Cards YC,10,19
Red Cards RC,0,2
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,21,23
Saves S,110,101
Fouls F,110,144
Corner Kicks CK,78,89
Penalty Kicks: Goals-Attempts PG-PA,0-0,0-0
