#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF,Bio Link
0.0,"Fox, Greg 00Fox, Greg",15,14,1165:41,21,1.62,78,0.788,3.0,7.0,2.0,0,0,View Bio
1.0,"Schemper, Ben 1Schemper, Ben",9,2,368:59,6,1.46,24,0.8,1.0,2.0,0.0,0,0,View Bio
31.0,"Tyree, Isaiah 31Tyree, Isaiah",4,1,80:53,4,4.45,6,0.6,1.0,1.0,0.0,0,0,View Bio
,Total,17,-,1615:33,31,1.73,108,0.777,5.0,10.0,2.0,0,0,
,Opponents,17,-,1615:33,22,1.23,99,0.818,,,,0,0,
