Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2011,vs Cornell College,1-0,1/0,2/0,22/9,10/5,10/5,0/1,0/0
9/10/2011,at Saint Mary's,0-1,0/1,0/1,11/12,5/5,5/3,0/1,0/0
9/11/2011,at Coe,1-2,1/2,0/1,13/17,2/7,0/2,0/0,0/0
9/17/2011,at Principia (Ill.),2-1,2/1,3/1,8/13,6/8,2/2,1/2,0/0
9/18/2011,at North Central,0-5,0/5,0/4,4/19,2/10,1/7,1/2,0/0
9/20/2011,at Simpson,1-1,1/1,1/0,18/33,9/15,4/10,1/1,0/0
9/24/2011,at Lawrence University,1-2,1/2,1/2,8/16,8/8,5/3,0/1,0/0
9/28/2011,at Central College,0-2,0/2,0/1,5/29,2/10,1/16,0/1,0/0
10/1/2011,vs St. Norbert College,0-2,0/2,0/0,7/4,4/3,7/3,0/0,0/0
10/8/2011,vs Lake Forest College,2-1,2/1,0/1,10/6,6/3,1/1,0/1,0/0
10/11/2011,at Monmouth College,1-2,1/2,1/2,22/16,14/9,5/11,1/1,0/0
10/15/2011,at Illinois College,0-1,0/1,0/1,23/11,16/8,7/2,2/1,0/0
10/23/2011,at Beloit College,2-2,2/2,2/2,16/23,11/14,13/4,2/1,0/1
10/23/2011,at Carroll University,0-4,0/4,0/4,2/14,1/10,2/6,0/0,0/0
10/29/2011,vs Ripon College,3-2,3/2,4/2,14/15,7/10,5/4,1/3,0/1
10/30/2011,vs Knox College,8-1,8/1,7/0,35/10,19/7,7/2,1/1,0/0
9/3/2101,vs Augustana College,0-2,0/2,0/1,3/15,1/9,3/8,0/2,0/0
Totals,,,22/31,21/23,221/262,123/141,78/89,10/19,0/2
