Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2011,Cornell College,1-0,90:00,0,0.0,5,1.0,1,0,0,1,0
9/10/2011,Saint Mary's,0-1,90:00,1,0.5,4,0.8,0,1,0,0,0
9/11/2011,Coe,1-2,91:49,2,0.99,5,0.714,0,1,0,0,0
9/17/2011,Principia (Ill.),2-1,95:21,1,0.98,7,0.875,1,0,0,0,0
9/18/2011,North Central,0-5,90:00,5,1.77,5,0.5,0,1,0,0,0
9/20/2011,Simpson,1-1,110:00,1,1.59,14,0.933,0,0,1,0,0
9/24/2011,Lawrence University,1-2,103:20,2,1.61,6,0.75,0,1,0,0,0
9/28/2011,Central College,0-2,90:00,2,1.66,8,0.8,0,1,0,0,0
10/1/2011,St. Norbert College,0-2,90:00,2,1.69,1,0.333,0,1,0,0,0
10/8/2011,Lake Forest College,2-1,109:58,1,1.59,2,0.667,1,0,0,0,0
10/11/2011,Monmouth College,1-2,90:00,2,1.63,7,0.778,0,1,0,0,0
10/15/2011,Illinois College,0-1,90:00,1,1.58,7,0.875,0,1,0,0,0
10/23/2011,Beloit College,2-2,110:00,2,1.58,12,0.857,0,0,1,0,0
10/23/2011,Carroll University,0-4,90:00,4,1.75,6,0.6,0,1,0,0,0
10/29/2011,Ripon College,3-2,95:05,2,1.76,8,0.8,1,0,0,0,0
10/30/2011,Knox College,8-1,90:00,1,1.71,6,0.857,1,0,0,0,0
9/3/2101,Augustana College,0-2,90:00,2,1.73,7,0.778,0,1,0,0,0
Totals,,-,1613,31,1.73,110,0.78,5,10,2,1,0
Opponent,,-,1615:33,22,1.23,101,0.821,10,5,2,-,0
