Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2011,vs Cornell College,W,1-0,(1-0),,72,"Bozo Susac (1) (Benjamin Charney , Joseph Brown)"
9/10/2011,at Saint Mary's,L,0-1,(1-2-0 Overall),,83,
9/11/2011,at Coe,L,1-2,(1-3),,232,Evan Wright (1)
9/17/2011,at Principia (Ill.),W,2-1,(2-3),,52,"Marshall Botto (0) (Joseph Brown)  Bozo Susac (0) (Benjamin Warner , Marshall Botto)"
9/18/2011,at North Central,L,0-5,(2-4),,100,
9/20/2011,at Simpson,T,1-1,(2-4-1),,119,Bozo Susac (3) (Elliot Meyer)
9/24/2011,at Lawrence University,L,1-2,"(2-5-1, 0-1-0 MWC)",0-1-0 MWC,68,Joseph Brown (1) (Connor Ward)
9/28/2011,at Central College,L,0-2,(2-6-1),,125,
10/1/2011,vs St. Norbert College,L,0-2,"(2-7-1, 0-2-0 MWC)",0-2-0 MWC,111,
10/8/2011,vs Lake Forest College,W,2-1,"(3-7-1, 1-2-0 MWC)",1-2-0 MWC,107,Omeed Kashef (1) Omeed Kashef (2)
10/11/2011,at Monmouth College,L,1-2,"(3-8-1, 1-3-0)",1-3-0,35,Joseph Brown (2) (Omeed Kashef)
10/15/2011,at Illinois College,L,0-1,(3-9-1 (1-4-0 MWC)),,100,
10/23/2011,at Beloit College,T,2-2,"(3-9-2, 1-4-1 MWC)",1-4-1 MWC,200,Evan Wright (0) (Joseph Brown)  Evan Wright (0) (Bozo Susac)
10/23/2011,at Carroll University,L,0-4,"(3-10-1 1-5-1, MWC)",MWC,114,
10/29/2011,vs Ripon College,W,3-2,"(4-10-2, 2-5-1 MWC)",2-5-1 MWC,101,"Bozo Susac (0) (Reed Caron)  Joseph Brown (0) (Benjamin Warner)  Charlie Kessner (0) (Reed Caron , Marshall Botto)"
10/30/2011,vs Knox College,W,8-1,"(5-10-2, 3-5-1 MWC)",3-5-1 MWC,142,Bozo Susac (5) (Evan Wright)  Benjamin Charney (1) (Charlie Kessner)  Benjamin Charney (2) (Rockne Decoster)  Rockne Decoster (1) Reed Caron (1) (Bozo Susac)  Rockne Decoster (2) (Benjamin Charney)  Elliot Meyer (1) (Ben Schemper)  Ben Schemper (1) (Benjamin Warner)
9/3/2101,vs Augustana College,L,0-2,(1-1),,93,
