Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2011,Cornell College,0-1,90:00,1,1.0,9,0.9,0,1,0,0,0
9/10/2011,Saint Mary's,1-0,90:00,0,0.5,5,1.0,1,0,0,1,0
9/11/2011,Coe,2-1,91:49,1,0.66,1,0.5,1,0,0,0,0
9/17/2011,Principia (Ill.),1-2,95:21,2,0.98,4,0.667,0,1,0,0,0
9/18/2011,North Central,5-0,90:00,0,0.79,2,1.0,1,0,0,1,0
9/20/2011,Simpson,1-1,110:00,1,0.79,8,0.889,0,0,1,0,0
9/24/2011,Lawrence University,2-1,103:20,1,0.81,7,0.875,1,0,0,0,0
9/28/2011,Central College,2-0,90:00,0,0.71,2,1.0,1,0,0,1,0
10/1/2011,St. Norbert College,2-0,90:00,0,0.63,4,1.0,1,0,0,1,0
10/8/2011,Lake Forest College,1-2,109:58,2,0.75,4,0.667,0,1,0,0,0
10/11/2011,Monmouth College,2-1,90:00,1,0.77,13,0.929,1,0,0,0,0
10/15/2011,Illinois College,1-0,90:00,0,0.71,16,1.0,1,0,0,1,0
10/23/2011,Beloit College,2-2,110:00,2,0.79,9,0.818,0,0,1,0,0
10/23/2011,Carroll University,4-0,90:00,0,0.74,1,1.0,1,0,0,1,0
10/29/2011,Ripon College,2-3,95:05,3,0.88,4,0.571,0,1,0,0,0
10/30/2011,Knox College,1-8,90:00,8,1.3,11,0.579,0,1,0,0,0
9/3/2101,Augustana College,2-0,90:00,0,1.23,1,1.0,1,0,0,1,0
Totals,,-,1613,22,1.23,101,0.821,10,5,2,7,0
Grinnell College,,-,1615:33,31,1.73,110,0.78,5,10,2,-,0
