#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
2.0,"Susac, Bozo 2Susac, Bozo",16,10,718,5,2,12,23,0.217,13,0.565,1-0,2,0-0,View Bio
11.0,"Brown, Joseph 11Brown, Joseph",17,14,906,3,3,9,33,0.091,18,0.545,0-0,0,0-0,View Bio
19.0,"Wright, Evan 19Wright, Evan",17,16,1241,3,1,7,23,0.13,13,0.565,2-0,0,0-0,View Bio
23.0,"Charney, Benjamin 23Charney, Benjamin",8,3,190,2,2,6,8,0.25,3,0.375,0-0,1,0-0,View Bio
7.0,"Decoster, Rockne 7Decoster, Rockne",15,4,421,2,1,5,17,0.118,11,0.647,0-0,0,0-0,View Bio
9.0,"Kashef, Omeed 9Kashef, Omeed",13,6,599,2,1,5,14,0.143,9,0.643,2-0,1,0-0,View Bio
8.0,"Botto, Marshall 8Botto, Marshall",16,8,621,1,2,4,11,0.091,6,0.545,2-0,0,0-0,View Bio
21.0,"Caron, Reed 21Caron, Reed",17,14,967,1,2,4,19,0.053,10,0.526,1-0,0,0-0,View Bio
17.0,"Kessner, Charlie 17Kessner, Charlie",16,5,478,1,1,3,12,0.083,8,0.667,0-0,1,0-0,View Bio
10.0,"Meyer, Elliot 10Meyer, Elliot",14,3,280,1,1,3,8,0.125,5,0.625,0-0,0,0-0,View Bio
1.0,"Schemper, Ben 1Schemper, Ben",9,2,288,1,1,3,2,0.5,1,0.5,0-0,0,0-0,View Bio
16.0,"Warner, Benjamin 16Warner, Benjamin",17,4,721,0,3,3,16,0.0,8,0.5,0-0,0,0-0,View Bio
20.0,"Ward, Connor 20Ward, Connor",17,17,922,0,1,1,18,0.0,8,0.444,0-0,0,0-0,View Bio
3.0,"Bolinger, Alex 3Bolinger, Alex",2,0,0,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
26.0,"Brost, Daryl 26Brost, Daryl",2,0,29,0,0,0,3,0.0,1,0.333,1-0,0,0-0,View Bio
12.0,"Brown, Jerry 12Brown, Jerry",7,2,252,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
15.0,"Bulman, Jeremy 15Bulman, Jeremy",3,0,14,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
22.0,"Bush, Trenton 22Bush, Trenton",13,9,756,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
24.0,"Dreier, Jay 24Dreier, Jay",17,16,989,0,0,0,4,0.0,2,0.5,0-0,0,0-0,View Bio
5.0,"Eng, Lukas 5Eng, Lukas",17,8,560,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
0.0,"Fox, Greg 00Fox, Greg",15,14,957,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Graves, Christopher 25Graves, Christopher",5,0,147,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
6.0,"Milian, Uriel 6Milian, Uriel",5,0,34,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
27.0,"Neil, Thomas 27Neil, Thomas",7,3,295,0,0,0,1,0.0,0,0.0,1-0,0,0-0,View Bio
13.0,"Olsen, Lars 13Olsen, Lars",16,11,783,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
14.0,"Rojas, Leonardo 14Rojas, Leonardo",4,0,11,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
18.0,"Singer, Gabe 18Singer, Gabe",3,0,37,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
31.0,"Tyree, Isaiah 31Tyree, Isaiah",5,1,85,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
4.0,"Winichakul, Kanatip 4Winichakul, Kanatip",17,17,1196,0,0,0,6,0.0,4,0.667,0-0,0,0-0,
,Total,17,-,14497,22,21,65,221,0.1,123,0.557,10-0,5,0-0,
,Opponent,17,-,14564,31,23,85,262,0.118,141,0.538,19-2,10,0-0,
