Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Kopf, Sarina",SR-4,3.37m,"11' 0.75""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Kopf, Sarina",SR-4,3.28m,"10' 9""",Wartburg Qualifier,"Mar 4, 2022"
,"Kopf, Sarina",SR-4,3.28m,"10' 9""",Grinnell Invitational,"Jan 29, 2022"
,"Kopf, Sarina",SR-4,3.27m,"10' 8.75""",Liz Wuertz Invite,"Feb 19, 2022"
,"Kopf, Sarina",SR-4,3.22m,"10' 6.75""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Kopf, Sarina",SR-4,3.20m,"10' 6""",Luther College Invitational,"Feb 5, 2022"
,"Kopf, Sarina",SR-4,3.20m,"10' 6""",Hilltop Invitational,"Jan 22, 2022"
,"Kopf, Sarina",SR-4,3.20m,"10' 6""",Darren Young Invitational,"Feb 12, 2022"
,"Kopf, Sarina",SR-4,3.20m,"10' 6""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Kopf, Sarina",SR-4,3.13m,"10' 3.25""",Wartburg Qualifier,"Mar 4, 2022"
,"Kopf, Sarina",SR-4,3.12m,"10' 2.75""",Liz Wuertz Invite,"Feb 19, 2022"
,"Kopf, Sarina",SR-4,3.08m,"10' 1.25""",Grinnell Invitational,"Jan 29, 2022"
,"Kopf, Sarina",SR-4,3.07m,"10' 0.75""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Kopf, Sarina",SR-4,3.05m,"10' 0""",Hilltop Invitational,"Jan 22, 2022"
,"Kopf, Sarina",SR-4,3.05m,"10' 0""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Kopf, Sarina",SR-4,3.05m,"10' 0""",Luther College Invitational,"Feb 5, 2022"
,"Kopf, Sarina",SR-4,3.05m,"10' 0""",Darren Young Invitational,"Feb 12, 2022"
,"Kopf, Sarina",SR-4,2.92m,"9' 7""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Kopf, Sarina",SR-4,2.90m,"9' 6.25""",Hilltop Invitational,"Jan 22, 2022"
