Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Olowu, Paige",SR-4,27.37,Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Olowu, Paige",SR-4,27.38,Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Olowu, Paige",SR-4,27.54,Luther College Invitational,"Feb 5, 2022",NWI
,"Frasca, Athena",JR-3,27.69,Grinnell Holiday Indoor Triangular,"Dec 10, 2021",NWI
,"Frasca, Athena",JR-3,27.7,Darren Young Invitational,"Feb 12, 2022",NWI
,"Edassery, Sonia",SO-2,27.87,Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Edassery, Sonia",SO-2,28.02,Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Olowu, Paige",SR-4,28.14,Darren Young Invitational,"Feb 12, 2022",NWI
,"Crowe, Maile",FR-1,28.2,Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Crowe, Maile",FR-1,28.22,Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"Frasca, Athena",JR-3,28.31,Liz Wuertz Invite,"Feb 19, 2022",NWI
,"Frasca, Athena",JR-3,28.4,Hilltop Invitational,"Jan 22, 2022",NWI
,"Crowe, Maile",FR-1,28.43,Grinnell Holiday Indoor Triangular,"Dec 10, 2021",NWI
,"Edassery, Sonia",SO-2,28.52,Grinnell Holiday Indoor Triangular,"Dec 10, 2021",NWI
,"Edassery, Sonia",SO-2,28.53,Hilltop Invitational,"Jan 22, 2022",NWI
,"Crowe, Maile",FR-1,28.55,Darren Young Invitational,"Feb 12, 2022",NWI
,"Edassery, Sonia",SO-2,28.59,Darren Young Invitational,"Feb 12, 2022",NWI
,"Crowe, Maile",FR-1,28.62,Hilltop Invitational,"Jan 22, 2022",NWI
,"Oden, Melanie",FR-1,29.2,Darren Young Invitational,"Feb 12, 2022",NWI
,"Oden, Melanie",FR-1,29.4,Grinnell Invitational,"Jan 29, 2022",NWI
,"Oden, Melanie",FR-1,29.63,Hilltop Invitational,"Jan 22, 2022",NWI
,"Reid, Sam",FR-1,29.99,Grinnell Holiday Indoor Triangular,"Dec 10, 2021",NWI
,"Reid, Sam",FR-1,30.4,Luther College Invitational,"Feb 5, 2022",NWI
,"Reid, Sam",FR-1,30.95,Hilltop Invitational,"Jan 22, 2022",NWI
,"McClure, Erica",FR-1,31.19,Midwest Conference Indoor Championships,"Feb 25, 2022",NWI
,"McClure, Erica",FR-1,31.29,Liz Wuertz Invite,"Feb 19, 2022",NWI
,"McClure, Erica",FR-1,31.69,Darren Young Invitational,"Feb 12, 2022",NWI
,"McClure, Erica",FR-1,32.14,Grinnell Invitational,"Jan 29, 2022",NWI
,"McClure, Erica",FR-1,33.19,Hilltop Invitational,"Jan 22, 2022",NWI
