0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2015-16,14,1089,235,149,77,72,7,1,6,6,77.8
2016-17,11,811,232,140,71,70,6,3,6,6,73.7
Totals,25,1900,232,140,71,70,13,4,12,12,76.0
