0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2014,10,944,302,180,89,87,6,-,-,2,94.4
2015-16,12,1063,275,166,91,81,6,-,-,1,88.6
2016-17,4,361,-,184,83,83,3,-,-,1,90.3
Totals,26,2368,275,166,83,81,15,-,-,4,91.1
