Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,780,1055,1835,,,,,,,,,93332,,,93332,99610,80874,,180484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190903,,,190903,45930,34618,,80548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40308,40308,,80616,80550,61925,,142475,,116518,,116518,,,,,43735,54961,,98696,,,,,,,,,,,,,,,,,23194,15620,,38814,,,,,,,,,82411,99169,,181580,,98747,,98747,,21731,,21731,,,,,,,,,,,,,699973,624471,,401631,1726075
2004,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,810,1037,1847,,,,,,,,,109809,,,109809,119687,90959,,210646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210917,,,210917,32684,25486,,58170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67471,130159,,197630,,64702,,64702,,,,,59752,64602,,124354,,,,,,,,,,,,,,,,,19800,19345,,39145,,,,,,,,,83329,109483,,192812,,118262,,118262,,26635,,26635,,,,,,,,,,,,,703449,649633,,588305,1941387
2005,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,766,1061,1827,,,,,,,,,133511,,,133511,137033,105928,,242961,,,,,,,,,110990,143749,,254739,,,,,,,,,,,,,,,,,336154,,,336154,31843,29741,,61584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130991,97408,,228399,,74298,,74298,,,,,45889,79435,,125324,,,,,,,,,,,,,,,,,33998,29302,,63300,,,,,,,,,,,,,,124511,,124511,,64842,,64842,,,,,,,,,,,,,960409,749214,,771516,2481139
2006,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,785,1099,1884,,,,,,,,,139848,,,139848,135736,120687,,256423,,,,,,,,,116951,144214,,261165,,,,,,,,,,,,,,,,,355288,,,355288,35396,35396,,70792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119739,97433,,217172,,117785,,117785,,,,,62768,62768,,125536,,,,,,,,,,,,,,,,,28720,28720,,57440,,,,,,,,,,,,,,127325,,127325,,69803,,69803,,,,,,,,,,,,,994446,804131,,696523,2495100
2007,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,791,1081,1872,,,,,,,,,135883,,,135883,126730,123203,,249933,,,,,,,,,137449,152269,,289718,,,,,,,,,,,,,,,,,273624,,,273624,41700,41700,,83400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95722,150351,,246073,,116742,,116742,,,,,78152,78152,,156304,,,,,,,,,,,,,,,,,30122,30122,,60244,,,,,,,,,,,,,,124254,,124254,,37239,,37239,,,,,,,,,,,,,919382,854032,,810585,2583999
2008,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,784,1074,1858,,,,,,,,,151196,,,151196,163039,125476,,288515,,,,,,,,,139068,159455,,298523,,,,,,,,,,,,,,,,,316406,,,316406,37956,36448,,74404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121467,163521,,284988,,118892,,118892,,,,,62563,75789,,138352,,,,,,,,,,,,,,,,,34754,33018,,67772,,,,,,,,,,,,,,132608,,132608,,61912,,61912,,,,,,,,,,,,,1026449,907119,,1271741,3205309
2009,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,832,1125,1957,,,,,,,,,141939,,,141939,166449,145196,,311645,,,,,,,,,122413,149030,,271443,,,,,,,,,,,,,,,,,324618,,,324618,39670,39670,,79340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138915,186607,,325522,,116968,,116968,,,,,57939,57939,,115878,,,,,,,,,,,,,,,,,26865,26865,,53730,,,,,,,,,,,,,,149151,,149151,,87119,,87119,,,,,,,,,,,,,1018808,958545,,1302487,3279840
2010,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,825,1162,1987,,,,,,,,,146204,,,146204,163871,160115,,323986,,,,,,,,,128434,138172,,266606,,,,,,,,,,,,,,,,,366743,,,366743,55194,39425,,94619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145185,130395,,275580,,124265,,124265,,,,,58199,95236,,153435,,,,,,,,,,,,,,,,,31595,31595,,63190,,,,,,,,,,,,,,118365,,118365,,91786,,91786,,,,,,,,,,,,,1095425,929354,,1404793,3429572
2011,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,801,1177,1978,,,,,,,,,146356,,,146356,154857,162756,,317613,,,,,,,,,135338,177225,,312563,,,,,,,,,,,,,,,,,383251,,,383251,54091,47333,,101424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130314,100165,,230479,,131452,,131452,,,,,46735,72227,,118962,,,,,,,,,,,,,,,,,36330,33027,,69357,,,,,,,,,,,,,,120783,,120783,,103097,,103097,,,,,,,,,,,,,1087272,948065,,1851515,3886852
2012,173902,00235800,Macalester College,MN,NCAA Division III (with football),,1,NCAA,816,1215,2031,,,,,,,,,161911,,,161911,177731,170337,,348068,,,,,,,,,146639,159242,,305881,,,,,,,,,,,,,,,,,410395,,,410395,35489,47319,,82808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141081,120370,,261451,,109561,,109561,,,,,56686,61046,,117732,,,,,,,,,,,,,,,,,30649,27863,,58512,,,,,,,,,,,,,,161241,,161241,,79937,,79937,,,,,,,,,,,,,1160581,936916,,1870906,3968403
