Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,562,593,1155,,,,,,,,,29846,,,29846,49504,23267,,72771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99433,,,99433,17346,9623,,26969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22240,19620,,41860,,24263,,24263,,,,,,,,,,,,,,,,,,,,,,,,,23080,11198,,34278,14116,14116,,28232,14116,14116,,28232,12701,12701,,25402,0,27126,,27126,,,,,,,,,,,,,,,,,282382,156030,,13973,452385
2004,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,584,663,1247,,,,,,,,,41678,,,41678,37748,27072,,64820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105506,,,105506,20616,16412,,37028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27335,20555,,47890,,29528,,29528,,,,,,,,,27959,27959,,55918,,,,,,,,,,,,,26895,9585,,36480,20899,20899,,41798,20899,20899,,41798,12305,12305,,24610,,20441,,20441,,,,,,,,,,,,,,,,,341840,205655,,3234,550729
2005,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,621,707,1328,,,,,,,,,40333,,,40333,48167,44569,,92736,,,,,,,,,70334,70334,,140668,,,,,,,,,,,,,,,,,123536,,,123536,22765,22664,,45429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30779,27443,,58222,,36731,,36731,,,,,,,,,40560,40560,,81120,,,,,,,,,,,,,14256,13118,,27374,,,,,,,,,,,,,,57287,,57287,,,,,,,,,,,,,,,,,390730,312706,,23331,726767
2006,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,615,730,1345,,,,,,,,,48408,,,48408,112407,46207,,158614,,,,,,,,,60955,60955,,121910,,,,,,,,,,,,,,,,,170742,,,170742,29028,21381,,50409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60176,19659,,79835,,27873,,27873,,,,,,,,,27623,27623,,55246,,,,,,,,,,,,,24988,13448,,38436,,,,,,,,,,,,,,32499,,32499,,,,,,,,,,,,,,,,,534327,249645,,94246,878218
2007,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,611,732,1343,,,,,,,,,30326,,,30326,77032,32661,,109693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131792,,,131792,21221,14556,,35777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61294,20660,,81954,,27392,,27392,,,,,33773,33773,,67546,,,,,,,,,,,,,,,,,23032,10789,,33821,19994,19994,,39988,19994,19994,,39988,14713,14713,,29426,,29470,,29470,,,,,,,,,,,,,,,,,433171,224002,,110536,767709
2008,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,628,686,1314,,,,,,,,,50952,,,50952,90799,66165,,156964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132831,,,132831,46462,29943,,76405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80098,36327,,116425,,33589,,33589,,,,,39612,31134,,70746,,,,,,,,,,,,,,,,,46108,10885,,56993,32093,28263,,60356,31225,29131,,60356,22754,23888,,46642,,62371,,62371,,,,,,,,,,,,,,,,,572934,351696,,110536,1035166
2009,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,659,698,1357,,,,,,,,,44532,,,44532,98430,64559,,162989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197704,,,197704,55489,18082,,73571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64479,30392,,94871,,27805,,27805,,,,,,,,,33780,32196,,65976,,,,,,,,,,,,,45970,16172,,62142,35674,24990,,60664,35674,24990,,60664,44853,43377,,88230,,58042,,58042,,,,,,,,,,,,,,,,,656585,340605,,120700,1117890
2010,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,648,699,1347,,,,,,,,,55227,,,55227,96965,64101,,161066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202967,,,202967,57314,19794,,77108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50501,28199,,78700,,28740,,28740,,,,,23861,34467,,58328,,,,,,,,,,,,,,,,,48348,12954,,61302,39188,25864,,65052,39188,25864,,65052,45864,25799,,71663,,51027,,51027,,,,,,,,,,,,,,,,,659423,316809,,158740,1134972
2011,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,609,657,1266,,,,,,,,,34900,,,34900,89830,82965,,172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162383,,,162383,62479,24322,,86801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60549,30721,,91270,,26673,,26673,,,,,23521,57122,,80643,,,,,,,,,,,,,,,,,54522,66727,,121249,55132,49358,,104490,46249,33608,,79857,32128,30743,,62871,,34591,,34591,,,,,,,,,,,,,,,,,621693,436830,,130211,1188734
2012,147341,00172500,Monmouth College,IL,NCAA Division III (with football),,1,NCAA,568,655,1223,,,,,,,,,38738,,,38738,101625,57070,,158695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204619,,,204619,57281,16410,,73691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32159,26010,,58169,,54413,,54413,,,,,33727,57635,,91362,,,,,,,,,,,,,,,,,54849,12205,,67054,28545,27600,,56145,28545,25696,,54241,29258,31002,,60260,,47488,,47488,,,,,,,,,,,,,,,,,609346,355529,,114591,1079466
