Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2013,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,662,829,1491,,,,,,,,,119318,,,119318,121117,98141,,219258,,,,,,,,,72813,61671,,134484,,,,,,,,,17546,10754,,28300,,,,,251490,,,251490,25667,,,25667,,,,,265276,,,265276,,,,,,,,,,,,,,,,,,,,,,,,,100101,85425,,185526,,112882,,112882,,,,,,,,,44220,50912,,95132,,,,,,,,,,,,,34502,32204,,66706,,,,,,,,,,,,,,103404,,103404,,,,,,,,,,,,,,,,,1052050,555393,,680281,2287724
2014,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,657,792,1449,,,,,,,,,123861,,,123861,120447,107938,,228385,,,,,,,,,76058,54644,,130702,,,,,,,,,21972,14047,,36019,,,,,284054,,,284054,25437,,,25437,,,,,260951,,,260951,,,,,,,,,,,,,,,,,,,,,,,,,100116,93719,,193835,,112664,,112664,,,,,,,,,41644,56260,,97904,,,,,,,,,,,,,35926,34459,,70385,,,,,,,,,,,,,,107193,,107193,,,,,,,,,,,,,,,,,1090466,580924,,702281,2373671
2015,239017,00385600,Lawrence University,WI,NCAA Division III (with football),,1,NCAA,669,825,1494,,,,,,,,,97195,,,97195,108867,89143,,198010,,,,,,,,,65322,57766,,123088,,,,,,,,,17413,17414,,34827,,,,,330191,,,330191,22363,,,22363,,,,,279439,,,279439,,,,,,,,,,,,,,,,,,,,,,,,,84286,78422,,162708,,103292,,103292,,,,,,,,,46952,42778,,89730,,,,,,,,,,,,,39740,30839,,70579,,,,,,,,,,,,,,93788,,93788,,,,,,,,,,,,,,,,,1091768,513442,,721831,2327041
2016,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,683,809,1492,,,,,,,,,105993,,,105993,119625,95359,,214984,,,,,,,,,79025,74275,,153300,,,,,,,,,27890,30562,,58452,,,,,378198,,,378198,,,,,,,,,242159,,,242159,,,,,,,,,,,,,,,,,,,,,,,,,86084,87577,,173661,,117659,,117659,,,,,,,,,31691,65818,,97509,,,,,,,,,,,,,54779,42231,,97010,,,,,,,,,,,,,,107164,,107164,,,,,,,,,,,,,,,,,1125444,620645,,1022675,2768764
2017,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,655,763,1418,,,,,,,,,131737,,,131737,156544,113715,,270259,,,,,,,,,89880,94764,,184644,,,,,,,,,33695,35296,,68991,,,,,366616,,,366616,,,,,,,,,240307,,,240307,,,,,,,,,,,,,,,,,,,,,,,,,83792,91352,,175144,,111523,,111523,,,,,,,,,53344,73037,,126381,,,,,,,,,,,,,34800,33563,,68363,,,,,,,,,,,,,,99493,,99493,,,,,,,,,,,,,,,,,1190715,652743,,899423,2742881
2018,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,653,751,1404,,,,,,,,,123866,,,123866,163831,118351,,282182,,,,,,,,,100693,106313,,207006,,,,,,,,,36601,38486,,75087,,,,,357084,,,357084,,,,,,,,,227529,,,227529,,,,,,,,,,,,,,,,,,,,,,,,,94666,85245,,179911,,110063,,110063,,,,,,71783,,71783,54589,,,54589,,,,,,,,,,,,,43242,35933,,79175,,,,,,,,,,,,,,126350,,126350,,,,,,,,,,,,,,,,,1202101,692524,,909251,2803876
2019,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,643,754,1397,,,,,,,,,119294,,,119294,165703,126132,,291835,,,,,,,,,84209,79252,,163461,,,,,,,,,43749,41370,,85119,,,,,365225,,,365225,,,,,,,,,246509,,,246509,,,,,,,,,,,,,,,,,,,,,,,,,95604,99465,,195069,,96416,,96416,,,,,,57662,,57662,52545,,,52545,,,,,,,,,,,,,39321,36169,,75490,,,,,,,,,,,,,,111542,,111542,,,,,,,,,,,,,,,,,1212159,648008,,648886,2509053
2020,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,616,773,1389,,,,,,,,,159327,,,159327,134836,99496,,234332,,,,,,,,,91149,97456,,188605,,,,,,,,,31669,31669,,63338,,,,,,,,,,,,,,,,,179106,161297,,340403,,,,,,,,,,,,,,,,,,,,,,,,,81407,72220,,153627,,93229,,93229,,,,,,51587,,51587,46611,,,46611,,,,,,,,,,,,,,33292,,33292,,,,,,,,,,,,,,74916,,74916,,,,,,,,,,,,,,,,,724105,715162,,826692,2265959
2021,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,665,787,1452,,,,,,,,,140362,,,140362,137941,112975,,250916,,,,,,,,,81027,92933,,173960,,,,,,,,,41799,37909,,79708,,,,,380226,,,380226,,,,,,,,,227847,180606,,408453,,,,,,,,,,,,,,,,,,,,,,,,,97151,91435,,188586,,112173,,112173,,,,,54316,67198,,121514,,,,,,,,,,,,,,,,,11115,13036,,24151,,,,,,,,,,,,,,107898,,107898,,,,,,,,,,,,,,,,,1171784,816163,,494348,2482295
2022,239017,00385600,Lawrence University,WI,NCAA Division III with football,,1,NCAA,642,752,1394,,,,,,,,,209033,,,209033,167829,179837,,347666,,,,,,,,,119260,132274,,251534,,,,,,,,,69053,60290,,129343,,,,,424495,,,424495,,,,,,,,,314663,242125,,556788,,,,,,,,,,,,,,,,,,,,,,,,,120687,120769,,241456,,151219,,151219,,,,,80506,86172,,166678,,,,,,,,,,,,,,,,,65874,43807,,109681,,,,,,,,,,,,,,100333,,100333,,,,,,,,,,,,,,,,,1571400,1116826,,726749,3414975
