Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,500,763,1263,,,,,,,,,24737,,,24737,23282,18312,,41594,,,,,,,,,21197,19844,,41041,,,,,,,,,,,,,,,,,23868,,,23868,3992,4990,,8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11040,9570,,20610,,17316,,17316,,,,,,,,,4090,12710,,16800,,,,,,,,,,,,,5778,5580,,11358,,,,,,,,,,,,,0,13787,,13787,,,,,,,,,,,,,,,,,117984,102109,,743523,963616
2004,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,523,778,1301,,,,,,,,,45785,,,45785,84740,54250,,138990,,,,,,,,,40097,42367,,82464,,,,,,,,,,,,,,,,,197811,,,197811,13916,11096,,25012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63979,26222,,90201,,50277,,50277,,,,,,,,,8592,14496,,23088,,,,,,,,,,,,,16134,25157,,41291,,,,,,,,,,,,,,45882,,45882,,,,,,,,,,,,,,,,,471054,269747,,381651,1122452
2005,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,544,786,1330,,,,,,,,,64776,,,64776,97214,66587,,163801,,,,,,,,,56302,56302,,112604,,,,,,,,,,,,,,,,,227232,,,227232,8339,8339,,16678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69571,16709,,86280,,66193,,66193,,,,,,,,,12514,12514,,25028,,,,,,,,,,,,,19571,8998,,28569,,,,,,,,,,,,,,29814,,29814,,,,,,,,,,,,,,,,,555519,265456,,451339,1272314
2006,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,532,761,1293,,,,,,,,,68949,,,68949,101415,62947,,164362,,,,,,,,,59491,59491,,118982,,,,,,,,,,,,,,,,,225296,,,225296,8950,5578,,14528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69656,51404,,121060,,49511,,49511,,,,,,,,,12756,12756,,25512,,,,,,,,,,,,,18548,8520,,27068,,,,,,,,,,,,,,44646,,44646,,,,,,,,,,,,,,,,,565061,294853,,429873,1289787
2007,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,555,741,1296,,,,,,,,,71897,,,71897,65953,75734,,141687,,,,,,,,,51979,51979,,103958,,,,,,,,,,,,,,,,,214456,,,214456,15125,14458,,29583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79309,54428,,133737,,72361,,72361,,,,,,,,,13364,13364,,26728,,,,,,,,,,,,,11347,6483,,17830,,,,,,,,,,,,,,71417,,71417,,,,,,,,,,,,,,,,,523430,360224,,553731,1437385
2008,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,561,727,1288,,,,,,,,,74799,,,74799,66232,87260,,153492,,,,,,,,,56850,57467,,114317,,,,,,,,,,,,,,,,,220661,,,220661,16264,,,16264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84455,53463,,137918,,80108,,80108,,,,,,,,,12323,15155,,27478,,,,,,,,,,,,,14337,7684,,22021,,,,,,,,,,,,,,80826,,80826,,,,,,,,,,,,,,,,,545921,381963,,495741,1423625
2009,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,567,749,1316,,,,,,,,,67453,,,67453,66414,84975,,151389,,,,,,,,,59424,51800,,111224,,,,,,,,,,,,,,,,,237580,,,237580,18344,,,18344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85659,56061,,141720,,76218,,76218,,,,,,,,,15139,21268,,36407,,,,,,,,,,,,,16514,9560,,26074,,,,,,,,,,,,,,78250,,78250,,,,,,,,,,,,,,,,,566527,378132,,505041,1449700
2010,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,560,741,1301,,,,,,,,,92342,,,92342,84191,59714,,143905,,,,,,,,,64110,55019,,119129,,,,,,,,,,,,,,,,,222496,,,222496,16455,,,16455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80023,56062,,136085,,89128,,89128,,,,,,,,,16246,16846,,33092,,,,,,,,,,,,,,9553,,9553,,,,,,,,,,,,,,91932,,91932,,,,,,,,,,,,,,,,,575863,378254,,485676,1439793
2011,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,543,752,1295,,,,,,,,,136083,,,136083,81086,65820,,146906,,,,,,,,,70999,69444,,140443,,,,,,,,,,,,,,,,,311615,,,311615,19113,,,19113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105327,70337,,175664,,113290,,113290,,,,,16693,23838,,40531,,,,,,,,,,,,,,,,,,10198,,10198,,,,,,,,,,,,,,74725,,74725,,,,,,,,,,,,,,,,,740916,427652,,1031019,2199587
2012,238333,00383500,Beloit College,WI,NCAA Division III (with football),,1,NCAA,507,735,1242,,,,,,,,,133523,,,133523,101336,71208,,172544,,,,,,,,,71381,77414,,148795,,,,,,,,,,,,,,,,,257010,,,257010,,,,,,,,,,,,,121256,76260,,197516,,,,,,,,,,,,,,,,,,,,,86622,71603,,158225,,106490,,106490,,,,,33111,36000,,69111,,,,,,,,,,,,,,,,,,11497,,11497,,,,,,,,,,,,,,82083,,82083,,,,,,,,,,,,,,,,,804239,532555,,586647,1923441
