0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2010,14,1250,283,168,82,82,8,-,1,2,89.3
2011,14,1256,280,164,91,81,7,-,-,1,89.7
2012,6,528,-,172,-,83,4,-,-,2,88.0
Totals,34,3034,280,164,82,81,19,-,1,5,89.2
