Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Schaefer, Emma",JR-3,4:56.45,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Daney, Micaela",SR-4,5:01.52,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Diamond-Berman, Mira",FR-1,5:18.84,Mustang Open,"Apr 9, 2022"
,"Mullen, Ginger",FR-1,5:26.53,Mustang Open,"Apr 9, 2022"
,"Keane, Lily",SR-4,5:28.35,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Rabbani, Allison",FR-1,5:29.14,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Kaczmarczyk, Crystal",FR-1,5:31.00,2022 Kip Janvrin Open,"Apr 28, 2022"
,"Elliott-Rude, Eleanor",FR-1,5:31.05,Mustang Open,"Apr 9, 2022"
,"Ford, Sophia",FR-1,5:38.45,Mustang Open,"Apr 9, 2022"
,"Klassen, Kylie",FR-1,5:39.90,Midwest Conference Outdoor Championship,"May 13, 2022"
,"DonTigny, Emilie",FR-1,6:00.47,Mustang Open,"Apr 9, 2022"
,"Smith, Abbie",SO-2,6:08.85,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
