Year,Gender,Sport,School,Expense
2003,Women,Soccer,Macalester College,61925.0
2003,Women,Softball,Macalester College,116518.0
2003,Women,Swimming and Diving,Macalester College,54961.0
2003,Women,Tennis,Macalester College,15620.0
2003,Women,Volleyball,Macalester College,98747.0
2004,Men,Baseball,Macalester College,109809.0
2004,Men,Basketball,Macalester College,119687.0
2004,Men,Cross Country,Macalester College,83329.0
2004,Men,Football,Macalester College,210917.0
2004,Men,Golf,Macalester College,32684.0
2004,Men,Soccer,Macalester College,67471.0
2004,Men,Swimming and Diving,Macalester College,59752.0
2004,Men,Tennis,Macalester College,19800.0
2004,Women,Basketball,Macalester College,90959.0
2004,Women,Cross Country,Macalester College,109483.0
2004,Women,Golf,Macalester College,25486.0
2004,Women,Soccer,Macalester College,130159.0
2004,Women,Softball,Macalester College,64702.0
2004,Women,Swimming and Diving,Macalester College,64602.0
2004,Women,Tennis,Macalester College,19345.0
2004,Women,Volleyball,Macalester College,118262.0
2005,Men,Baseball,Macalester College,133511.0
2005,Men,Basketball,Macalester College,137033.0
2005,Men,Football,Macalester College,336154.0
2005,Men,Golf,Macalester College,31843.0
2005,Men,Soccer,Macalester College,130991.0
2005,Men,Swimming and Diving,Macalester College,45889.0
2005,Men,Tennis,Macalester College,33998.0
2005,Women,Basketball,Macalester College,105928.0
2005,Women,Golf,Macalester College,29741.0
2005,Women,Soccer,Macalester College,97408.0
2005,Women,Softball,Macalester College,74298.0
2005,Women,Swimming and Diving,Macalester College,79435.0
2005,Women,Tennis,Macalester College,29302.0
2005,Women,Volleyball,Macalester College,124511.0
2006,Men,Baseball,Macalester College,139848.0
2006,Men,Basketball,Macalester College,135736.0
2006,Men,Football,Macalester College,355288.0
2006,Men,Golf,Macalester College,35396.0
2006,Men,Soccer,Macalester College,119739.0
2006,Men,Swimming and Diving,Macalester College,62768.0
2006,Men,Tennis,Macalester College,28720.0
2006,Women,Basketball,Macalester College,120687.0
2006,Women,Golf,Macalester College,35396.0
2006,Women,Soccer,Macalester College,97433.0
2006,Women,Softball,Macalester College,117785.0
2006,Women,Swimming and Diving,Macalester College,62768.0
2006,Women,Tennis,Macalester College,28720.0
2006,Women,Volleyball,Macalester College,127325.0
2007,Men,Baseball,Macalester College,135883.0
2007,Men,Basketball,Macalester College,126730.0
2007,Men,Football,Macalester College,273624.0
2007,Men,Golf,Macalester College,41700.0
2007,Men,Soccer,Macalester College,95722.0
2007,Men,Swimming and Diving,Macalester College,78152.0
2007,Men,Tennis,Macalester College,30122.0
2007,Women,Basketball,Macalester College,123203.0
2007,Women,Golf,Macalester College,41700.0
2007,Women,Soccer,Macalester College,150351.0
2007,Women,Softball,Macalester College,116742.0
2007,Women,Swimming and Diving,Macalester College,78152.0
2007,Women,Tennis,Macalester College,30122.0
2007,Women,Volleyball,Macalester College,124254.0
2008,Men,Baseball,Macalester College,151196.0
2008,Men,Basketball,Macalester College,163039.0
2008,Men,Football,Macalester College,316406.0
2008,Men,Golf,Macalester College,37956.0
2008,Men,Soccer,Macalester College,121467.0
2008,Men,Swimming and Diving,Macalester College,62563.0
2008,Men,Tennis,Macalester College,34754.0
2008,Women,Basketball,Macalester College,125476.0
2008,Women,Golf,Macalester College,36448.0
2008,Women,Soccer,Macalester College,163521.0
2008,Women,Softball,Macalester College,118892.0
2008,Women,Swimming and Diving,Macalester College,75789.0
2008,Women,Tennis,Macalester College,33018.0
2008,Women,Volleyball,Macalester College,132608.0
2009,Men,Baseball,Macalester College,141939.0
2009,Men,Basketball,Macalester College,166449.0
2009,Men,Football,Macalester College,324618.0
2009,Men,Golf,Macalester College,39670.0
2009,Men,Soccer,Macalester College,138915.0
2009,Men,Swimming and Diving,Macalester College,57939.0
2009,Men,Tennis,Macalester College,26865.0
2009,Women,Basketball,Macalester College,145196.0
2009,Women,Golf,Macalester College,39670.0
2009,Women,Soccer,Macalester College,186607.0
2009,Women,Softball,Macalester College,116968.0
2009,Women,Swimming and Diving,Macalester College,57939.0
2009,Women,Tennis,Macalester College,26865.0
2009,Women,Volleyball,Macalester College,149151.0
2010,Men,Baseball,Macalester College,146204.0
2010,Men,Basketball,Macalester College,163871.0
2010,Men,Football,Macalester College,366743.0
2010,Men,Golf,Macalester College,55194.0
2010,Men,Soccer,Macalester College,145185.0
2010,Men,Swimming and Diving,Macalester College,58199.0
2010,Men,Tennis,Macalester College,31595.0
2010,Women,Basketball,Macalester College,160115.0
2010,Women,Golf,Macalester College,39425.0
2010,Women,Soccer,Macalester College,130395.0
2010,Women,Softball,Macalester College,124265.0
2010,Women,Swimming and Diving,Macalester College,95236.0
2010,Women,Tennis,Macalester College,31595.0
2010,Women,Volleyball,Macalester College,118365.0
2011,Men,Baseball,Macalester College,146356.0
2011,Men,Basketball,Macalester College,154857.0
2011,Men,Football,Macalester College,383251.0
2011,Men,Golf,Macalester College,54091.0
2011,Men,Soccer,Macalester College,130314.0
2011,Men,Swimming and Diving,Macalester College,46735.0
2011,Men,Tennis,Macalester College,36330.0
2011,Women,Basketball,Macalester College,162756.0
2011,Women,Golf,Macalester College,47333.0
2011,Women,Soccer,Macalester College,100165.0
2011,Women,Softball,Macalester College,131452.0
2011,Women,Swimming and Diving,Macalester College,72227.0
2011,Women,Tennis,Macalester College,33027.0
2011,Women,Volleyball,Macalester College,120783.0
2012,Men,Baseball,Macalester College,161911.0
2012,Men,Basketball,Macalester College,177731.0
2012,Men,Football,Macalester College,410395.0
2012,Men,Golf,Macalester College,35489.0
2012,Men,Soccer,Macalester College,141081.0
2012,Men,Swimming and Diving,Macalester College,56686.0
2012,Men,Tennis,Macalester College,30649.0
2012,Women,Basketball,Macalester College,170337.0
2012,Women,Golf,Macalester College,47319.0
2012,Women,Soccer,Macalester College,120370.0
2012,Women,Softball,Macalester College,109561.0
2012,Women,Swimming and Diving,Macalester College,61046.0
2012,Women,Tennis,Macalester College,27863.0
2012,Women,Volleyball,Macalester College,161241.0
2013,Men,Baseball,Macalester College,157561.0
2013,Men,Basketball,Macalester College,165981.0
2013,Men,Football,Macalester College,417601.0
2013,Men,Golf,Macalester College,42207.0
2013,Men,Soccer,Macalester College,157353.0
2013,Men,Tennis,Macalester College,28697.0
2013,Women,Basketball,Macalester College,165870.0
2013,Women,Golf,Macalester College,54267.0
2013,Women,Soccer,Macalester College,141159.0
2013,Women,Softball,Macalester College,112877.0
2013,Women,Swimming and Diving,Macalester College,76570.0
2013,Women,Tennis,Macalester College,31306.0
2013,Women,Volleyball,Macalester College,139580.0
2014,Men,Baseball,Macalester College,157755.0
2014,Men,Basketball,Macalester College,172625.0
2014,Men,Football,Macalester College,493476.0
2014,Men,Golf,Macalester College,47373.0
2014,Men,Soccer,Macalester College,166675.0
2014,Men,Swimming and Diving,Macalester College,55403.0
2014,Men,Tennis,Macalester College,32286.0
2014,Women,Basketball,Macalester College,150379.0
2014,Women,Golf,Macalester College,55268.0
2014,Women,Soccer,Macalester College,154171.0
2014,Women,Softball,Macalester College,120566.0
2014,Women,Swimming and Diving,Macalester College,100733.0
2014,Women,Tennis,Macalester College,35222.0
2014,Women,Volleyball,Macalester College,133530.0
2015,Men,Baseball,Macalester College,168917.0
2015,Men,Basketball,Macalester College,187322.0
2015,Men,Football,Macalester College,542622.0
2015,Men,Golf,Macalester College,52880.0
2015,Men,Soccer,Macalester College,170310.0
2015,Men,Swimming and Diving,Macalester College,54758.0
2015,Men,Tennis,Macalester College,35064.0
2015,Women,Basketball,Macalester College,158053.0
2015,Women,Golf,Macalester College,52880.0
2015,Women,Soccer,Macalester College,149093.0
2015,Women,Softball,Macalester College,135261.0
2015,Women,Swimming and Diving,Macalester College,76661.0
2015,Women,Tennis,Macalester College,35064.0
2015,Women,Volleyball,Macalester College,142030.0
2016,Men,Baseball,Macalester College,188592.0
2016,Men,Basketball,Macalester College,185268.0
2016,Men,Football,Macalester College,538305.0
2016,Men,Golf,Macalester College,71633.0
2016,Men,Soccer,Macalester College,177147.0
2016,Men,Swimming and Diving,Macalester College,51863.0
2016,Men,Tennis,Macalester College,35754.0
2016,Women,Basketball,Macalester College,169417.0
2016,Women,Golf,Macalester College,11939.0
2016,Women,Soccer,Macalester College,165328.0
2016,Women,Softball,Macalester College,150789.0
2016,Women,Swimming and Diving,Macalester College,82116.0
2016,Women,Tennis,Macalester College,32504.0
2016,Women,Volleyball,Macalester College,134709.0
2017,Men,Baseball,Macalester College,187736.0
2017,Men,Basketball,Macalester College,169774.0
2017,Men,Football,Macalester College,544721.0
2017,Men,Golf,Macalester College,67488.0
2017,Men,Soccer,Macalester College,173100.0
2017,Men,Swimming and Diving,Macalester College,68838.0
2017,Men,Tennis,Macalester College,46701.0
2017,Women,Basketball,Macalester College,144540.0
2017,Women,Golf,Macalester College,34244.0
2017,Women,Soccer,Macalester College,148477.0
2017,Women,Softball,Macalester College,136704.0
2017,Women,Swimming and Diving,Macalester College,79790.0
2017,Women,Tennis,Macalester College,34072.0
2017,Women,Volleyball,Macalester College,134926.0
2018,Men,Baseball,Macalester College,222993.0
2018,Men,Basketball,Macalester College,161588.0
2018,Men,Football,Macalester College,584346.0
2018,Men,Golf,Macalester College,61509.0
2018,Men,Soccer,Macalester College,227553.0
2018,Men,Swimming and Diving,Macalester College,77751.0
2018,Men,Tennis,Macalester College,51050.0
2018,Women,Basketball,Macalester College,167125.0
2018,Women,Golf,Macalester College,51258.0
2018,Women,Soccer,Macalester College,171265.0
2018,Women,Softball,Macalester College,204018.0
2018,Women,Swimming and Diving,Macalester College,88118.0
2018,Women,Tennis,Macalester College,30630.0
2018,Women,Volleyball,Macalester College,137604.0
2019,Men,Baseball,Macalester College,181150.0
2019,Men,Basketball,Macalester College,198279.0
2019,Men,Football,Macalester College,569283.0
2019,Men,Golf,Macalester College,72766.0
2019,Men,Soccer,Macalester College,225812.0
2019,Men,Swimming and Diving,Macalester College,45395.0
2019,Men,Tennis,Macalester College,42848.0
2019,Women,Basketball,Macalester College,189355.0
2019,Women,Golf,Macalester College,27287.0
2019,Women,Soccer,Macalester College,171394.0
2019,Women,Softball,Macalester College,197609.0
2019,Women,Swimming and Diving,Macalester College,141860.0
2019,Women,Tennis,Macalester College,29458.0
2019,Women,Volleyball,Macalester College,168823.0
2020,Men,Baseball,Macalester College,187301.0
2020,Men,Basketball,Macalester College,165716.0
2020,Men,Football,Macalester College,488421.0
2020,Men,Golf,Macalester College,50174.0
2020,Men,Soccer,Macalester College,182804.0
2020,Men,Tennis,Macalester College,27643.0
2020,Women,Basketball,Macalester College,170285.0
2020,Women,Golf,Macalester College,40139.0
2020,Women,Soccer,Macalester College,145865.0
2020,Women,Softball,Macalester College,185794.0
2020,Women,Swimming and Diving,Macalester College,92584.0
2020,Women,Tennis,Macalester College,34554.0
2020,Women,Volleyball,Macalester College,127046.0
2021,Men,Baseball,Macalester College,241324.0
2021,Men,Basketball,Macalester College,208117.0
2021,Men,Football,Macalester College,601365.0
2021,Men,Golf,Macalester College,86347.0
2021,Men,Soccer,Macalester College,232150.0
2021,Men,Tennis,Macalester College,55903.0
2021,Women,Basketball,Macalester College,199737.0
2021,Women,Golf,Macalester College,86347.0
2021,Women,Soccer,Macalester College,174866.0
2021,Women,Softball,Macalester College,222104.0
2021,Women,Swimming and Diving,Macalester College,127336.0
2021,Women,Tennis,Macalester College,46037.0
2021,Women,Volleyball,Macalester College,187168.0
2022,Men,Baseball,Macalester College,247300.0
2022,Men,Basketball,Macalester College,212646.0
2022,Men,Football,Macalester College,535949.0
2022,Men,Golf,Macalester College,98347.0
2022,Men,Soccer,Macalester College,263403.0
2022,Men,Swimming and Diving,Macalester College,84731.0
2022,Men,Tennis,Macalester College,50586.0
2022,Women,Basketball,Macalester College,213014.0
2022,Women,Golf,Macalester College,78677.0
2022,Women,Soccer,Macalester College,192482.0
2022,Women,Softball,Macalester College,274133.0
2022,Women,Swimming and Diving,Macalester College,150632.0
2022,Women,Tennis,Macalester College,67448.0
2022,Women,Volleyball,Macalester College,227887.0
2003,Men,Baseball,Lawrence,65315.0
2003,Men,Basketball,Lawrence,76467.0
2003,Men,Cross Country,Lawrence,8447.0
2003,Men,Football,Lawrence,102837.0
2003,Men,Golf,Lawrence,23591.0
2003,Men,Soccer,Lawrence,58570.0
2003,Men,Swimming and Diving,Lawrence,42429.0
2003,Men,Tennis,Lawrence,7975.0
2003,Men,Track and Fields,Lawrence,46206.0
2003,Women,Basketball,Lawrence,86140.0
2003,Women,Cross Country,Lawrence,9507.0
2003,Women,Soccer,Lawrence,47441.0
2003,Women,Softball,Lawrence,47384.0
2003,Women,Swimming and Diving,Lawrence,44958.0
2003,Women,Tennis,Lawrence,6415.0
2003,Women,Track and Fields,Lawrence,46206.0
2003,Women,Volleyball,Lawrence,40956.0
2004,Men,Baseball,Lawrence,70278.0
2004,Men,Basketball,Lawrence,89645.0
2004,Men,Football,Lawrence,192046.0
2004,Men,Golf,Lawrence,19000.0
2004,Men,Soccer,Lawrence,57165.0
2004,Men,Swimming and Diving,Lawrence,35615.0
2004,Men,Tennis,Lawrence,13380.0
2004,Women,Basketball,Lawrence,105729.0
2004,Women,Soccer,Lawrence,43599.0
2004,Women,Softball,Lawrence,68653.0
2004,Women,Swimming and Diving,Lawrence,32906.0
2004,Women,Tennis,Lawrence,8419.0
2004,Women,Volleyball,Lawrence,32709.0
2005,Men,Baseball,Lawrence,61659.0
2005,Men,Basketball,Lawrence,117336.0
2005,Men,Cross Country,Lawrence,10303.0
2005,Men,Football,Lawrence,175019.0
2005,Men,Golf,Lawrence,12344.0
2005,Men,Soccer,Lawrence,48501.0
2005,Men,Swimming and Diving,Lawrence,30890.0
2005,Men,Tennis,Lawrence,12097.0
2005,Men,Track and Fields,Lawrence,35486.0
2005,Women,Basketball,Lawrence,116009.0
2005,Women,Cross Country,Lawrence,16223.0
2005,Women,Soccer,Lawrence,53149.0
2005,Women,Softball,Lawrence,105597.0
2005,Women,Swimming and Diving,Lawrence,29150.0
2005,Women,Tennis,Lawrence,18839.0
2005,Women,Track and Fields,Lawrence,25950.0
2005,Women,Volleyball,Lawrence,35910.0
2006,Men,Baseball,Lawrence,48005.0
2006,Men,Basketball,Lawrence,72230.0
2006,Men,Football,Lawrence,130807.0
2006,Men,Golf,Lawrence,20789.0
2006,Men,Soccer,Lawrence,33816.0
2006,Men,Swimming and Diving,Lawrence,24350.0
2006,Men,Tennis,Lawrence,19343.0
2006,Women,Basketball,Lawrence,61416.0
2006,Women,Soccer,Lawrence,31717.0
2006,Women,Softball,Lawrence,54719.0
2006,Women,Swimming and Diving,Lawrence,22384.0
2006,Women,Tennis,Lawrence,17397.0
2006,Women,Volleyball,Lawrence,41337.0
2007,Men,Baseball,Lawrence,65014.0
2007,Men,Basketball,Lawrence,105353.0
2007,Men,Football,Lawrence,237483.0
2007,Men,Golf,Lawrence,14925.0
2007,Men,Soccer,Lawrence,53188.0
2007,Men,Swimming and Diving,Lawrence,36421.0
2007,Men,Tennis,Lawrence,27810.0
2007,Women,Basketball,Lawrence,90112.0
2007,Women,Soccer,Lawrence,53725.0
2007,Women,Softball,Lawrence,111270.0
2007,Women,Swimming and Diving,Lawrence,36003.0
2007,Women,Tennis,Lawrence,25047.0
2007,Women,Volleyball,Lawrence,70757.0
2008,Men,Baseball,Lawrence,91386.0
2008,Men,Basketball,Lawrence,111158.0
2008,Men,Football,Lawrence,272639.0
2008,Men,Golf,Lawrence,11643.0
2008,Men,Soccer,Lawrence,56917.0
2008,Men,Swimming and Diving,Lawrence,39447.0
2008,Men,Tennis,Lawrence,36409.0
2008,Women,Basketball,Lawrence,94463.0
2008,Women,Soccer,Lawrence,77795.0
2008,Women,Softball,Lawrence,76331.0
2008,Women,Swimming and Diving,Lawrence,38780.0
2008,Women,Tennis,Lawrence,25660.0
2008,Women,Volleyball,Lawrence,78341.0
2009,Men,Baseball,Lawrence,84231.0
2009,Men,Basketball,Lawrence,94404.0
2009,Men,Football,Lawrence,236244.0
2009,Men,Golf,Lawrence,9964.0
2009,Men,Soccer,Lawrence,49323.0
2009,Men,Swimming and Diving,Lawrence,34571.0
2009,Men,Tennis,Lawrence,25309.0
2009,Women,Basketball,Lawrence,92113.0
2009,Women,Soccer,Lawrence,65671.0
2009,Women,Softball,Lawrence,68043.0
2009,Women,Swimming and Diving,Lawrence,39503.0
2009,Women,Tennis,Lawrence,25079.0
2009,Women,Volleyball,Lawrence,77874.0
2010,Men,Baseball,Lawrence,86457.0
2010,Men,Basketball,Lawrence,98327.0
2010,Men,Football,Lawrence,242313.0
2010,Men,Golf,Lawrence,9656.0
2010,Men,Soccer,Lawrence,48070.0
2010,Men,Swimming and Diving,Lawrence,37907.0
2010,Men,Tennis,Lawrence,31733.0
2010,Women,Basketball,Lawrence,80018.0
2010,Women,Soccer,Lawrence,57533.0
2010,Women,Softball,Lawrence,76452.0
2010,Women,Swimming and Diving,Lawrence,38430.0
2010,Women,Tennis,Lawrence,31809.0
2010,Women,Volleyball,Lawrence,78738.0
2011,Men,Baseball,Lawrence,94249.0
2011,Men,Basketball,Lawrence,109000.0
2011,Men,Football,Lawrence,257037.0
2011,Men,Golf,Lawrence,10762.0
2011,Men,Soccer,Lawrence,85999.0
2011,Men,Swimming and Diving,Lawrence,41365.0
2011,Men,Tennis,Lawrence,31661.0
2011,Women,Basketball,Lawrence,97988.0
2011,Women,Soccer,Lawrence,63286.0
2011,Women,Softball,Lawrence,86695.0
2011,Women,Swimming and Diving,Lawrence,41412.0
2011,Women,Tennis,Lawrence,39540.0
2011,Women,Volleyball,Lawrence,89649.0
2012,Men,Baseball,Lawrence,95868.0
2012,Men,Basketball,Lawrence,110231.0
2012,Men,Football,Lawrence,206581.0
2012,Men,Golf,Lawrence,12582.0
2012,Men,Soccer,Lawrence,83151.0
2012,Men,Swimming and Diving,Lawrence,39104.0
2012,Men,Tennis,Lawrence,37327.0
2012,Women,Basketball,Lawrence,100551.0
2012,Women,Soccer,Lawrence,73067.0
2012,Women,Softball,Lawrence,94536.0
2012,Women,Swimming and Diving,Lawrence,47303.0
2012,Women,Tennis,Lawrence,31207.0
2012,Women,Volleyball,Lawrence,90417.0
2013,Men,Baseball,Lawrence,119318.0
2013,Men,Basketball,Lawrence,121117.0
2013,Men,Football,Lawrence,251490.0
2013,Men,Golf,Lawrence,25667.0
2013,Men,Soccer,Lawrence,100101.0
2013,Men,Tennis,Lawrence,34502.0
2013,Women,Basketball,Lawrence,98141.0
2013,Women,Soccer,Lawrence,85425.0
2013,Women,Softball,Lawrence,112882.0
2013,Women,Tennis,Lawrence,32204.0
2013,Women,Volleyball,Lawrence,103404.0
2014,Men,Baseball,Lawrence,123861.0
2014,Men,Basketball,Lawrence,120447.0
2014,Men,Football,Lawrence,284054.0
2014,Men,Golf,Lawrence,25437.0
2014,Men,Soccer,Lawrence,100116.0
2014,Men,Tennis,Lawrence,35926.0
2014,Women,Basketball,Lawrence,107938.0
2014,Women,Soccer,Lawrence,93719.0
2014,Women,Softball,Lawrence,112664.0
2014,Women,Tennis,Lawrence,34459.0
2014,Women,Volleyball,Lawrence,107193.0
2015,Men,Baseball,Lawrence,97195.0
2015,Men,Basketball,Lawrence,108867.0
2015,Men,Football,Lawrence,330191.0
2015,Men,Golf,Lawrence,22363.0
2015,Men,Soccer,Lawrence,84286.0
2015,Men,Tennis,Lawrence,39740.0
2015,Women,Basketball,Lawrence,89143.0
2015,Women,Soccer,Lawrence,78422.0
2015,Women,Softball,Lawrence,103292.0
2015,Women,Tennis,Lawrence,30839.0
2015,Women,Volleyball,Lawrence,93788.0
2016,Men,Baseball,Lawrence,105993.0
2016,Men,Basketball,Lawrence,119625.0
2016,Men,Football,Lawrence,378198.0
2016,Men,Soccer,Lawrence,86084.0
2016,Men,Tennis,Lawrence,54779.0
2016,Women,Basketball,Lawrence,95359.0
2016,Women,Soccer,Lawrence,87577.0
2016,Women,Softball,Lawrence,117659.0
2016,Women,Tennis,Lawrence,42231.0
2016,Women,Volleyball,Lawrence,107164.0
2017,Men,Baseball,Lawrence,131737.0
2017,Men,Basketball,Lawrence,156544.0
2017,Men,Football,Lawrence,366616.0
2017,Men,Soccer,Lawrence,83792.0
2017,Men,Tennis,Lawrence,34800.0
2017,Women,Basketball,Lawrence,113715.0
2017,Women,Soccer,Lawrence,91352.0
2017,Women,Softball,Lawrence,111523.0
2017,Women,Tennis,Lawrence,33563.0
2017,Women,Volleyball,Lawrence,99493.0
2018,Men,Baseball,Lawrence,123866.0
2018,Men,Basketball,Lawrence,163831.0
2018,Men,Football,Lawrence,357084.0
2018,Men,Soccer,Lawrence,94666.0
2018,Men,Tennis,Lawrence,43242.0
2018,Women,Basketball,Lawrence,118351.0
2018,Women,Soccer,Lawrence,85245.0
2018,Women,Softball,Lawrence,110063.0
2018,Women,Swimming and Diving,Lawrence,71783.0
2018,Women,Tennis,Lawrence,35933.0
2018,Women,Volleyball,Lawrence,126350.0
2019,Men,Baseball,Lawrence,119294.0
2019,Men,Basketball,Lawrence,165703.0
2019,Men,Football,Lawrence,365225.0
2019,Men,Soccer,Lawrence,95604.0
2019,Men,Tennis,Lawrence,39321.0
2019,Women,Basketball,Lawrence,126132.0
2019,Women,Soccer,Lawrence,99465.0
2019,Women,Softball,Lawrence,96416.0
2019,Women,Swimming and Diving,Lawrence,57662.0
2019,Women,Tennis,Lawrence,36169.0
2019,Women,Volleyball,Lawrence,111542.0
2020,Men,Baseball,Lawrence,159327.0
2020,Men,Basketball,Lawrence,134836.0
2020,Men,Soccer,Lawrence,81407.0
2020,Women,Basketball,Lawrence,99496.0
2020,Women,Soccer,Lawrence,72220.0
2020,Women,Softball,Lawrence,93229.0
2020,Women,Swimming and Diving,Lawrence,51587.0
2020,Women,Tennis,Lawrence,33292.0
2020,Women,Volleyball,Lawrence,74916.0
2021,Men,Baseball,Lawrence,140362.0
2021,Men,Basketball,Lawrence,137941.0
2021,Men,Football,Lawrence,380226.0
2021,Men,Soccer,Lawrence,97151.0
2021,Men,Swimming and Diving,Lawrence,54316.0
2021,Men,Tennis,Lawrence,11115.0
2021,Women,Basketball,Lawrence,112975.0
2021,Women,Soccer,Lawrence,91435.0
2021,Women,Softball,Lawrence,112173.0
2021,Women,Swimming and Diving,Lawrence,67198.0
2021,Women,Tennis,Lawrence,13036.0
2021,Women,Volleyball,Lawrence,107898.0
2022,Men,Baseball,Lawrence,209033.0
2022,Men,Basketball,Lawrence,167829.0
2022,Men,Football,Lawrence,424495.0
2022,Men,Soccer,Lawrence,120687.0
2022,Men,Swimming and Diving,Lawrence,80506.0
2022,Men,Tennis,Lawrence,65874.0
2022,Women,Basketball,Lawrence,179837.0
2022,Women,Soccer,Lawrence,120769.0
2022,Women,Softball,Lawrence,151219.0
2022,Women,Swimming and Diving,Lawrence,86172.0
2022,Women,Tennis,Lawrence,43807.0
2022,Women,Volleyball,Lawrence,100333.0
2003,Men,Baseball,Knox,21409.0
2003,Men,Basketball,Knox,52316.0
2003,Men,Football,Knox,125595.0
2003,Men,Golf,Knox,18679.0
2003,Men,Soccer,Knox,18771.0
2003,Men,Tennis,Knox,9930.0
2003,Women,Basketball,Knox,32075.0
2003,Women,Golf,Knox,10921.0
2003,Women,Soccer,Knox,26678.0
2003,Women,Softball,Knox,30237.0
2003,Women,Tennis,Knox,30408.0
2003,Women,Volleyball,Knox,21568.0
2004,Men,Baseball,Knox,21350.0
2004,Men,Basketball,Knox,55557.0
2004,Men,Football,Knox,100728.0
2004,Men,Golf,Knox,29365.0
2004,Men,Soccer,Knox,16013.0
2004,Men,Swimming and Diving,Knox,6407.0
2004,Men,Tennis,Knox,7536.0
2004,Women,Basketball,Knox,31222.0
2004,Women,Golf,Knox,9977.0
2004,Women,Soccer,Knox,26814.0
2004,Women,Softball,Knox,28953.0
2004,Women,Swimming and Diving,Knox,8747.0
2004,Women,Tennis,Knox,32599.0
2004,Women,Volleyball,Knox,35600.0
2005,Men,Baseball,Knox,38129.0
2005,Men,Basketball,Knox,71372.0
2005,Men,Football,Knox,120114.0
2005,Men,Golf,Knox,21150.0
2005,Men,Soccer,Knox,18728.0
2005,Men,Swimming and Diving,Knox,6012.0
2005,Men,Tennis,Knox,10960.0
2005,Women,Basketball,Knox,51286.0
2005,Women,Golf,Knox,9578.0
2005,Women,Soccer,Knox,38470.0
2005,Women,Softball,Knox,36491.0
2005,Women,Swimming and Diving,Knox,6916.0
2005,Women,Tennis,Knox,38916.0
2005,Women,Volleyball,Knox,42316.0
2006,Men,Baseball,Knox,47145.0
2006,Men,Basketball,Knox,104561.0
2006,Men,Cross Country,Knox,46825.0
2006,Men,Football,Knox,151312.0
2006,Men,Golf,Knox,21175.0
2006,Men,Soccer,Knox,20630.0
2006,Men,Swimming and Diving,Knox,7179.0
2006,Men,Tennis,Knox,29859.0
2006,Women,Basketball,Knox,44249.0
2006,Women,Cross Country,Knox,37967.0
2006,Women,Golf,Knox,11316.0
2006,Women,Soccer,Knox,35164.0
2006,Women,Softball,Knox,40174.0
2006,Women,Swimming and Diving,Knox,8860.0
2006,Women,Tennis,Knox,20001.0
2006,Women,Volleyball,Knox,39566.0
2007,Men,Baseball,Knox,74117.0
2007,Men,Basketball,Knox,95013.0
2007,Men,Football,Knox,199992.0
2007,Men,Golf,Knox,24824.0
2007,Men,Soccer,Knox,24838.0
2007,Men,Swimming and Diving,Knox,8741.0
2007,Men,Tennis,Knox,29979.0
2007,Women,Basketball,Knox,60724.0
2007,Women,Golf,Knox,21782.0
2007,Women,Soccer,Knox,54763.0
2007,Women,Softball,Knox,54256.0
2007,Women,Swimming and Diving,Knox,10997.0
2007,Women,Tennis,Knox,21016.0
2007,Women,Volleyball,Knox,65748.0
2008,Men,Baseball,Knox,70534.0
2008,Men,Basketball,Knox,86339.0
2008,Men,Football,Knox,216624.0
2008,Men,Golf,Knox,27675.0
2008,Men,Soccer,Knox,21538.0
2008,Men,Swimming and Diving,Knox,9756.0
2008,Men,Tennis,Knox,19074.0
2008,Women,Basketball,Knox,95955.0
2008,Women,Golf,Knox,24200.0
2008,Women,Soccer,Knox,41236.0
2008,Women,Softball,Knox,88739.0
2008,Women,Swimming and Diving,Knox,9990.0
2008,Women,Tennis,Knox,45937.0
2008,Women,Volleyball,Knox,33088.0
2009,Men,Baseball,Knox,80818.0
2009,Men,Basketball,Knox,83068.0
2009,Men,Football,Knox,218410.0
2009,Men,Golf,Knox,37830.0
2009,Men,Soccer,Knox,25356.0
2009,Men,Swimming and Diving,Knox,15408.0
2009,Men,Tennis,Knox,22381.0
2009,Women,Basketball,Knox,86207.0
2009,Women,Golf,Knox,23084.0
2009,Women,Soccer,Knox,50198.0
2009,Women,Softball,Knox,50787.0
2009,Women,Swimming and Diving,Knox,16415.0
2009,Women,Tennis,Knox,8388.0
2009,Women,Volleyball,Knox,51095.0
2010,Men,Baseball,Knox,73773.0
2010,Men,Basketball,Knox,120799.0
2010,Men,Football,Knox,193770.0
2010,Men,Golf,Knox,34369.0
2010,Men,Soccer,Knox,19452.0
2010,Men,Swimming and Diving,Knox,7647.0
2010,Men,Tennis,Knox,32872.0
2010,Women,Basketball,Knox,78966.0
2010,Women,Golf,Knox,26899.0
2010,Women,Soccer,Knox,46577.0
2010,Women,Softball,Knox,45917.0
2010,Women,Swimming and Diving,Knox,9972.0
2010,Women,Tennis,Knox,9861.0
2010,Women,Volleyball,Knox,43969.0
2011,Men,Baseball,Knox,92403.0
2011,Men,Basketball,Knox,123356.0
2011,Men,Football,Knox,255064.0
2011,Men,Golf,Knox,43401.0
2011,Men,Soccer,Knox,54009.0
2011,Men,Swimming and Diving,Knox,10448.0
2011,Men,Tennis,Knox,27282.0
2011,Women,Basketball,Knox,93989.0
2011,Women,Golf,Knox,30856.0
2011,Women,Soccer,Knox,68817.0
2011,Women,Softball,Knox,61582.0
