Year,Gender,Sport,School,Expense
2017,Women,Soccer,St Norbert College,39452.0
2017,Women,Softball,St Norbert College,88678.0
2017,Women,Tennis,St Norbert College,42631.0
2017,Women,Volleyball,St Norbert College,43982.0
2018,Men,Baseball,St Norbert College,215201.0
2018,Men,Basketball,St Norbert College,212168.0
2018,Men,Football,St Norbert College,502564.0
2018,Men,Golf,St Norbert College,32927.0
2018,Men,Soccer,St Norbert College,115179.0
2018,Men,Swimming and Diving,St Norbert College,133681.0
2018,Men,Tennis,St Norbert College,29714.0
2018,Women,Basketball,St Norbert College,164693.0
2018,Women,Golf,St Norbert College,18359.0
2018,Women,Soccer,St Norbert College,47951.0
2018,Women,Softball,St Norbert College,108008.0
2018,Women,Swimming and Diving,St Norbert College,116255.0
2018,Women,Tennis,St Norbert College,33099.0
2018,Women,Volleyball,St Norbert College,94703.0
2019,Men,Baseball,St Norbert College,168826.0
2019,Men,Basketball,St Norbert College,276550.0
2019,Men,Football,St Norbert College,659889.0
2019,Men,Golf,St Norbert College,33604.0
2019,Men,Soccer,St Norbert College,60287.0
2019,Men,Swimming and Diving,St Norbert College,81595.0
2019,Men,Tennis,St Norbert College,20304.0
2019,Men,Volleyball,St Norbert College,82711.0
2019,Women,Basketball,St Norbert College,146512.0
2019,Women,Golf,St Norbert College,29740.0
2019,Women,Soccer,St Norbert College,55766.0
2019,Women,Softball,St Norbert College,63529.0
2019,Women,Swimming and Diving,St Norbert College,81595.0
2019,Women,Tennis,St Norbert College,33252.0
2019,Women,Volleyball,St Norbert College,77739.0
2020,Men,Baseball,St Norbert College,109487.0
2020,Men,Golf,St Norbert College,18467.0
2020,Men,Tennis,St Norbert College,13621.0
2020,Men,Track and Fields,St Norbert College,59645.0
2020,Women,Golf,St Norbert College,44738.0
2020,Women,Softball,St Norbert College,30970.0
2020,Women,Tennis,St Norbert College,12640.0
2020,Women,Track and Fields,St Norbert College,52631.0
2021,Men,Baseball,St Norbert College,224271.0
2021,Men,Basketball,St Norbert College,292026.0
2021,Men,Football,St Norbert College,530666.0
2021,Men,Golf,St Norbert College,51351.0
2021,Men,Soccer,St Norbert College,141596.0
2021,Men,Swimming and Diving,St Norbert College,129914.0
2021,Men,Tennis,St Norbert College,28274.0
2021,Men,Volleyball,St Norbert College,66795.0
2021,Women,Basketball,St Norbert College,124787.0
2021,Women,Golf,St Norbert College,38294.0
2021,Women,Soccer,St Norbert College,59158.0
2021,Women,Softball,St Norbert College,88230.0
2021,Women,Swimming and Diving,St Norbert College,125296.0
2021,Women,Tennis,St Norbert College,16149.0
2021,Women,Volleyball,St Norbert College,97186.0
2022,Men,Baseball,St Norbert College,256855.0
2022,Men,Basketball,St Norbert College,368240.0
2022,Men,Football,St Norbert College,590675.0
2022,Men,Golf,St Norbert College,38469.0
2022,Men,Soccer,St Norbert College,74228.0
2022,Men,Swimming and Diving,St Norbert College,116714.0
2022,Men,Tennis,St Norbert College,22429.0
2022,Men,Volleyball,St Norbert College,174116.0
2022,Women,Basketball,St Norbert College,181192.0
2022,Women,Golf,St Norbert College,34438.0
2022,Women,Soccer,St Norbert College,99114.0
2022,Women,Softball,St Norbert College,164584.0
2022,Women,Swimming and Diving,St Norbert College,91686.0
2022,Women,Tennis,St Norbert College,27988.0
2022,Women,Volleyball,St Norbert College,128836.0
2003,Men,Baseball,Monmouth IL,29846.0
2003,Men,Basketball,Monmouth IL,49504.0
2003,Men,Cross Country,Monmouth IL,12701.0
2003,Men,Football,Monmouth IL,99433.0
2003,Men,Golf,Monmouth IL,17346.0
2003,Men,Soccer,Monmouth IL,22240.0
2003,Men,Tennis,Monmouth IL,23080.0
2003,Men,Track and Fields,Monmouth IL,28232.0
2003,Women,Basketball,Monmouth IL,23267.0
2003,Women,Cross Country,Monmouth IL,12701.0
2003,Women,Golf,Monmouth IL,9623.0
2003,Women,Soccer,Monmouth IL,19620.0
2003,Women,Softball,Monmouth IL,24263.0
2003,Women,Tennis,Monmouth IL,11198.0
2003,Women,Track and Fields,Monmouth IL,28232.0
2003,Women,Volleyball,Monmouth IL,27126.0
2004,Men,Baseball,Monmouth IL,41678.0
2004,Men,Basketball,Monmouth IL,37748.0
2004,Men,Cross Country,Monmouth IL,12305.0
2004,Men,Football,Monmouth IL,105506.0
2004,Men,Golf,Monmouth IL,20616.0
2004,Men,Soccer,Monmouth IL,27335.0
2004,Men,Tennis,Monmouth IL,26895.0
2004,Men,Track and Fields,Monmouth IL,41798.0
2004,Women,Basketball,Monmouth IL,27072.0
2004,Women,Cross Country,Monmouth IL,12305.0
2004,Women,Golf,Monmouth IL,16412.0
2004,Women,Soccer,Monmouth IL,20555.0
2004,Women,Softball,Monmouth IL,29528.0
2004,Women,Tennis,Monmouth IL,9585.0
2004,Women,Track and Fields,Monmouth IL,41798.0
2004,Women,Volleyball,Monmouth IL,20441.0
2005,Men,Baseball,Monmouth IL,40333.0
2005,Men,Basketball,Monmouth IL,48167.0
2005,Men,Football,Monmouth IL,123536.0
2005,Men,Golf,Monmouth IL,22765.0
2005,Men,Soccer,Monmouth IL,30779.0
2005,Men,Tennis,Monmouth IL,14256.0
2005,Women,Basketball,Monmouth IL,44569.0
2005,Women,Golf,Monmouth IL,22664.0
2005,Women,Soccer,Monmouth IL,27443.0
2005,Women,Softball,Monmouth IL,36731.0
2005,Women,Tennis,Monmouth IL,13118.0
2005,Women,Volleyball,Monmouth IL,57287.0
2006,Men,Baseball,Monmouth IL,48408.0
2006,Men,Basketball,Monmouth IL,112407.0
2006,Men,Football,Monmouth IL,170742.0
2006,Men,Golf,Monmouth IL,29028.0
