Overall,OverallPCT,Conf,ConfPCT,Streak,Home,Away,Neutral,Gender,Sport,Year
2/4/2002,0.375,2/4/2002,0.375,W2,1/2/2001,1-Jan,0-1-1,Men,Football,1954
4-Apr,0.5,4-Mar,0.429,W2,0-0,1-Jan,3-Mar,Men,Football,1955
7-Jan,0.125,7-Jan,0.125,L1,0-4,3-Jan,0-0,Men,Football,1956
3/3/2002,0.5,3/3/2002,0.5,W2,1/2/2001,2/1/2001,0-0,Men,Football,1957
2/4/2002,0.375,2/4/2002,0.375,W1,1/2/2001,1/2/2001,0-0,Men,Football,1958
7-Jan,0.125,7-Jan,0.125,L4,3-Jan,0-4,0-0,Men,Football,1959
4-Apr,0.5,4-Apr,0.5,W1,2-Feb,2-Feb,0-0,Men,Football,1960
2-Jun,0.75,2-Jun,0.75,W1,Apr-00,2-Feb,0-0,Men,Football,1961
7-0-1,0.938,7-0-1,0.938,W4,3-0-1,Apr-00,0-0,Men,Football,1962
3-May,0.625,3-May,0.625,W1,1-Mar,2-Feb,0-0,Men,Football,1963
3-May,0.625,3-May,0.625,W2,2-Feb,1-Mar,0-0,Men,Football,1964
2-Jun,0.75,2-Jun,0.75,W3,Apr-00,2-Feb,0-0,Men,Football,1965
6-Feb,0.25,6-Feb,0.25,W2,0-4,2-Feb,0-0,Men,Football,1966
6-Feb,0.25,6-Feb,0.25,W1,3-Jan,3-Jan,0-0,Men,Football,1967
5-Mar,0.375,5-Mar,0.375,L1,2-Feb,3-Jan,0-0,Men,Football,1968
3-Jun,0.667,3-Jun,0.667,W1,1-Apr,2-Feb,0-0,Men,Football,1969
4-May,0.556,4-Apr,0.5,L3,2-Mar,2-Feb,0-0,Men,Football,1970
7-Feb,0.222,7-Jan,0.125,L3,0-5,2-Feb,0-0,Men,Football,1971
7-Feb,0.222,7-Jan,0.125,L3,3-Feb,0-4,0-0,Men,Football,1972
0-9,0,0-8,0,L9,0-4,0-5,0-0,Men,Football,1973
6-Mar,0.333,5-Feb,0.286,W2,0-4,2-Mar,0-0,Men,Football,1974
5-Apr,0.444,5-Mar,0.375,L1,1-Mar,4-Jan,0-0,Men,Football,1975
5-Mar,0.375,0-5,0,L5,2-Feb,3-Jan,0-0,Men,Football,1976
4/4/2001,0.5,1/3/2001,0.3,W2,2/1/2001,3-Feb,0-0,Men,Football,1977
6-Feb,0.25,0-4,0,L3,2-Feb,0-4,0-0,Men,Football,1978
7-Jan,0.125,3-Jan,0.25,W1,3-Jan,0-4,0-0,Men,Football,1979
8-Jan,0.111,7-Jan,0.125,L8,0-5,3-Jan,0-0,Men,Football,1980
6-Feb,0.25,6-Feb,0.25,L1,2-Feb,0-4,0-0,Men,Football,1981
8-Jan,0.111,0-5,0,L7,3-Jan,0-5,0-0,Men,Football,1982
7-Feb,0.222,4-Jan,0.2,W1,3-Jan,4-Jan,0-0,Men,Football,1983
6-Feb,0.25,5-Feb,0.286,W1,0-4,2-Feb,0-0,Men,Football,1984
5-Mar,0.375,4-Mar,0.429,W2,3-Jan,2-Feb,0-0,Men,Football,1985
5-Mar,0.375,5-Feb,0.286,W1,2-Feb,3-Jan,0-0,Men,Football,1986
7-Jan,0.125,6-Jan,0.143,W1,3-Jan,0-4,0-0,Men,Football,1987
6-Feb,0.25,5-Jan,0.167,L5,2-Feb,0-4,0-0,Men,Football,1988
6-Mar,0.333,5-Jan,0.167,L2,3-Feb,3-Jan,0-0,Men,Football,1989
0-8-1,0.056,0-7,0,L7,0-4-1,0-4,0-0,Men,Football,1990
7-Feb,0.222,4-Jan,0.2,W1,3-Jan,4-Jan,0-0,Men,Football,1991
0-9,0,0-5,0,L9,0-5,0-4,0-0,Men,Football,1992
0-9,0,0-5,0,L9,0-4,0-5,0-0,Men,Football,1993
5-Apr,0.444,3-Feb,0.4,L3,3-Feb,2-Feb,0-0,Men,Football,1994
5-Apr,0.444,3-Feb,0.4,W2,3-Jan,2-Mar,0-0,Men,Football,1995
5-Apr,0.444,3-Feb,0.4,W2,2-Feb,3-Feb,0-0,Men,Football,1996
5-May,0.5,Mar-00,1,L1,3-Mar,2-Feb,0-0,Men,Football,1997
Oct-00,1,Sep-00,1,W10,May-00,May-00,0-0,Men,Football,1998
3-Jul,0.7,2-Jul,0.778,W3,1-Apr,2-Mar,0-0,Men,Football,1999
5-May,0.5,4-May,0.556,L1,2-Mar,3-Feb,0-0,Men,Football,2000
5-May,0.5,3-May,0.625,L1,2-Mar,3-Feb,0-0,Men,Football,2001
6-Apr,0.4,5-Apr,0.444,W1,3-Feb,3-Feb,0-0,Men,Football,2002
7-Mar,0.3,7-Feb,0.222,W1,4-Jan,3-Feb,0-0,Men,Football,2003
4-Jun,0.6,4-May,0.556,W2,1-Apr,3-Feb,0-0,Men,Football,2004
9-Jan,0.1,0-9,0,L7,0-5,4-Jan,0-0,Men,Football,2005
8-Feb,0.2,7-Feb,0.222,W1,4-Feb,0-4,0-0,Men,Football,2006
9-Jan,0.1,8-Jan,0.111,L6,3-Jan,0-6,0-0,Men,Football,2007
7-Mar,0.3,7-Feb,0.222,L4,4-Jan,3-Feb,0-0,Men,Football,2008
8-Feb,0.2,7-Feb,0.222,L4,4-Jan,4-Jan,0-0,Men,Football,2009
4-Jun,0.6,4-May,0.556,L1,1-Apr,3-Feb,0-0,Men,Football,2010
5-May,0.5,5-Apr,0.444,L3,3-Feb,2-Mar,0-0,Men,Football,2011
8-Feb,0.2,7-Feb,0.222,L5,5-Jan,3-Jan,0-0,Men,Football,2012
8-Feb,0.2,7-Feb,0.222,L2,3-Jan,5-Jan,0-0,Men,Football,2013
7-Mar,0.3,4-Jan,0.2,W1,4-Jan,3-Feb,0-0,Men,Football,2014
8-Feb,0.2,0-5,0,W1,4-Jan,4-Jan,0-0,Men,Football,2015
0-10,0,0-8,0,L10,0-6,0-4,0-0,Men,Football,2016
9-Jan,0.1,0-5,0,L8,0-4,5-Jan,0-0,Men,Football,2017
8-Feb,0.2,0-5,0,W1,4-Jan,4-Jan,0-0,Men,Football,2018
0-3,0,0-0,0,L3,0-2,0-1,0-0,Men,Football,2019
0-0,0,0-0,0,,0-0,0-0,0-0,Men,Football,2020
8-Feb,0.2,7-Feb,0.222,L6,4-Jan,4-Jan,0-0,Men,Football,2021
6-Feb,0.25,6-Feb,0.25,L5,1-Jan,5-Jan,0-0,Men,Football,2022
8-Feb,0.2,7-Feb,0.222,L6,4-Jan,4-Jan,0-0,Men,Football,2023
8-Feb,0.2,7-Feb,0.222,L3,0-5,3-Feb,0-0,Men,Football,2024
2/3/2001,0.417,0-0,0,W1,1-Feb,0-2-1,0-0,Men,Soccer,1960
2-Apr,0.667,0-0,0,W1,Feb-00,2-Feb,0-0,Men,Soccer,1961
7-0-1,0.938,0-0,0,W5,May-00,2-0-1,0-0,Men,Soccer,1962
2-Jun,0.75,0-0,0,L1,1-Feb,1-Mar,Jan-00,Men,Soccer,1963
3-May,0.625,0-0,0,L2,1-Mar,2-Feb,0-0,Men,Soccer,1964
0-0,0,0-0,0,,0-0,0-0,0-0,Men,Soccer,1965
0-0,0,0-0,0,,0-0,0-0,0-0,Men,Soccer,1966
0-0,0,0-0,0,,0-0,0-0,0-0,Men,Soccer,1967
0-0,0,0-0,0,,0-0,0-0,0-0,Men,Soccer,1968
0-0,0,0-0,0,,0-0,0-0,0-0,Men,Soccer,1969
3/4/2002,0.444,0-0,0,T1,2/2/2001,1/2/2001,0-0,Men,Soccer,1970
4/4/2001,0.5,3-Feb,0.4,W1,2/1/2001,3-Feb,0-0,Men,Soccer,1971
4/1/2003,0.688,3/1/2002,0.667,T1,1/1/2002,3-0-1,0-0,Men,Soccer,1972
2/5/2001,0.312,2/5/2001,0.312,T1,2-Feb,0-3-1,0-0,Men,Soccer,1973
2-Jun,0.75,2-Jun,0.75,L1,Apr-00,2-Feb,0-0,Men,Soccer,1974
4-Apr,0.5,2-Feb,0.5,W1,3-Jan,1-Mar,0-0,Men,Soccer,1975
4/3/2001,0.562,2-Feb,0.5,W1,2-Feb,2/1/2001,0-0,Men,Soccer,1976
6-Apr,0.4,2-Feb,0.5,L4,2-Jan,4-Mar,0-0,Men,Soccer,1977
7/2/2002,0.727,1-Mar,0.75,L1,3/1/2002,1-Apr,0-0,Men,Soccer,1978
3-Aug,0.727,1-Mar,0.75,W1,2-Mar,1-May,0-0,Men,Soccer,1979
6/4/2002,0.583,Apr-00,1,L1,4/2/2001,2/2/2001,0-0,Men,Soccer,1980
8/3/2001,0.708,Apr-00,1,L1,1-Apr,4/2/2001,0-0,Men,Soccer,1981
5/8/2001,0.393,2-Feb,0.5,L1,3-Mar,2/5/2001,0-0,Men,Soccer,1982
7/6/2002,0.533,Apr-00,1,L1,3-Mar,4/3/2002,0-0,Men,Soccer,1983
9/5/2001,0.633,Apr-00,1,W2,5/2/2001,3-Feb,Feb-00,Men,Soccer,1984
7-Jul,0.5,1-Apr,0.8,W1,4-Feb,3-May,0-0,Men,Soccer,1985
6/7/2002,0.467,May-00,1,L1,3/3/2002,3-Feb,1-Jan,Men,Soccer,1986
7/5/2003,0.567,4-0-1,0.9,L2,1-Apr,3/4/2003,0-0,Men,Soccer,1987
10/3/2001,0.75,1-Apr,0.8,L1,1-Jun,3/2/2001,Jan-00,Men,Soccer,1988
11/4/2001,0.719,May-00,1,W3,3/1/2001,2-Jun,1-Feb,Men,Soccer,1989
9/5/2002,0.625,9-0-1,0.95,T1,4/3/2002,2-May,0-0,Men,Soccer,1990
8/7/2001,0.531,3-Jul,0.7,L1,3-Mar,4/4/2001,Jan-00,Men,Soccer,1991
11/3/2002,0.75,1-Sep,0.9,L1,2-Jul,4/1/2002,0-0,Men,Soccer,1992
14-2,0.875,1-Sep,0.9,W3,1-May,1-Aug,Jan-00,Men,Soccer,1993
14-3-1,0.806,Oct-00,1,W3,Jul-00,5/3/2001,Feb-00,Men,Soccer,1994
12/6/2001,0.658,1-Sep,0.9,L1,2-Jun,5/4/2001,Jan-00,Men,Soccer,1995
9-Aug,0.471,3-Jul,0.7,L1,2-May,7-Mar,0-0,Men,Soccer,1996
11-Jun,0.353,3-Jun,0.667,L1,4-Apr,7-Feb,0-0,Men,Soccer,1997
8-Aug,0.5,3-Jun,0.667,L5,3-Apr,5-Apr,0-0,Men,Soccer,1998
7-Oct,0.588,2-Jul,0.778,L6,2-Jun,4-Apr,0-1,Men,Soccer,1999
8/8/2001,0.5,3-Jun,0.667,L1,4/3/2001,3-Apr,0-2,Men,Soccer,2000
6/6/2002,0.5,4/4/2001,0.5,T1,4/1/2002,5-Feb,0-0,Men,Soccer,2001
6/8/2001,0.433,4/4/2001,0.5,T1,5-Mar,3/3/2001,0-0,Men,Soccer,2002
6/7/2002,0.467,4/3/2002,0.556,W1,4/3/2001,2/4/2001,0-0,Men,Soccer,2003
10-May,0.333,6-Mar,0.333,W1,7-Jan,3-Apr,0-0,Men,Soccer,2004
5/9/2002,0.375,7-Feb,0.222,W1,4-Apr,0-5-2,Jan-00,Men,Soccer,2005
7/4/2005,0.594,5/1/2003,0.722,L1,2/3/2002,5-0-2,0-1-1,Men,Soccer,2006
9/7/2001,0.559,2-Jul,0.778,L2,4/2/2001,4-Apr,1-Jan,Men,Soccer,2007
12/6/2001,0.658,6/2/2001,0.722,L1,6/1/2001,5-May,Jan-00,Men,Soccer,2008
9/8/2004,0.524,6/1/2002,0.778,L1,5-Apr,4/2/2002,1/1/2002,Men,Soccer,2009
9/7/2002,0.556,2-Jul,0.778,L1,4/3/2001,4/2/2001,2-Jan,Men,Soccer,2010
5/10/2002,0.353,3/5/2001,0.389,W2,2-Apr,0-8-2,Jan-00,Men,Soccer,2011
9/8/2001,0.528,4-Jun,0.6,L1,7/3/2001,5-Feb,0-0,Men,Soccer,2012
11-Jul,0.389,5-May,0.5,L2,3-May,8-Feb,0-0,Men,Soccer,2013
9/3/2005,0.676,5/2/2003,0.65,W3,3/3/2003,4-0-2,Feb-00,Men,Soccer,2014
7-Oct,0.588,3-Jul,0.7,W3,1-Jul,6-Mar,0-0,Men,Soccer,2015
11/7/2001,0.605,6/2/2001,0.722,L1,4/4/2001,2-Jul,0-1,Men,Soccer,2016
9/9/2001,0.5,3-Jun,0.667,L1,3-Jun,3/5/2001,0-1,Men,Soccer,2017
7-Aug,0.533,4-May,0.556,W1,5-Apr,2-Apr,0-0,Men,Soccer,2018
7/9/2001,0.441,3/5/2001,0.389,W2,4/2/2001,7-Mar,0-0,Men,Soccer,2019
0-0,0,0-0,0,,0-0,0-0,0-0,Men,Soccer,2020
8-Nov,0.579,2-Jun,0.75,L1,1-Jul,5-Mar,2-Jan,Men,Soccer,2021
10/8/2001,0.553,5/2/2001,0.688,L1,3/4/2001,4-Jun,Jan-00,Men,Soccer,2022
9/6/2005,0.575,3/3/2002,0.5,L1,7/1/2002,2/4/2003,0-1,Men,Soccer,2023
8/6/2005,0.553,4/2/2002,0.625,L1,3/2/2003,5/4/2002,0-0,Men,Soccer,2024
Mar-00,1,0-0,0,W3,Feb-00,Jan-00,0-0,Men,Tennis,1956
1-Aug,0.889,0-0,0,W5,1-Apr,Apr-00,0-0,Men,Tennis,1957
1-Mar,0.75,0-0,0,L1,Jan-00,1-Feb,0-0,Men,Tennis,1958
3-Apr,0.571,0-0,0,W3,2-Mar,1-Jan,0-0,Men,Tennis,1959
3-May,0.625,0-0,0,W1,1-Feb,2-Mar,0-0,Men,Tennis,1960
6-May,0.455,0-0,0,W3,3-Apr,3-Jan,0-0,Men,Tennis,1961
2-Jul,0.778,0-0,0,W1,1-Mar,1-Apr,0-0,Men,Tennis,1962
4-May,0.556,0-0,0,W3,1-Apr,3-Jan,0-0,Men,Tennis,1963
3-Jun,0.667,0-0,0,L1,2-Mar,1-Mar,0-0,Men,Tennis,1964
4-May,0.556,0-0,0,W1,2-Feb,2-Mar,0-0,Men,Tennis,1965
0-8,0,0-0,0,L8,0-4,0-4,0-0,Men,Tennis,1966
8-Jan,0.111,0-0,0,L4,0-4,4-Jan,0-0,Men,Tennis,1967
7-May,0.417,0-0,0,L2,4-Feb,2-Feb,1-Jan,Men,Tennis,1968
4-Apr,0.5,0-0,0,W1,1-Feb,3-Jan,Jan-00,Men,Tennis,1969
5-Jun,0.545,0-0,0,L1,3-Feb,2-Apr,0-0,Men,Tennis,1970
6-Apr,0.4,0-0,0,W2,2-Apr,0-4,0-0,Men,Tennis,1971
0-8,0,0-0,0,L8,0-4,0-4,0-0,Men,Tennis,1972
5-Jul,0.583,0-0,0,W1,1-Jun,4-Jan,0-0,Men,Tennis,1973
4-Apr,0.5,0-0,0,W2,3-Feb,1-Feb,0-0,Men,Tennis,1974
4-May,0.556,0-0,0,W2,May-00,0-4,0-0,Men,Tennis,1975
8-Aug,0.5,0-0,0,L1,2-Jan,3-Apr,3-Mar,Men,Tennis,1976
11-May,0.312,0-0,0,W1,6-Mar,1-Jan,4-Jan,Men,Tennis,1977
10-May,0.333,0-0,0,W1,2-Mar,4-Feb,0-4,Men,Tennis,1978
8-Jul,0.467,0-0,0,L1,3-Mar,2-Feb,3-Feb,Men,Tennis,1979
10-Jan,0.091,0-0,0,L3,3-Jan,0-5,0-2,Men,Tennis,1980
7-Jan,0.125,0-0,0,L3,0-2,5-Jan,0-0,Men,Tennis,1981
3-Apr,0.571,0-0,0,L1,1-Mar,2-Jan,0-0,Men,Tennis,1982
7-Jun,0.462,0-0,0,L2,1-Jan,5-Mar,1-Feb,Men,Tennis,1983
5-Oct,0.667,0-0,0,L2,2-Jan,2-Aug,1-Jan,Men,Tennis,1984
9-Jun,0.4,0-0,0,L1,1-Mar,5-Feb,3-Jan,Men,Tennis,1985
7-Jun,0.462,0-0,0,W1,4-Mar,1-Mar,0-2,Men,Tennis,1986
2-Sep,0.818,0-0,0,W6,Jul-00,1-Jan,1-Jan,Men,Tennis,1987
3-Aug,0.727,0-0,0,W3,2-May,1-Feb,Jan-00,Men,Tennis,1988
4-Jun,0.6,0-0,0,W2,Feb-00,4-Jan,Mar-00,Men,Tennis,1989
5-May,0.5,0-0,0,W2,4-Apr,1-Jan,0-0,Men,Tennis,1990
6-Jul,0.538,0-0,0,W2,1-Mar,5-Feb,Feb-00,Men,Tennis,1991
10-Oct,0.5,0-0,0,W2,6-Apr,1-Feb,3-Apr,Men,Tennis,1992
5-Jun,0.545,0-0,0,W1,2-Apr,2-Jan,1-Jan,Men,Tennis,1993
5-Aug,0.615,0-0,0,W1,Apr-00,2-Jan,3-Mar,Men,Tennis,1994
12-May,0.294,0-0,0,L5,4-Feb,4-Feb,4-Jan,Men,Tennis,1995
13-6,0.684,0-0,0,L1,2-Jun,1-Mar,3-Apr,Men,Tennis,1996
13-7,0.65,0-0,0,L1,1-Apr,3-May,3-Apr,Men,Tennis,1997
15-6,0.714,1-Feb,0.667,L1,1-Jun,2-Mar,3-Jun,Men,Tennis,1998
Feb-00,,0-0,,W2,Jan-00,0-0,Jan-00,Men,Tennis,1999
6-Nov,0.647,Mar-00,1,L1,1-Jan,2-Mar,3-Jul,Men,Tennis,2000
14-11,0.56,Mar-00,1,W7,3-Apr,3-Mar,5-Jul,Men,Tennis,2001
13-Nov,0.458,Apr-00,1,W1,2-Feb,7-Feb,4-Jul,Men,Tennis,2002
23-5,0.821,Apr-00,1,W10,3-Sep,1-May,1-Sep,Men,Tennis,2003
20-6,0.769,Apr-00,1,W4,1-Oct,2-Apr,3-Jun,Men,Tennis,2004
25-4,0.862,Apr-00,1,W12,Aug-00,2-May,2-Dec,Men,Tennis,2005
19-8,0.704,Mar-00,1,L1,Jul-00,3-Apr,5-Aug,Men,Tennis,2006
20-7,0.741,Apr-00,1,L1,2-Jun,3-May,2-Sep,Men,Tennis,2007
18-10,0.643,Apr-00,1,L1,1-Jun,4-Apr,5-Aug,Men,Tennis,2008
22-6,0.786,Apr-00,1,L1,Mar-00,3-Sep,3-Oct,Men,Tennis,2009
23-8,0.742,Apr-00,1,L1,15-1,2-Feb,5-Jun,Men,Tennis,2010
24-7,0.774,Apr-00,1,L1,1-May,2-Jul,4-Dec,Men,Tennis,2011
22-12,0.647,Apr-00,1,L1,3-Oct,2-Feb,7-Oct,Men,Tennis,2012
32-6,0.842,Apr-00,1,L1,3-Aug,2-May,19-1,Men,Tennis,2013
28-11,0.718,Sep-00,1,L1,2-Sep,3-Jun,13-6,Men,Tennis,2014
30-6,0.833,Sep-00,1,L1,2-Dec,2-May,13-2,Men,Tennis,2015
18-10,0.643,Aug-00,1,L1,Jul-00,4-May,6-Jun,Men,Tennis,2016
23-5,0.821,Aug-00,1,L1,Nov-00,2-Mar,3-Sep,Men,Tennis,2017
26-5,0.839,Aug-00,1,L1,Nov-00,2-May,3-Oct,Men,Tennis,2018
2-Aug,0.8,0-0,0,W3,Apr-00,0-2,Apr-00,Men,Tennis,2019
1-Sep,0.9,Aug-00,1,L1,May-00,Mar-00,1-Jan,Men,Tennis,2020
14-12,0.538,Jun-00,1,L1,Aug-00,5-Feb,7-Apr,Men,Tennis,2021
18-8,0.692,Jun-00,1,L1,May-00,5-Jun,3-Jul,Men,Tennis,2022
25-4,0.862,Jun-00,1,L1,Sep-00,2-Apr,2-Dec,Men,Tennis,2023
Feb-00,1,0-0,0,W2,Jan-00,0-0,Jan-00,Men,Tennis,2024
0-7,0,0-0,0,L7,0-4,0-3,0-0,Women,Basketball,1976
10-May,0.333,Apr-00,1,L2,5-Feb,5-Mar,0-0,Women,Basketball,1977
10-Sep,0.474,2-Aug,0.8,W4,2-Mar,6-Mar,2-Mar,Women,Basketball,1978
12-Sep,0.429,5-May,0.5,L2,6-May,6-Feb,Feb-00,Women,Basketball,1979
20-Jan,0.048,0-9,0,W1,8-Jan,0-11,0-1,Women,Basketball,1980
13-Mar,0.188,6-Mar,0.333,W1,9-Feb,4-Jan,0-0,Women,Basketball,1981
12-May,0.294,9-Mar,0.25,L1,5-Mar,7-Feb,0-0,Women,Basketball,1982
17-Apr,0.19,9-Jan,0.1,L2,4-Apr,0-12,0-1,Women,Basketball,1983
12-Oct,0.455,6-Apr,0.4,W1,3-Jul,9-Mar,0-0,Women,Basketball,1984
15-Jun,0.286,8-Feb,0.2,W1,7-Apr,7-Feb,0-1,Women,Basketball,1985
13-Jul,0.35,7-Mar,0.3,W3,6-May,7-Feb,0-0,Women,Basketball,1986
17-May,0.227,8-Feb,0.2,W1,6-Apr,9-Jan,0-2,Women,Basketball,1987
14-8,0.636,6-Apr,0.4,W3,3-Oct,5-Apr,0-0,Women,Basketball,1988
16-7,0.696,2-Aug,0.8,L1,2-Sep,5-Jun,Jan-00,Women,Basketball,1989
20-4,0.833,1-Sep,0.9,W12,13-1,3-Jul,0-0,Women,Basketball,1990
11-Dec,0.522,3-Jul,0.7,L3,2-Sep,8-Mar,0-1,Women,Basketball,1991
13-11,0.542,4-Oct,0.714,L2,1-Sep,10-Apr,0-0,Women,Basketball,1992
14-Aug,0.364,8-Jun,0.429,L1,8-Mar,6-May,0-0,Women,Basketball,1993
16-May,0.238,11-Mar,0.214,W1,6-Mar,8-Feb,0-2,Women,Basketball,1994
18-Apr,0.182,11-Mar,0.214,L1,9-Mar,8-Jan,0-1,Women,Basketball,1995
21-Jan,0.045,13-Jan,0.071,L1,11-Jan,0-10,0-0,Women,Basketball,1996
17-May,0.227,12-Jan,0.077,L11,7-Apr,10-Jan,0-0,Women,Basketball,1997
0-21,0,0-16,0,L21,0-10,0-11,0-0,Women,Basketball,1998
13-7,,4-Jul,,W2,2-Sep,5-Apr,0-0,Women,Basketball,1999
20-Feb,0.091,15-Jan,0.062,L16,10-Feb,0-10,0-0,Women,Basketball,2000
0-20,0,0-16,0,L20,0-9,0-11,0-0,Women,Basketball,2001
11-Oct,0.476,11-May,0.312,W1,4-Aug,7-Feb,0-0,Women,Basketball,2002
16-8,0.667,6-Oct,0.625,L1,4-Jul,4-Aug,Jan-00,Women,Basketball,2003
17-Jun,0.261,12-Apr,0.25,L1,5-Mar,12-Feb,Jan-00,Women,Basketball,2004
14-Sep,0.391,11-May,0.312,L1,5-Jul,8-Feb,0-1,Women,Basketball,2005
14-Sep,0.391,11-May,0.312,W2,6-Jun,8-Mar,0-0,Women,Basketball,2006
14-Sep,0.391,9-Jul,0.438,L1,4-Jun,8-Mar,0-2,Women,Basketball,2007
19-Apr,0.174,13-Mar,0.188,L1,9-Feb,8-Feb,0-2,Women,Basketball,2008
18-May,0.217,13-Mar,0.188,L3,7-Apr,11-Jan,0-0,Women,Basketball,2009
13-Sep,0.409,10-Aug,0.444,L1,5-May,7-Mar,1-Jan,Women,Basketball,2010
11-Dec,0.522,7-Nov,0.611,W1,5-Jul,6-May,0-0,Women,Basketball,2011
12-Nov,0.478,9-Sep,0.5,W1,4-Jul,8-Apr,0-0,Women,Basketball,2012
20-Mar,0.13,16-Feb,0.111,W1,11-Jan,9-Feb,0-0,Women,Basketball,2013
13-Oct,0.435,10-Aug,0.444,W1,5-Jun,8-Apr,0-0,Women,Basketball,2014
15-9,0.625,6-Dec,0.667,L3,4-Jun,4-Aug,1-Jan,Women,Basketball,2015
14-10,0.583,6-Dec,0.667,L1,4-Aug,6-Jun,0-0,Women,Basketball,2016
15-Jul,0.318,12-Apr,0.25,L9,6-Jul,0-9,0-0,Women,Basketball,2017
16-Aug,0.333,12-Jun,0.333,L3,9-May,7-Mar,0-0,Women,Basketball,2018
14-Nov,0.44,11-Jul,0.389,L1,6-Jun,8-May,0-0,Women,Basketball,2019
0-0,0,0-0,0,,0-0,0-0,0-0,Women,Basketball,2020
13-Sep,0.409,9-Jun,0.4,L1,8-May,5-Apr,0-0,Women,Basketball,2021
13-Oct,0.435,9-Jul,0.438,W2,5-Jul,8-Mar,0-0,Women,Basketball,2022
14-10,0.583,7-Sep,0.562,W1,4-Aug,5-May,1-Jan,Women,Basketball,2023
13-7,0.65,4-Jul,0.636,W2,2-Sep,5-Apr,0-0,Women,Basketball,2024
4/5/2002,0.455,0-0,0,L1,2-0-2,3-Feb,0-2,Women,Soccer,1987
4/7/2001,0.375,4-Feb,0.333,L1,4-Feb,2/3/2001,0-0,Women,Soccer,1988
4-Oct,0.714,1-May,0.833,W1,1-Jul,3-Mar,0-0,Women,Soccer,1989
13-1-1,0.9,Jun-00,1,W2,Jul-00,6/1/2001,0-0,Women,Soccer,1990
13-3,0.812,Jun-00,1,W2,1-Jul,2-Jun,0-0,Women,Soccer,1991
13-2-1,0.844,Aug-00,1,W4,1-Jun,6/1/2001,Jan-00,Women,Soccer,1992
12/3/2001,0.781,Aug-00,1,W2,7/2/2001,1-May,0-0,Women,Soccer,1993
4-Nov,0.733,Oct-00,1,L1,Jun-00,3-May,0-1,Women,Soccer,1994
11/4/2001,0.719,1-Sep,0.9,T1,5/1/2001,2-Jun,0-1,Women,Soccer,1995
14-4,0.778,Oct-00,1,W8,2-Jun,2-Jul,Jan-00,Women,Soccer,1996
10-Jul,0.412,2-Jul,0.778,L2,4-Apr,6-Mar,0-0,Women,Soccer,1997
7/8/2001,0.469,4-May,0.556,W1,4-Feb,5/3/2001,0-1,Women,Soccer,1998
14-3-1,0.806,8-0-1,0.944,L1,1-Sep,5/2/2001,0-0,Women,Soccer,1999
11/3/2002,0.75,7/1/2001,0.833,L1,4/1/2001,Jul-00,0-2-1,Women,Soccer,2000
9/5/2001,0.633,7/1/2001,0.833,L1,Jun-00,3/4/2001,0-1,Women,Soccer,2001
7-Sep,0.562,2-Jul,0.778,L1,3-May,3-Mar,1-Jan,Women,Soccer,2002
11/6/2001,0.639,8-0-1,0.944,L1,4-Jul,4/2/2001,0-0,Women,Soccer,2003
12/5/2001,0.694,2-Jul,0.778,L1,2-May,5/2/2001,1-Feb,Women,Soccer,2004
14-4-2,0.75,1-Aug,0.889,L1,9/1/2001,5/3/2001,0-0,Women,Soccer,2005
15-3-1,0.816,Sep-00,1,L1,1-Aug,7/1/2001,0-1,Women,Soccer,2006
9-Oct,0.526,3-Jun,0.667,L2,4-May,5-May,0-0,Women,Soccer,2007
14-5,0.737,2-Jul,0.778,L1,1-Aug,4-Jun,0-0,Women,Soccer,2008
7/10/2001,0.417,4/4/2001,0.5,W1,5/3/2001,7-Feb,0-0,Women,Soccer,2009
6/10/2001,0.382,4/4/2001,0.5,T1,1/6/2001,4-May,0-0,Women,Soccer,2010
10/6/2002,0.611,7/1/2001,0.833,L1,2-Jun,4/3/2002,0-1,Women,Soccer,2011
7/9/2001,0.441,3-Jul,0.7,L1,5/2/2001,7-Feb,0-0,Women,Soccer,2012
11/7/2001,0.605,6/3/2001,0.65,L2,4-Jul,4/3/2001,0-0,Women,Soccer,2013
10/8/2001,0.553,6/3/2001,0.65,L2,6/1/2001,7-Apr,0-0,Women,Soccer,2014
11-Jun,0.353,7-Mar,0.3,W2,3-May,8-Jan,0-0,Women,Soccer,2015
9/7/2003,0.553,6/2/2001,0.722,L1,4-Mar,6/3/2002,0-0-1,Women,Soccer,2016
8-Oct,0.556,3-Jun,0.667,L1,3-Jun,4-Apr,0-1,Women,Soccer,2017
9/7/2001,0.559,2-Jul,0.778,L1,4/3/2001,3-May,0-1,Women,Soccer,2018
7/7/2003,0.5,4/3/2002,0.556,W1,3/2/2002,4/5/2001,0-0,Women,Soccer,2019
0-0,0,0-0,0,,0-0,0-0,0-0,Women,Soccer,2020
3/12/2002,0.235,2/4/2002,0.375,L1,6-Mar,0-6-2,0-0,Women,Soccer,2021
11/3/2005,0.711,7-0-1,0.938,L1,5/2/2005,1-Jun,0-0,Women,Soccer,2022
10/4/2005,0.658,5-0-3,0.812,L1,5/2/2002,4/2/2003,Jan-00,Women,Soccer,2023
8/6/2003,0.559,5/2/2001,0.688,L2,3-Jun,2/2/2003,0-1,Women,Soccer,2024
8-Feb,0.2,0-0,0,L3,7-Jan,1-Jan,0-0,Women,softball,1978
