Overall,OverallPCT,Conf,ConfPCT,Streak,Home,Away,Neutral,Gender,Sport,Year
8-Jun,0.429,0-0,0,W3,Jan-00,0-0,8-May,Men,Baseball,1901
4-Jul,0.636,0-0,0,W2,Feb-00,0-0,4-May,Men,Baseball,1902
3-Aug,0.727,0-0,0,W3,0-0,0-0,3-Aug,Men,Baseball,1903
10-Jul,0.412,0-0,0,L2,0-1,0-0,9-Jul,Men,Baseball,1904
8-Jun,0.429,0-0,0,L2,0-0,0-0,8-Jun,Men,Baseball,1905
7-Jul,0.5,0-0,0,L1,0-1,0-0,6-Jul,Men,Baseball,1906
4-May,0.556,0-0,0,L2,Jan-00,0-0,4-Apr,Men,Baseball,1907
6-May,0.455,0-0,0,L5,1-Jan,0-0,5-Apr,Men,Baseball,1908
3-Sep,0.75,0-0,0,W6,1-Jan,0-0,2-Aug,Men,Baseball,1909
5-Sep,0.643,0-0,0,W3,0-1,0-0,4-Sep,Men,Baseball,1910
14-May,0.263,0-0,0,W1,Jan-00,0-0,14-Apr,Men,Baseball,1911
8-Aug,0.5,0-0,0,W1,1-Jan,0-0,7-Jul,Men,Baseball,1912
8-Apr,0.333,0-0,0,L2,0-1,0-0,7-Apr,Men,Baseball,1913
4-Apr,0.5,0-0,0,L1,0-1,0-0,3-Apr,Men,Baseball,1914
5-Mar,0.375,0-0,0,W1,Jan-00,0-0,5-Feb,Men,Baseball,1915
7-Mar,0.3,0-0,0,L3,0-1,0-0,6-Mar,Men,Baseball,1916
7-Apr,0.364,4-Mar,0.429,W1,3-Jan,4-Feb,Jan-00,Men,Baseball,1957
10-Mar,0.231,2-Feb,0.5,L5,7-Jan,3-Feb,0-0,Men,Baseball,1958
4-Jul,0.636,3-Apr,0.571,L3,3-Feb,1-Mar,Feb-00,Men,Baseball,1959
8-May,0.385,4-Apr,0.5,L1,4-Feb,4-Mar,0-0,Men,Baseball,1960
8/6/2001,0.567,4-Apr,0.5,L1,5/2/2001,4-Mar,0-0,Men,Baseball,1961
7-Jul,0.5,4-Apr,0.5,L3,5-Apr,2-Mar,0-0,Men,Baseball,1962
12-Apr,0.25,8-Apr,0.333,L4,5-Feb,7-Feb,0-0,Men,Baseball,1963
11-Apr,0.267,7-Apr,0.364,L2,7-Jan,4-Mar,0-0,Men,Baseball,1964
8-Apr,0.333,6-Apr,0.4,L1,2-Feb,6-Feb,0-0,Men,Baseball,1965
9-May,0.357,9-Mar,0.25,L1,4-Apr,5-Jan,0-0,Men,Baseball,1966
8-Apr,0.333,7-Apr,0.364,W1,4-Feb,4-Feb,0-0,Men,Baseball,1967
5/8/2001,0.393,5/6/2001,0.458,L2,2/4/2001,4-Mar,0-0,Men,Baseball,1968
13-Apr,0.235,8-Apr,0.333,W2,6-Feb,7-Feb,0-0,Men,Baseball,1969
13-Jan,0.071,8-Jan,0.111,L8,7-Jan,0-6,0-0,Men,Baseball,1970
14-Jan,0.067,0-9,0,L1,3-Jan,0-11,0-0,Men,Baseball,1971
0-8,0,0-7,0,L8,0-2,0-6,0-0,Men,Baseball,1972
10-Feb,0.167,6-Feb,0.25,L8,6-Jan,4-Jan,0-0,Men,Baseball,1973
13-Feb,0.133,7-Jan,0.125,L5,6-Feb,0-7,0-0,Men,Baseball,1974
10-Feb,0.167,5-Jan,0.167,L1,3-Feb,0-5,0-2,Men,Baseball,1975
16-Jan,0.059,0-4,0,L2,6-Jan,0-10,0-0,Men,Baseball,1976
11-Apr,0.267,0-4,0,L3,3-Mar,4-Jan,0-4,Men,Baseball,1977
8-Jul,0.467,3-May,0.625,L1,5-May,3-Feb,0-0,Men,Baseball,1978
23-Apr,0.148,0-6,0,L7,13-Feb,10-Feb,0-0,Men,Baseball,1979
5/16/2001,0.25,3/3/2001,0.5,L5,2/4/2001,9-Mar,0-3,Men,Baseball,1980
14-Feb,0.125,7-Jan,0.125,L3,5-Jan,9-Jan,0-0,Men,Baseball,1981
12-Apr,0.25,11-Mar,0.214,L4,6-Apr,0-6,0-0,Men,Baseball,1982
2/17/2001,0.125,1/16/2001,0.083,W1,2/7/2001,0-8,0-2,Men,Baseball,1983
14-Feb,0.125,14-Jan,0.067,L4,7-Jan,7-Jan,0-0,Men,Baseball,1984
14-Feb,0.125,13-Feb,0.133,L10,7-Feb,0-7,0-0,Men,Baseball,1985
13-May,0.278,9-May,0.357,L1,6-Feb,6-Feb,1-Jan,Men,Baseball,1986
11-Apr,0.267,11-Apr,0.267,W1,3-Mar,6-Jan,0-2,Men,Baseball,1987
12-Jul,0.368,8-Jul,0.467,L1,4-May,5-Feb,0-3,Men,Baseball,1988
13-Apr,0.235,11-Apr,0.267,L7,7-Mar,6-Jan,0-0,Men,Baseball,1989
16-Feb,0.111,13-Feb,0.133,L1,5-Feb,0-9,0-2,Men,Baseball,1990
16-Apr,0.2,10-Mar,0.231,L9,4-Mar,9-Jan,0-3,Men,Baseball,1991
20-Mar,0.13,14-Jan,0.067,L1,8-Jan,0-10,2-Feb,Men,Baseball,1992
17-May,0.227,11-Mar,0.214,W1,8-Jan,6-Mar,3-Jan,Men,Baseball,1993
20-Sep,0.31,8-Jul,0.467,W2,6-May,12-Apr,0-2,Men,Baseball,1994
25-Aug,0.242,10-Mar,0.231,L6,7-Apr,12-Feb,6-Feb,Men,Baseball,1995
21-Jun,0.222,11-Apr,0.267,W1,7-Feb,4-Mar,10-Jan,Men,Baseball,1996
28-Mar,0.097,14-Jan,0.067,L18,8-Jan,0-10,10-Feb,Men,Baseball,1997
21-Sep,0.3,9-Mar,0.25,L1,4-Jan,9-Jun,8-Feb,Men,Baseball,1998
13-19,0.406,8-Apr,0.333,L1,5-Jul,8-Feb,6-Apr,Men,Baseball,1999
18-13,0.581,3-Sep,0.75,L2,4-May,4-Jun,5-Jul,Men,Baseball,2000
