Year,Gender,Sport,School,Expense,Accumulative Growth,Yearly Change
2003,Men,Baseball,Beloit,24737.0,1.0,0.0
2004,Men,Baseball,Beloit,45785.0,1.8508711646521405,0.8508711646521405
2005,Men,Baseball,Beloit,64776.0,2.61858754093059,0.4147865021295184
2006,Men,Baseball,Beloit,68949.0,2.787282208836965,0.0644220081511671
2007,Men,Baseball,Beloit,71897.0,2.9064559162388326,0.04275624011950862
2008,Men,Baseball,Beloit,74799.0,3.0237700610421636,0.04036329749502761
2009,Men,Baseball,Beloit,67453.0,2.726805999110644,-0.09820986911589727
2010,Men,Baseball,Beloit,92342.0,3.732950640740591,0.36898284731590886
2011,Men,Baseball,Beloit,136083.0,5.501192545579496,0.4736847804899179
2012,Men,Baseball,Beloit,133523.0,5.397703844443546,-0.01881204852920644
2013,Men,Baseball,Beloit,130712.0,5.284068399563407,-0.021052552743722055
2014,Men,Baseball,Beloit,146966.0,5.941140801228928,0.12434971540485953
2015,Men,Baseball,Beloit,167009.0,6.751384565630432,0.13637848209790018
2016,Men,Baseball,Beloit,117900.0,4.766139790597081,-0.2940500212563395
2017,Men,Baseball,Beloit,172033.0,6.954481141609734,0.4591433418150975
2018,Men,Baseball,Beloit,170492.0,6.892185794558758,-0.008957583719402673
2019,Men,Baseball,Beloit,137633.0,5.563851720095403,-0.19273045069563383
2020,Men,Baseball,Beloit,101885.0,4.118729029389174,-0.25973422071741514
2021,Men,Baseball,Beloit,156248.0,6.31636819339451,0.53357216469549
2022,Men,Baseball,Beloit,174364.0,7.048712455026883,0.11594388408171624
2003,Men,Basketball,Beloit,23282.0,1.0,0.0
2004,Men,Basketball,Beloit,84740.0,3.6397216733957563,2.6397216733957563
2005,Men,Basketball,Beloit,97214.0,4.175500386564728,0.14720320981826765
2006,Men,Basketball,Beloit,101415.0,4.355940211322052,0.04321394037895776
2007,Men,Basketball,Beloit,65953.0,2.83278927927154,-0.349672139229897
2008,Men,Basketball,Beloit,66232.0,2.8447727858431406,0.004230285203099177
2009,Men,Basketball,Beloit,66414.0,2.8525899836783783,0.0027479164150259693
2010,Men,Basketball,Beloit,84191.0,3.6161412249806717,0.26766946728099494
2011,Men,Basketball,Beloit,81086.0,3.482776393780603,-0.036880426648929224
2012,Men,Basketball,Beloit,101336.0,4.352547032041921,0.24973484941913524
2013,Men,Basketball,Beloit,131556.0,5.650545485783009,0.2982158364253572
2014,Men,Basketball,Beloit,106177.0,4.560475904131947,-0.1929140442093101
2015,Men,Basketball,Beloit,113801.0,4.8879391804827765,0.07180462812096781
2016,Men,Basketball,Beloit,179556.0,7.712224035735762,0.5778068734018155
2017,Men,Basketball,Beloit,142893.0,6.137488188299974,-0.20418699458664707
2018,Men,Basketball,Beloit,140982.0,6.05540761102998,-0.013373643215552896
2019,Men,Basketball,Beloit,114653.0,4.924533974744437,-0.18675433743314748
2021,Men,Basketball,Beloit,122793.0,5.274160295507259,0.07099683392497362
2022,Men,Basketball,Beloit,120389.0,5.170904561463792,-0.019577663221844892
