Year,Gender,Sport,School,Expense,Accumulative Growth,Yearly Change
2003,Women,Basketball,Beloit,18312.0,1.0,0.0
2004,Women,Basketball,Beloit,54250.0,2.962538226299694,1.9625382262996942
2005,Women,Basketball,Beloit,66587.0,3.6362494539100045,0.22741013824884793
2006,Women,Basketball,Beloit,62947.0,3.4374726955002184,-0.05466532506345082
2007,Women,Basketball,Beloit,75734.0,4.135757972913936,0.20313914880772713
2008,Women,Basketball,Beloit,87260.0,4.76518130187855,0.1521905617028019
2009,Women,Basketball,Beloit,84975.0,4.640399737876802,-0.02618611047444419
2010,Women,Basketball,Beloit,59714.0,3.2609217999126257,-0.2972756693145043
2011,Women,Basketball,Beloit,65820.0,3.594364351245085,0.10225407777070704
2012,Women,Basketball,Beloit,71208.0,3.888597640891219,0.08185961713764812
2013,Women,Basketball,Beloit,103776.0,5.667103538663172,0.4573643410852713
2014,Women,Basketball,Beloit,89071.0,4.864078200087374,-0.14169942954054887
2015,Women,Basketball,Beloit,100587.0,5.492955439056357,0.12929011687305633
2016,Women,Basketball,Beloit,85904.0,4.691131498470948,-0.14597313768180778
2017,Women,Basketball,Beloit,117939.0,6.440530799475754,0.37291627863661764
2018,Women,Basketball,Beloit,115005.0,6.280307994757536,-0.02487726706178618
2019,Women,Basketball,Beloit,113007.0,6.171199213630406,-0.01737315768879614
2021,Women,Basketball,Beloit,97521.0,5.325524246395806,-0.1370357588467971
2022,Women,Basketball,Beloit,90114.0,4.921035386631717,-0.07595287168917464
2003,Men,Football,Beloit,23868.0,1.0,0.0
2004,Men,Football,Beloit,197811.0,8.287707390648567,7.287707390648567
2005,Men,Football,Beloit,227232.0,9.520361990950226,0.1487328813867783
2006,Men,Football,Beloit,225296.0,9.439249203955086,-0.008519926770877342
2007,Men,Football,Beloit,214456.0,8.985084632143456,-0.04811448050564591
2008,Men,Football,Beloit,220661.0,9.245056142114965,0.02893367404036259
2009,Men,Football,Beloit,237580.0,9.953913189207308,0.07667417441233385
2010,Men,Football,Beloit,222496.0,9.321937321937321,-0.0634901927771698
2011,Men,Football,Beloit,311615.0,13.055765041059159,0.4005420322163095
2012,Men,Football,Beloit,257010.0,10.767973856209151,-0.1752322577539592
2013,Men,Football,Beloit,293508.0,12.29713423831071,0.14201003851990196
2014,Men,Football,Beloit,267096.0,11.190548014077425,-0.08998732572877059
2015,Men,Football,Beloit,296057.0,12.403929948047596,0.10842917902177494
2016,Men,Football,Beloit,316139.0,13.245307524719289,0.06783153244138798
2017,Men,Football,Beloit,313781.0,13.146514161220043,-0.007458744413058813
2018,Men,Football,Beloit,303857.0,12.73072733366851,-0.031627153970444355
2019,Men,Football,Beloit,342718.0,14.358890564772917,0.12789239675241973
2021,Men,Football,Beloit,349124.0,14.627283391989275,0.018691752402850155
2022,Men,Football,Beloit,356717.0,14.94540807776102,0.021748719652616263
2003,Men,Golf,Beloit,3992.0,1.0,0.0
2004,Men,Golf,Beloit,13916.0,3.4859719438877756,2.4859719438877756
2005,Men,Golf,Beloit,8339.0,2.088927855711423,-0.4007617131359586
2006,Men,Golf,Beloit,8950.0,2.2419839679358717,0.07327017628012951
2007,Men,Golf,Beloit,15125.0,3.7888276553106213,0.6899441340782123
2008,Men,Golf,Beloit,16264.0,4.074148296593187,0.07530578512396695
2009,Men,Golf,Beloit,18344.0,4.595190380761523,0.1278898180029513
2010,Men,Golf,Beloit,16455.0,4.1219939879759515,-0.10297645006541649
2011,Men,Golf,Beloit,19113.0,4.787825651302605,0.16153144940747494
2003,Women,Golf,Beloit,4990.0,1.0,0.0
2004,Women,Golf,Beloit,11096.0,2.2236472945891785,1.2236472945891783
2005,Women,Golf,Beloit,8339.0,1.6711422845691384,-0.24846791636625812
2006,Women,Golf,Beloit,5578.0,1.1178356713426854,-0.3310948554982612
2007,Women,Golf,Beloit,14458.0,2.8973947895791583,1.5919684474722122
2003,Men,Soccer,Beloit,11040.0,1.0,0.0
2004,Men,Soccer,Beloit,63979.0,5.795199275362319,4.795199275362319
2005,Men,Soccer,Beloit,69571.0,6.301721014492753,0.08740367933228091
2006,Men,Soccer,Beloit,69656.0,6.309420289855073,0.0012217734400827931
2007,Men,Soccer,Beloit,79309.0,7.183786231884058,0.1385810267600781
2008,Men,Soccer,Beloit,84455.0,7.649909420289855,0.0648854480575975
2009,Men,Soccer,Beloit,85659.0,7.758967391304348,0.01425611272275176
2010,Men,Soccer,Beloit,80023.0,7.248460144927536,-0.06579577160601921
2011,Men,Soccer,Beloit,105327.0,9.540489130434782,0.3162090898866576
2012,Men,Soccer,Beloit,86622.0,7.846195652173913,-0.1775897917912786
2013,Men,Soccer,Beloit,102798.0,9.311413043478261,0.1867423980051257
2014,Men,Soccer,Beloit,60563.0,5.485778985507246,-0.4108542967762019
2015,Men,Soccer,Beloit,56956.0,5.159057971014493,-0.0595578158281459
2016,Men,Soccer,Beloit,63810.0,5.779891304347826,0.12033850691762062
2017,Men,Soccer,Beloit,72440.0,6.561594202898551,0.1352452593637361
2018,Men,Soccer,Beloit,76228.0,6.904710144927536,0.05229155162893429
2019,Men,Soccer,Beloit,73541.0,6.661322463768116,-0.03524951461405258
2021,Men,Soccer,Beloit,78575.0,7.117300724637682,0.06845161202594471
2022,Men,Soccer,Beloit,55136.0,4.994202898550725,-0.2983009863188037
2003,Women,Soccer,Beloit,9570.0,1.0,0.0
2004,Women,Soccer,Beloit,26222.0,2.740020898641588,1.7400208986415884
2005,Women,Soccer,Beloit,16709.0,1.7459770114942528,-0.3627869727709557
2006,Women,Soccer,Beloit,51404.0,5.371368861024034,2.0764258782691964
2007,Women,Soccer,Beloit,54428.0,5.68735632183908,0.05882810676211968
2008,Women,Soccer,Beloit,53463.0,5.586520376175549,-0.0177298449327552
2009,Women,Soccer,Beloit,56061.0,5.857993730407523,0.048594354974468325
2010,Women,Soccer,Beloit,56062.0,5.858098223615465,1.783771249175006e-05
2011,Women,Soccer,Beloit,70337.0,7.349738766980146,0.25462880382433734
2012,Women,Soccer,Beloit,71603.0,7.482027168234064,0.01799906166029259
2013,Women,Soccer,Beloit,74895.0,7.826018808777429,0.0459757272739969
2014,Women,Soccer,Beloit,77416.0,8.089446185997911,0.03366045797449763
2015,Women,Soccer,Beloit,78571.0,8.210135841170324,0.014919396507181978
2016,Women,Soccer,Beloit,78450.0,8.197492163009404,-0.0015400084000458183
2017,Women,Soccer,Beloit,81818.0,8.549425287356321,0.04293180369662205
2018,Women,Soccer,Beloit,90037.0,9.408254963427376,0.10045466767703928
2019,Women,Soccer,Beloit,76286.0,7.971368861024033,-0.152726101491609
2021,Women,Soccer,Beloit,84460.0,8.825496342737722,0.10714941142542538
2022,Women,Soccer,Beloit,87238.0,9.115778474399164,0.03289130949561923
2003,Women,Softball,Beloit,17316.0,1.0,0.0
2004,Women,Softball,Beloit,50277.0,2.9034996534996536,1.9034996534996536
2005,Women,Softball,Beloit,66193.0,3.822649572649573,0.31656622312389365
2006,Women,Softball,Beloit,49511.0,2.859263109263109,-0.25202060640853263
2007,Women,Softball,Beloit,72361.0,4.178851928851929,0.4615136030377088
2008,Women,Softball,Beloit,80108.0,4.626241626241626,0.10706043310623126
2009,Women,Softball,Beloit,76218.0,4.401593901593902,-0.04855944474958806
2010,Women,Softball,Beloit,89128.0,5.147147147147147,0.1693825605500013
2011,Women,Softball,Beloit,113290.0,6.542504042504042,0.2710932591329324
2012,Women,Softball,Beloit,106490.0,6.1498036498036495,-0.06002294995145203
2013,Women,Softball,Beloit,107672.0,6.218064218064218,0.01109963376842896
2014,Women,Softball,Beloit,102763.0,5.934569184569185,-0.04559216880897541
2015,Women,Softball,Beloit,104985.0,6.0628898128898125,0.021622568434164047
2016,Women,Softball,Beloit,114990.0,6.640679140679141,0.0952993284754965
2017,Women,Softball,Beloit,115926.0,6.694733194733195,0.00813983824680407
2018,Women,Softball,Beloit,113799.0,6.571898821898822,-0.01834791159877853
2019,Women,Softball,Beloit,110930.0,6.406213906213906,-0.025211117848135747
2020,Women,Softball,Beloit,95795.0,5.532166782166782,-0.13643739295050933
2021,Women,Softball,Beloit,142234.0,8.214021714021714,0.4847747794770082
2022,Women,Softball,Beloit,142060.0,8.203973203973204,-0.001223336192471561
2011,Men,Swimming and Diving,Beloit,16693.0,1.0,
2012,Men,Swimming and Diving,Beloit,33111.0,1.9835260288743786,0.9835260288743785
2011,Women,Swimming and Diving,Beloit,23838.0,1.0,
2012,Women,Swimming and Diving,Beloit,36000.0,1.5101938082053863,0.5101938082053864
2003,Men,Tennis,Beloit,5778.0,1.0,0.0
2004,Men,Tennis,Beloit,16134.0,2.7923156801661473,1.7923156801661475
2005,Men,Tennis,Beloit,19571.0,3.3871581862236066,0.21302838725672493
2006,Men,Tennis,Beloit,18548.0,3.2101073035652474,-0.05227121761790404
2007,Men,Tennis,Beloit,11347.0,1.9638283142956041,-0.38823592840198407
2008,Men,Tennis,Beloit,14337.0,2.4813084112149535,0.2635057724508681
2009,Men,Tennis,Beloit,16514.0,2.8580823814468674,0.15184487689195786
2003,Women,Tennis,Beloit,5580.0,1.0,0.0
2004,Women,Tennis,Beloit,25157.0,4.5084229390681,3.5084229390681005
2005,Women,Tennis,Beloit,8998.0,1.6125448028673834,-0.6423261915172715
2006,Women,Tennis,Beloit,8520.0,1.5268817204301075,-0.0531229162036008
2007,Women,Tennis,Beloit,6483.0,1.1618279569892473,-0.2390845070422535
2008,Women,Tennis,Beloit,7684.0,1.3770609318996416,0.18525374055221347
2009,Women,Tennis,Beloit,9560.0,1.7132616487455197,0.24414367516918273
2010,Women,Tennis,Beloit,9553.0,1.7120071684587814,-0.0007322175732217573
2011,Women,Tennis,Beloit,10198.0,1.8275985663082437,0.06751805715482047
2012,Women,Tennis,Beloit,11497.0,2.0603942652329748,0.12737791723867425
2013,Women,Tennis,Beloit,14859.0,2.662903225806452,0.29242411063755763
2014,Women,Tennis,Beloit,14934.0,2.6763440860215053,0.005047445992327882
2015,Women,Tennis,Beloit,17956.0,3.217921146953405,0.20235703763224855
2016,Women,Tennis,Beloit,15531.0,2.783333333333333,-0.13505235018935174
2017,Women,Tennis,Beloit,15450.0,2.7688172043010755,-0.005215375700212479
2018,Women,Tennis,Beloit,15435.0,2.7661290322580645,-0.000970873786407767
2019,Women,Tennis,Beloit,11927.0,2.1374551971326166,-0.22727567217363134
2020,Men,Track and Fields,Beloit,69324.0,1.0,
2020,Women,Track and Fields,Beloit,69875.0,1.0,
2003,Women,Volleyball,Beloit,13787.0,1.0,0.0
2004,Women,Volleyball,Beloit,45882.0,3.327917603539566,2.327917603539566
2005,Women,Volleyball,Beloit,29814.0,2.162471893813012,-0.3502026938668759
2006,Women,Volleyball,Beloit,44646.0,3.2382679335606004,0.4974844033004629
2007,Women,Volleyball,Beloit,71417.0,5.180024660912454,0.5996281861756932
2008,Women,Volleyball,Beloit,80826.0,5.862479147022557,0.13174734306957728
2009,Women,Volleyball,Beloit,78250.0,5.675636469137594,-0.031870932620691364
2010,Women,Volleyball,Beloit,91932.0,6.668020599115108,0.17484984025559105
2011,Women,Volleyball,Beloit,74725.0,5.419960832668456,-0.18717095244311013
2012,Women,Volleyball,Beloit,82083.0,5.95365199100602,0.09846771495483439
2013,Women,Volleyball,Beloit,97505.0,7.072241967070429,0.18788299647917353
2014,Women,Volleyball,Beloit,94861.0,6.880467106694712,-0.027116558125224347
2015,Women,Volleyball,Beloit,94458.0,6.8512366722274605,-0.004248321227901877
2016,Women,Volleyball,Beloit,102991.0,7.470153042721404,0.09033644582777531
2017,Women,Volleyball,Beloit,101005.0,7.3261043011532605,-0.01928323834121428
2018,Women,Volleyball,Beloit,77056.0,5.589033147167622,-0.23710707390723232
2019,Women,Volleyball,Beloit,79832.0,5.790382244143033,0.036025747508305644
2021,Women,Volleyball,Beloit,90967.0,6.598027127003699,0.13948040885860308
2022,Women,Volleyball,Beloit,89431.0,6.486617828389062,-0.016885244099508614
2003,Men,Baseball,Cornell College,58701.0,1.0,0.0
2004,Men,Baseball,Cornell College,40506.0,0.6900393519701539,-0.3099606480298462
2005,Men,Baseball,Cornell College,71708.0,1.2215805522904208,0.7703056337332741
2006,Men,Baseball,Cornell College,72367.0,1.2328069368494574,0.009190048530150053
2007,Men,Baseball,Cornell College,91959.0,1.5665661573056677,0.2707311343568201
2008,Men,Baseball,Cornell College,83142.0,1.416364286809424,-0.09587968551202167
2009,Men,Baseball,Cornell College,86380.0,1.471525186964447,0.03894541868129225
2010,Men,Baseball,Cornell College,80380.0,1.3693122774739783,-0.06946052326927529
2011,Men,Baseball,Cornell College,80013.0,1.3630602545101447,-0.004565812391142075
2012,Men,Baseball,Cornell College,110305.0,1.8790991635576906,0.37858847937210205
2013,Men,Baseball,Cornell College,100591.0,1.7136164630926218,-0.08806491092878836
2014,Men,Baseball,Cornell College,158479.0,2.6997666138566636,0.5754789195852512
2015,Men,Baseball,Cornell College,173276.0,2.951840684145074,0.0933688375115946
2016,Men,Baseball,Cornell College,203445.0,3.4657842285480656,0.1741095131466562
2017,Men,Baseball,Cornell College,198862.0,3.387710601182263,-0.022526972891936396
2018,Men,Baseball,Cornell College,251406.0,4.282823120560127,0.26422343132423487
2019,Men,Baseball,Cornell College,284029.0,4.83857174494472,0.12976221728996126
2020,Men,Baseball,Cornell College,103945.0,1.770753479497794,-0.6340338486562992
2021,Men,Baseball,Cornell College,233165.0,3.972078840224187,1.2431574390302564
2022,Men,Baseball,Cornell College,305212.0,5.199434421900819,0.3089957755237707
2003,Men,Basketball,Cornell College,70259.0,1.0,0.0
2004,Men,Basketball,Cornell College,99375.0,1.4144095418380562,0.41440954183805634
2005,Men,Basketball,Cornell College,108588.0,1.545538649852688,0.09270943396226415
2006,Men,Basketball,Cornell College,92981.0,1.3234034073926473,-0.1437267469701993
2007,Men,Basketball,Cornell College,147264.0,2.0960161687470644,0.5838074445316785
2008,Men,Basketball,Cornell College,131731.0,1.8749341721345307,-0.1054772381573229
2009,Men,Basketball,Cornell College,131880.0,1.8770548968815384,0.00113109290903432
2010,Men,Basketball,Cornell College,118544.0,1.6872429154983704,-0.10112223233242341
2011,Men,Basketball,Cornell College,110579.0,1.5738766563714257,-0.06719024159805642
2012,Men,Basketball,Cornell College,131901.0,1.8773537909733984,0.19282142178894726
2013,Men,Basketball,Cornell College,126653.0,1.8026587341123557,-0.03978741631981562
2014,Men,Basketball,Cornell College,178915.0,2.546506497388235,0.41263925844630606
2015,Men,Basketball,Cornell College,176090.0,2.5062981255070524,-0.015789620769639214
2016,Men,Basketball,Cornell College,160232.0,2.2805903869966837,-0.0900562212504969
2017,Men,Basketball,Cornell College,136701.0,1.9456724405414254,-0.1468558090768386
2018,Men,Basketball,Cornell College,144366.0,2.0547687840703683,0.05607127965413567
2019,Men,Basketball,Cornell College,146920.0,2.091119998861356,0.017691146114736156
2020,Men,Basketball,Cornell College,111270.0,1.5837116952988228,-0.24264906071331338
2021,Men,Basketball,Cornell College,157896.0,2.247341977540244,0.41903478026422214
2022,Men,Basketball,Cornell College,152134.0,2.165331131954625,-0.03649237472766884
2003,Women,Basketball,Cornell College,54944.0,1.0,0.0
2004,Women,Basketball,Cornell College,64261.0,1.1695726557949913,0.16957265579499126
2005,Women,Basketball,Cornell College,97759.0,1.779247961560862,0.5212804033550676
2006,Women,Basketball,Cornell College,138246.0,2.5161255096097843,0.4141511267504782
2007,Women,Basketball,Cornell College,138087.0,2.5132316540477575,-0.0011501236925480665
2008,Women,Basketball,Cornell College,139560.0,2.5400407687827604,0.01066718807708184
2009,Women,Basketball,Cornell College,135560.0,2.467239370995923,-0.028661507595299514
2010,Women,Basketball,Cornell College,125930.0,2.291970005824112,-0.07103865447034523
2011,Women,Basketball,Cornell College,115529.0,2.1026681712288875,-0.08259350432780116
2012,Women,Basketball,Cornell College,135397.0,2.4642727140361096,0.1719741363640298
2013,Women,Basketball,Cornell College,147214.0,2.679346243447874,0.08727667525868373
2014,Women,Basketball,Cornell College,234625.0,4.270256988934188,0.5937682557365468
2015,Women,Basketball,Cornell College,224963.0,4.094405212580082,-0.0411806073521577
2016,Women,Basketball,Cornell College,250471.0,4.558659726266744,0.11338753483906243
2017,Women,Basketball,Cornell College,249973.0,4.549595952242283,-0.0019882541292205484
2018,Women,Basketball,Cornell College,259879.0,4.7298886138613865,0.039628279854224256
2019,Women,Basketball,Cornell College,270829.0,4.929182440302854,0.04213499359317221
2020,Women,Basketball,Cornell College,123217.0,2.2425924577751895,-0.5450376436792219
2021,Women,Basketball,Cornell College,219188.0,3.9892981945253347,0.7788779145734761
2022,Women,Basketball,Cornell College,258320.0,4.701514269073966,0.17853167144186727
2003,Men,Cross Country,Cornell College,67597.0,1.0,0.0
2007,Men,Cross Country,Cornell College,23378.0,0.34584375046229865,-0.6541562495377014
2008,Men,Cross Country,Cornell College,27410.0,0.4054913679601166,0.17246984344255284
2009,Men,Cross Country,Cornell College,22357.0,0.33073952986079264,-0.1843487778183145
2010,Men,Cross Country,Cornell College,31335.0,0.46355607497374146,0.4015744509549582
2013,Men,Cross Country,Cornell College,45493.0,0.673003239788748,0.45182703047710226
2016,Men,Cross Country,Cornell College,45467.0,0.6726186073346451,-0.0005715164970435012
2022,Men,Cross Country,Cornell College,46580.0,0.6890838350814386,0.024479292673807378
2003,Women,Cross Country,Cornell College,66751.0,1.0,0.0
2007,Women,Cross Country,Cornell College,23378.0,0.3502269628919417,-0.6497730371080583
2008,Women,Cross Country,Cornell College,25176.0,0.37716288894548394,0.0769099153049876
2009,Women,Cross Country,Cornell College,20287.0,0.30392054051624695,-0.19419288210994598
2010,Women,Cross Country,Cornell College,31743.0,0.47554343755149736,0.5646966037363829
2013,Women,Cross Country,Cornell College,42141.0,0.6313163847732618,0.32756828277100464
2016,Women,Cross Country,Cornell College,45467.0,0.6811433536576231,0.078925511971714
2022,Women,Cross Country,Cornell College,46580.0,0.6978172611646267,0.024479292673807378
2003,Men,Football,Cornell College,200198.0,1.0,0.0
2004,Men,Football,Cornell College,186912.0,0.9336357006563503,-0.06636429934364979
2005,Men,Football,Cornell College,227203.0,1.1348914574571174,0.21556133367574046
2006,Men,Football,Cornell College,227665.0,1.1371991728189093,0.0020334238544385415
2007,Men,Football,Cornell College,284079.0,1.4189901997022947,0.24779390771528342
2008,Men,Football,Cornell College,280676.0,1.4019920278923865,-0.011979062162285843
2009,Men,Football,Cornell College,297638.0,1.486718149032458,0.06043266969744474
2010,Men,Football,Cornell College,324748.0,1.622134087253619,0.09108379978362978
2011,Men,Football,Cornell College,284608.0,1.4216325837420953,-0.12360353258526612
2012,Men,Football,Cornell College,304914.0,1.5230621684532313,0.07134725657746796
2013,Men,Football,Cornell College,321935.0,1.6080829978321463,0.0558222974346865
2014,Men,Football,Cornell College,345308.0,1.7248324159082509,0.07260161212667153
2015,Men,Football,Cornell College,338664.0,1.6916452711815302,-0.019240793726180684
2016,Men,Football,Cornell College,380269.0,1.899464530115186,0.12285037677462027
2017,Men,Football,Cornell College,361076.0,1.8035944415029121,-0.050472165756346166
2018,Men,Football,Cornell College,350718.0,1.7518556628937352,-0.02868648151635667
2019,Men,Football,Cornell College,444412.0,2.219862336287076,0.2671491055491877
2020,Men,Football,Cornell College,442339.0,2.2095075874883867,-0.004664590515107603
2021,Men,Football,Cornell College,488348.0,2.4393250681824994,0.10401298551563394
2022,Men,Football,Cornell College,504059.0,2.5178023756481083,0.03217172999582265
2003,Men,Golf,Cornell College,9794.0,1.0,0.0
2004,Men,Golf,Cornell College,12854.0,1.3124361854196447,0.3124361854196447
2005,Men,Golf,Cornell College,11144.0,1.1378394935674903,-0.1330325190602147
2006,Men,Golf,Cornell College,10284.0,1.0500306309985705,-0.07717157214644652
2007,Men,Golf,Cornell College,8438.0,0.8615478864610986,-0.1795021392454298
2008,Men,Golf,Cornell College,12096.0,1.235041862364713,0.43351505095994314
2009,Men,Golf,Cornell College,11348.0,1.1586685725954666,-0.06183862433862434
2010,Men,Golf,Cornell College,15190.0,1.5509495609556871,0.33856186112090236
2011,Men,Golf,Cornell College,9039.0,0.9229119869307739,-0.40493745885450955
2003,Women,Golf,Cornell College,9948.0,1.0,0.0
2004,Women,Golf,Cornell College,7920.0,0.7961399276236429,-0.20386007237635706
2005,Women,Golf,Cornell College,13402.0,1.3472054684358665,0.6921717171717172
2006,Women,Golf,Cornell College,8156.0,0.8198632891033374,-0.3914341143112968
2007,Women,Golf,Cornell College,8129.0,0.8171491757137113,-0.003310446297204512
2008,Women,Golf,Cornell College,9771.0,0.9822074788902292,0.2019928650510518
2009,Women,Golf,Cornell College,6401.0,0.6434459187776438,-0.3448981680483062
2010,Women,Golf,Cornell College,8196.0,0.8238841978287093,0.28042493360412435
2011,Women,Golf,Cornell College,9316.0,0.9364696421391234,0.1366520253782333
2003,Men,Soccer,Cornell College,17576.0,1.0,0.0
2004,Men,Soccer,Cornell College,18442.0,1.0492717341829767,0.049271734182976784
2005,Men,Soccer,Cornell College,18586.0,1.057464724624488,0.007808263745797636
2006,Men,Soccer,Cornell College,13279.0,0.7555188893946291,-0.2855375013450985
2007,Men,Soccer,Cornell College,12654.0,0.7199590350477925,-0.04706679719858423
2008,Men,Soccer,Cornell College,33888.0,1.9280837505689576,1.6780464675201516
2009,Men,Soccer,Cornell College,30244.0,1.7207555757851616,-0.10753068932955619
2010,Men,Soccer,Cornell College,57059.0,3.246415566681839,0.8866221399285809
2011,Men,Soccer,Cornell College,55137.0,3.137061902594447,-0.033684431903818854
2012,Men,Soccer,Cornell College,60723.0,3.4548816568047336,0.10131127917732194
2013,Men,Soccer,Cornell College,68875.0,3.9186959490213926,0.1342489666189088
2014,Men,Soccer,Cornell College,61108.0,3.476786527082385,-0.11276950998185117
2015,Men,Soccer,Cornell College,83409.0,4.74561902594447,0.36494403351443344
2016,Men,Soccer,Cornell College,125610.0,7.146677287209831,0.5059525950437003
2017,Men,Soccer,Cornell College,83563.0,4.75438097405553,-0.3347424568107635
2018,Men,Soccer,Cornell College,99066.0,5.636436049157942,0.18552469394349175
2019,Men,Soccer,Cornell College,96740.0,5.504096495220756,-0.023479296630529143
2020,Men,Soccer,Cornell College,59860.0,3.4057806099226218,-0.38122803390531323
2021,Men,Soccer,Cornell College,98417.0,5.599510696404187,0.644119612429001
2022,Men,Soccer,Cornell College,98513.0,5.604972690031862,0.0009754412347460296
2003,Women,Soccer,Cornell College,18778.0,1.0,0.0
2004,Women,Soccer,Cornell College,18654.0,0.9933965278517414,-0.006603472148258601
2005,Women,Soccer,Cornell College,17571.0,0.9357226541697732,-0.05805725313605661
2006,Women,Soccer,Cornell College,16330.0,0.8696346788795399,-0.07062773888794036
2007,Women,Soccer,Cornell College,17787.0,0.9472254766215784,0.08922229026331904
2008,Women,Soccer,Cornell College,42568.0,2.266908083928001,1.3932085230786528
2009,Women,Soccer,Cornell College,32149.0,1.7120566620513367,-0.24476132305957526
2010,Women,Soccer,Cornell College,31870.0,1.6971988497177548,-0.008678341472518586
2011,Women,Soccer,Cornell College,53312.0,2.8390669932900203,0.6727957326639473
2012,Women,Soccer,Cornell College,61406.0,3.2701033123868357,0.15182322929171668
2013,Women,Soccer,Cornell College,69519.0,3.702151453828949,0.13212063967690454
2014,Women,Soccer,Cornell College,68079.0,3.6254659708169132,-0.020713761705433046
2015,Women,Soccer,Cornell College,83492.0,4.446266908083928,0.22639874263723028
2016,Women,Soccer,Cornell College,70548.0,3.7569496218979657,-0.1550328175154506
2017,Women,Soccer,Cornell College,67929.0,3.6174778996698262,-0.03712366048647729
2018,Women,Soccer,Cornell College,67005.0,3.5682713814037705,-0.013602437839508898
2019,Women,Soccer,Cornell College,76708.0,4.084993077005006,0.14481008879934334
2020,Women,Soccer,Cornell College,46600.0,2.4816274363616997,-0.39250143400949056
2021,Women,Soccer,Cornell College,63302.0,3.3710725316860155,0.35841201716738197
2022,Women,Soccer,Cornell College,72407.0,3.8559484503141976,0.14383431803102587
2003,Women,Softball,Cornell College,39657.0,1.0,0.0
2004,Women,Softball,Cornell College,40832.0,1.0296290692689816,0.029629069268981515
2005,Women,Softball,Cornell College,28020.0,0.7065587412058401,-0.31377351097178685
2006,Women,Softball,Cornell College,61997.0,1.5633305595481253,1.2125981441827267
2007,Women,Softball,Cornell College,70543.0,1.77882845399299,0.13784537961514268
2008,Women,Softball,Cornell College,93164.0,2.3492447739365057,0.32066966247536965
2009,Women,Softball,Cornell College,75481.0,1.9033461936102076,-0.18980507492164356
2010,Women,Softball,Cornell College,94964.0,2.3946339864336688,0.25811793696426916
2011,Women,Softball,Cornell College,76307.0,1.9241747989005724,-0.19646392317088582
2012,Women,Softball,Cornell College,91815.0,2.315228080792798,0.20323168254550697
2013,Women,Softball,Cornell College,100818.0,2.5422497919661096,0.09805587322332952
