Gender,Sport,Year,School,CPct.,Pct.,Ranking
Men,Baseball,2017,St Norbert College,0.882,0.698,1
Men,Baseball,2017,Beloit,0.676,0.5,2
Men,Baseball,2017,Grinnell,0.65,0.556,3
Men,Baseball,2017,Cornell College,0.6,0.487,4
Men,Baseball,2017,Knox,0.45,0.485,5
Men,Baseball,2017,Monmouth IL,0.45,0.457,6
Men,Baseball,2017,Ripon,0.412,0.235,7
Men,Baseball,2017,Illinois Col,0.3,0.324,8
Men,Baseball,2017,Lawrence,0.088,0.157,9
Men,Baseball,2018,Monmouth IL,0.7,0.67,1
Men,Baseball,2018,St Norbert College,0.688,0.615,2
Men,Baseball,2018,Grinnell,0.684,0.436,3
Men,Baseball,2018,Cornell College,0.526,0.447,4
Men,Baseball,2018,Lawrence,0.5,0.417,5
Men,Baseball,2018,Ripon,0.438,0.375,6
Men,Baseball,2018,Illinois Col,0.421,0.514,7
Men,Baseball,2018,Beloit,0.375,0.526,8
Men,Baseball,2018,Knox,0.158,0.314,9
Men,Baseball,2019,University of Chicago,0.688,0.686,1
Men,Baseball,2019,Monmouth IL,0.625,0.595,2
Men,Baseball,2019,Ripon,0.625,0.571,3
Men,Baseball,2019,St Norbert College,0.625,0.528,4
Men,Baseball,2019,Cornell College,0.562,0.578,5
Men,Baseball,2019,Grinnell,0.5,0.412,6
Men,Baseball,2019,Illinois Col,0.438,0.5,7
Men,Baseball,2019,Beloit,0.438,0.471,8
Men,Baseball,2019,Knox,0.375,0.225,9
Men,Baseball,2019,Lawrence,0.125,0.179,10
Men,Baseball,2020,Beloit,0.0,0.889,1
Men,Baseball,2020,University of Chicago,0.0,0.833,2
Men,Baseball,2020,St Norbert College,0.0,0.667,3
Men,Baseball,2020,Grinnell,0.0,0.625,4
Men,Baseball,2020,Monmouth IL,0.0,0.6,5
Men,Baseball,2020,Knox,0.0,0.333,6
Men,Baseball,2020,Lawrence,0.0,0.25,7
Men,Baseball,2020,Cornell College,0.0,0.222,8
Men,Baseball,2020,Illinois Col,0.0,0.222,9
Men,Baseball,2020,Ripon,0.0,0.0,10
Men,Baseball,2021,Beloit,0.864,0.8,1
Men,Baseball,2021,University of Chicago,0.7,0.655,2
Men,Baseball,2021,Grinnell,0.667,0.667,3
Men,Baseball,2021,Illinois Col,0.667,0.525,4
Men,Baseball,2021,Monmouth IL,0.625,0.607,5
Men,Baseball,2021,St Norbert College,0.5,0.515,6
Men,Baseball,2021,Cornell College,0.458,0.368,7
Men,Baseball,2021,Lawrence,0.333,0.441,8
Men,Baseball,2021,Ripon,0.167,0.216,9
Men,Baseball,2021,Knox,0.083,0.118,10
Men,Baseball,2022,Lawrence ,0.75,0.667,1
Men,Baseball,2022,University of Chicago,0.696,0.59,2
Men,Baseball,2022,Ripon,0.542,0.465,3
Men,Baseball,2022,Illinois Col,0.5,0.415,4
Men,Baseball,2022,Beloit,0.5,0.41,5
Men,Baseball,2022,Cornell College,0.458,0.425,6
Men,Baseball,2022,Grinnell,0.458,0.4,7
Men,Baseball,2022,Monmouth IL,0.333,0.359,8
Men,Baseball,2022,Knox,0.261,0.229,9
Men,Baseball,2023,Beloit,0.833,0.689,1
Men,Baseball,2023,Ripon,0.625,0.581,2
Men,Baseball,2023,University of Chicago,0.625,0.581,3
Men,Baseball,2023,Grinnell,0.583,0.462,4
Men,Baseball,2023,Cornell College,0.458,0.525,5
