Gender,Sport,Year,School,CPct.,Pct.,Ranking
Men,Baseball,2023,Monmouth IL,0.458,0.41,6
Men,Baseball,2023,Illinois Col,0.458,0.375,7
Men,Baseball,2023,Lawrence,0.417,0.405,8
Men,Baseball,2023,Knox,0.042,0.179,9
Men,Baseball,2024,Lawrence,0.87,0.738,1
Men,Baseball,2024,University of Chicago,0.667,0.442,2
Men,Baseball,2024,Beloit,0.583,0.585,3
Men,Baseball,2024,Cornell College,0.542,0.561,4
Men,Baseball,2024,Ripon,0.478,0.417,5
Men,Baseball,2024,Monmouth IL,0.417,0.447,6
Men,Baseball,2024,Grinnell,0.391,0.41,7
Men,Baseball,2024,Illinois Col,0.348,0.538,8
Men,Baseball,2024,Knox,0.208,0.289,9
Men,Basketball,2016,St Norbert College,0.889,0.792,1
Men,Basketball,2016,Ripon,0.778,0.769,2
Men,Basketball,2016,Grinnell,0.722,0.696,3
Men,Basketball,2016,Lake Forest,0.611,0.56,4
Men,Basketball,2016,Cornell College,0.556,0.5,5
Men,Basketball,2016,Lawrence,0.5,0.409,6
Men,Basketball,2016,Monmouth IL,0.333,0.261,7
Men,Basketball,2016,Illinois Col,0.278,0.348,8
Men,Basketball,2016,Beloit,0.222,0.261,9
Men,Basketball,2016,Knox,0.111,0.087,10
Men,Basketball,2017,Monmouth IL,0.833,0.714,1
Men,Basketball,2017,St Norbert College,0.778,0.731,2
Men,Basketball,2017,Ripon,0.778,0.72,3
Men,Basketball,2017,Lake Forest,0.722,0.654,4
Men,Basketball,2017,Grinnell,0.444,0.542,5
Men,Basketball,2017,Cornell College,0.389,0.48,6
Men,Basketball,2017,Lawrence,0.389,0.458,7
Men,Basketball,2017,Knox,0.278,0.28,8
Men,Basketball,2017,Beloit,0.222,0.2,9
Men,Basketball,2017,Illinois Col,0.167,0.32,10
Men,Basketball,2018,St Norbert College,0.889,0.704,1
Men,Basketball,2018,Grinnell,0.833,0.76,2
Men,Basketball,2018,Lake Forest,0.667,0.643,3
Men,Basketball,2018,Ripon,0.611,0.6,4
Men,Basketball,2018,Monmouth IL,0.611,0.5,5
Men,Basketball,2018,Lawrence,0.444,0.44,6
Men,Basketball,2018,Illinois Col,0.389,0.36,7
Men,Basketball,2018,Beloit,0.333,0.32,8
Men,Basketball,2018,Cornell College,0.222,0.24,9
Men,Basketball,2018,Knox,0.0,0.04,10
Men,Basketball,2019,St Norbert College,0.944,0.821,1
Men,Basketball,2019,Ripon,0.778,0.714,2
Men,Basketball,2019,Lake Forest,0.556,0.5,3
Men,Basketball,2019,Monmouth IL,0.5,0.56,4
Men,Basketball,2019,Cornell College,0.5,0.538,5
Men,Basketball,2019,Grinnell,0.5,0.52,6
Men,Basketball,2019,Lawrence,0.389,0.44,7
Men,Basketball,2019,Beloit,0.333,0.32,8
Men,Basketball,2019,Knox,0.278,0.36,9
Men,Basketball,2019,Illinois Col,0.222,0.24,10
Men,Basketball,2020,Ripon,0.0,1.0,1
Men,Basketball,2020,Illinois Col,0.0,0.778,2
Men,Basketball,2020,Cornell College,0.0,0.333,3
Men,Basketball,2020,Knox,0.0,0.333,4
Men,Basketball,2020,Lawrence,0.0,0.0,5
Men,Basketball,2020,Lake Forest,0.0,0.0,6
Men,Basketball,2021,Ripon,0.812,0.692,1
Men,Basketball,2021,Cornell College,0.75,0.704,2
Men,Basketball,2021,Grinnell,0.625,0.64,3
Men,Basketball,2021,Illinois Col,0.625,0.56,4
Men,Basketball,2021,Lawrence,0.562,0.48,5
Men,Basketball,2021,Lake Forest,0.562,0.4,6
Men,Basketball,2021,Knox,0.25,0.333,7
Men,Basketball,2021,Beloit,0.188,0.24,8
Men,Basketball,2021,Monmouth IL,0.125,0.125,9
Men,Basketball,2022,Illinois Col,0.938,0.893,1
Men,Basketball,2022,Cornell College,0.75,0.556,2
Men,Basketball,2022,Monmouth IL,0.625,0.538,3
Men,Basketball,2022,Ripon,0.625,0.538,4
Men,Basketball,2022,Lake Forest,0.5,0.44,5
Men,Basketball,2022,Lawrence,0.375,0.36,6
Men,Basketball,2022,Grinnell,0.25,0.333,7
Men,Basketball,2022,Knox,0.25,0.24,8
Men,Basketball,2022,Beloit,0.188,0.28,9
Men,Basketball,2023,Illinois Col,0.812,0.828,1
Men,Basketball,2023,Grinnell,0.75,0.731,2
Men,Basketball,2023,Beloit,0.562,0.615,3
Men,Basketball,2023,Ripon,0.562,0.423,4
Men,Basketball,2023,Monmouth IL,0.438,0.52,5
Men,Basketball,2023,Lake Forest,0.438,0.36,6
Men,Basketball,2023,Knox,0.375,0.52,7
Men,Basketball,2023,Cornell College,0.375,0.36,8
Men,Basketball,2023,Lawrence,0.188,0.2,9
Men,Basketball,2024,Monmouth IL,0.833,0.762,1
Men,Basketball,2024,Grinnell,0.769,0.773,2
Men,Basketball,2024,Illinois Col,0.615,0.682,3
Men,Basketball,2024,Cornell College,0.583,0.619,4
Men,Basketball,2024,Ripon,0.583,0.476,5
Men,Basketball,2024,Lake Forest,0.5,0.429,6
Men,Basketball,2024,Lawrence,0.308,0.273,7
Men,Basketball,2024,Beloit,0.231,0.333,8
Men,Basketball,2024,Knox,0.083,0.19,9
Men,Football,2016,Monmouth IL,1.0,0.909,1
Men,Football,2016,St Norbert College,0.875,0.7,2
Men,Football,2016,Lake Forest,0.75,0.8,3
Men,Football,2016,Macalester College,0.75,0.7,4
Men,Football,2016,Illinois Col,0.625,0.6,5
Men,Football,2016,Cornell College,0.5,0.5,6
Men,Football,2016,Beloit,0.25,0.3,7
Men,Football,2016,Lawrence,0.25,0.3,8
Men,Football,2016,Knox,0.25,0.2,9
Men,Football,2016,Ripon,0.25,0.2,10
Men,Football,2016,Grinnell,0.0,0.0,11
Men,Football,2017,Monmouth IL,1.0,0.818,1
Men,Football,2017,St Norbert College,1.0,0.7,2
Men,Football,2017,Lake Forest,0.8,0.8,3
Men,Football,2017,University of Chicago,0.6,0.6,4
Men,Football,2017,Macalester College,0.6,0.5,5
Men,Football,2017,Ripon,0.6,0.5,6
Men,Football,2017,Illinois Col,0.6,0.5,7
Men,Football,2017,Cornell College,0.4,0.4,8
Men,Football,2017,Knox,0.2,0.5,9
Men,Football,2017,Lawrence,0.2,0.2,10
Men,Football,2017,Beloit,0.0,0.1,11
Men,Football,2017,Grinnell,0.0,0.1,12
Men,Football,2018,St Norbert College,1.0,0.833,1
Men,Football,2018,Monmouth IL,1.0,0.8,2
Men,Football,2018,University of Chicago,0.8,0.7,3
Men,Football,2018,Lake Forest,0.8,0.6,4
Men,Football,2018,Ripon,0.6,0.7,5
Men,Football,2018,Macalester College,0.4,0.5,6
Men,Football,2018,Cornell College,0.4,0.5,7
Men,Football,2018,Illinois Col,0.4,0.4,8
Men,Football,2018,Knox,0.4,0.2,9
Men,Football,2018,Lawrence,0.2,0.2,10
Men,Football,2018,Grinnell,0.0,0.2,11
Men,Football,2018,Beloit,0.0,0.1,12
Men,Football,2019,Monmouth IL,1.0,0.778,1
Men,Football,2019,St Norbert College,1.0,0.667,2
Men,Football,2019,Lake Forest,0.8,0.7,3
Men,Football,2019,University of Chicago,0.75,0.667,4
Men,Football,2019,Ripon,0.6,0.4,5
Men,Football,2019,Illinois Col,0.5,0.667,6
Men,Football,2019,Macalester College,0.4,0.4,7
Men,Football,2019,Cornell College,0.25,0.444,8
Men,Football,2019,Beloit,0.2,0.1,9
Men,Football,2019,Knox,0.0,0.333,10
Men,Football,2019,Lawrence,0.0,0.111,11
Men,Football,2019,Grinnell,0.0,0.0,12
Men,Football,2020,Lake Forest,0.0,1.0,1
Men,Football,2020,Knox,0.0,0.0,2
Men,Football,2020,Illinois Col,0.0,0.0,3
Men,Football,2020,Ripon,0.0,0.0,4
Men,Football,2021,Lake Forest,1.0,0.909,1
Men,Football,2021,Monmouth IL,0.889,0.8,2
Men,Football,2021,University of Chicago,0.778,0.8,3
Men,Football,2021,Ripon,0.625,0.667,4
Men,Football,2021,Illinois Col,0.556,0.5,5
Men,Football,2021,Cornell College,0.444,0.4,6
Men,Football,2021,Knox,0.333,0.333,7
Men,Football,2021,Grinnell,0.222,0.2,8
Men,Football,2021,Lawrence,0.125,0.222,9
Men,Football,2021,Beloit,0.0,0.0,10
Men,Football,2022,Ripon,0.889,0.9,1
Men,Football,2022,Lake Forest,0.889,0.818,2
Men,Football,2022,Monmouth IL,0.889,0.818,3
Men,Football,2022,University of Chicago,0.667,0.7,4
Men,Football,2022,Illinois Col,0.5,0.556,5
Men,Football,2022,Knox,0.444,0.5,6
Men,Football,2022,Cornell College,0.333,0.3,7
Men,Football,2022,Grinnell,0.25,0.25,8
Men,Football,2022,Beloit,0.111,0.1,9
Men,Football,2022,Lawrence,0.0,0.0,10
Men,Football,2023,Illinois Col,0.889,0.818,1
Men,Football,2023,Monmouth IL,0.889,0.818,2
Men,Football,2023,Lake Forest,0.667,0.7,3
Men,Football,2023,Cornell College,0.667,0.6,4
Men,Football,2023,University of Chicago,0.667,0.6,5
Men,Football,2023,Ripon,0.556,0.5,6
Men,Football,2023,Knox,0.333,0.3,7
Men,Football,2023,Grinnell,0.222,0.2,8
Men,Football,2023,Beloit,0.111,0.2,9
Men,Football,2023,Lawrence,0.0,0.0,10
Men,Football,2024,Lake Forest,1.0,0.909,1
Men,Football,2024,Monmouth IL,0.889,0.818,2
Men,Football,2024,Illinois Col,0.778,0.8,3
Men,Football,2024,University of Chicago,0.667,0.6,4
Men,Football,2024,Cornell College,0.556,0.5,5
Men,Football,2024,Ripon,0.444,0.4,6
Men,Football,2024,Knox,0.222,0.3,7
Men,Football,2024,Grinnell,0.222,0.2,8
Men,Football,2024,Beloit,0.111,0.1,9
Men,Football,2024,Lawrence,0.111,0.1,10
Men,Soccer,2016,Knox,0.889,0.737,1
Men,Soccer,2016,Lake Forest,0.889,0.579,2
Men,Soccer,2016,St Norbert College,0.833,0.786,3
Men,Soccer,2016,Grinnell,0.722,0.605,4
Men,Soccer,2016,Monmouth IL,0.444,0.324,5
Men,Soccer,2016,Cornell College,0.333,0.556,6
Men,Soccer,2016,Illinois Col,0.333,0.306,7
Men,Soccer,2016,Beloit,0.278,0.469,8
Men,Soccer,2016,Lawrence,0.278,0.382,9
Men,Soccer,2016,Ripon,0.0,0.235,10
Men,Soccer,2017,St Norbert College,0.944,0.75,1
Men,Soccer,2017,Knox,0.944,0.75,2
Men,Soccer,2017,Lake Forest,0.778,0.625,3
Men,Soccer,2017,Grinnell,0.667,0.5,4
Men,Soccer,2017,Illinois Col,0.5,0.528,5
Men,Soccer,2017,Cornell College,0.444,0.472,6
Men,Soccer,2017,Monmouth IL,0.333,0.222,7
Men,Soccer,2017,Beloit,0.278,0.344,8
Men,Soccer,2017,Ripon,0.056,0.167,9
Men,Soccer,2017,Lawrence,0.056,0.147,10
Men,Soccer,2018,St Norbert College,1.0,0.921,1
Men,Soccer,2018,Knox,0.889,0.75,2
Men,Soccer,2018,Cornell College,0.722,0.789,3
Men,Soccer,2018,Lake Forest,0.667,0.583,4
Men,Soccer,2018,Grinnell,0.556,0.533,5
Men,Soccer,2018,Monmouth IL,0.5,0.5,6
Men,Soccer,2018,Illinois Col,0.278,0.306,7
Men,Soccer,2018,Beloit,0.222,0.25,8
Men,Soccer,2018,Lawrence,0.111,0.222,9
Men,Soccer,2018,Ripon,0.056,0.219,10
Men,Soccer,2019,Knox,0.889,0.762,1
Men,Soccer,2019,Lake Forest,0.889,0.553,2
Men,Soccer,2019,St Norbert College,0.833,0.729,3
Men,Soccer,2019,Monmouth IL,0.556,0.556,4
Men,Soccer,2019,Lawrence,0.444,0.5,5
Men,Soccer,2019,Cornell College,0.444,0.361,6
Men,Soccer,2019,Grinnell,0.389,0.441,7
Men,Soccer,2019,Beloit,0.333,0.333,8
Men,Soccer,2019,Illinois Col,0.222,0.35,9
Men,Soccer,2019,Ripon,0.0,0.083,10
Men,Soccer,2020,Lake Forest,0.0,1.0,1
Men,Soccer,2020,Knox,0.0,1.0,2
Men,Soccer,2020,Lawrence,0.0,0.5,3
Men,Soccer,2020,Illinois Col,0.0,0.25,4
Men,Soccer,2020,Ripon,0.0,0.125,5
Men,Soccer,2020,Cornell College,0.0,0.0,6
Men,Soccer,2021,Cornell College,0.875,0.789,1
Men,Soccer,2021,Knox ,0.875,0.632,2
Men,Soccer,2021,Grinnell,0.75,0.579,3
Men,Soccer,2021,Lawrence,0.625,0.421,4
Men,Soccer,2021,Lake Forest,0.5,0.25,5
Men,Soccer,2021,Illinois Col,0.375,0.583,6
Men,Soccer,2021,Beloit,0.25,0.3,7
Men,Soccer,2021,Ripon,0.125,0.25,8
Men,Soccer,2021,Monmouth IL,0.125,0.133,9
Men,Soccer,2022,Lake Forest,0.75,0.475,1
Men,Soccer,2022,Grinnell,0.688,0.553,2
Men,Soccer,2022,Ripon,0.625,0.5,3
Men,Soccer,2022,Knox,0.562,0.324,4
Men,Soccer,2022,Cornell College,0.5,0.559,5
Men,Soccer,2022,Beloit,0.5,0.333,6
Men,Soccer,2022,Illinois Col,0.312,0.526,7
Men,Soccer,2022,Lawrence,0.312,0.265,8
Men,Soccer,2022,Monmouth IL,0.25,0.294,9
Men,Soccer,2023,Illinois Col,0.75,0.639,1
Men,Soccer,2023,Lake Forest,0.625,0.45,2
Men,Soccer,2023,Cornell College,0.625,0.447,3
Men,Soccer,2023,Grinnell,0.5,0.575,4
Men,Soccer,2023,Knox,0.5,0.5,5
Men,Soccer,2023,Beloit,0.5,0.267,6
Men,Soccer,2023,Ripon,0.375,0.559,7
Men,Soccer,2023,Monmouth IL,0.375,0.25,8
Men,Soccer,2023,Lawrence,0.25,0.188,9
Men,Soccer,2024,Lake Forest ,0.938,0.548,1
Men,Soccer,2024,Illinois Col,0.875,0.7,2
Men,Soccer,2024,Grinnell,0.625,0.553,3
Men,Soccer,2024,Knox,0.625,0.5,4
Men,Soccer,2024,Ripon,0.562,0.675,5
Men,Soccer,2024,Cornell College,0.312,0.265,6
Men,Soccer,2024,Lawrence,0.25,0.235,7
Men,Soccer,2024,Monmouth IL,0.188,0.25,8
Men,Soccer,2024,Beloit,0.125,0.111,9
Men,Tennis,2016,Grinnell,1.0,0.643,1
Men,Tennis,2016,Cornell College,0.875,0.607,2
Men,Tennis,2016,Lake Forest,0.75,0.56,3
Men,Tennis,2016,Lawrence,0.625,0.524,4
Men,Tennis,2016,Monmouth IL,0.5,0.368,5
Men,Tennis,2016,St Norbert College,0.375,0.5,6
Men,Tennis,2016,Illinois Col,0.25,0.2,7
Men,Tennis,2016,Knox,0.125,0.059,8
Men,Tennis,2016,Ripon,0.0,0.0,9
Men,Tennis,2017,Grinnell,1.0,0.821,1
Men,Tennis,2017,Lake Forest,0.875,0.636,2
Men,Tennis,2017,Lawrence,0.75,0.571,3
Men,Tennis,2017,St Norbert College,0.5,0.5,4
Men,Tennis,2017,Monmouth IL,0.5,0.316,5
Men,Tennis,2017,Illinois Col,0.375,0.471,6
Men,Tennis,2017,Cornell College,0.375,0.263,7
Men,Tennis,2017,Ripon,0.125,0.062,8
Men,Tennis,2017,Knox,0.0,0.0,9
Men,Tennis,2018,Grinnell,1.0,0.839,1
Men,Tennis,2018,Lawrence,0.75,0.6,2
Men,Tennis,2018,Lake Forest,0.75,0.521,3
Men,Tennis,2018,Cornell College,0.625,0.565,4
Men,Tennis,2018,Illinois Col,0.5,0.474,5
Men,Tennis,2018,St Norbert College,0.375,0.333,6
Men,Tennis,2018,Monmouth IL,0.375,0.25,7
Men,Tennis,2018,Ripon,0.125,0.167,8
Men,Tennis,2018,Knox,0.0,0.067,9
Men,Tennis,2019,Grinnell,0.0,0.727,1
Men,Tennis,2019,Monmouth IL,0.0,0.667,2
Men,Tennis,2019,Cornell College,0.0,0.625,3
Men,Tennis,2019,Lawrence,0.0,0.571,4
Men,Tennis,2019,Lake Forest,0.0,0.5,5
Men,Tennis,2019,Knox,0.0,0.5,6
Men,Tennis,2019,Ripon,0.0,0.4,7
Men,Tennis,2019,St Norbert College,0.0,0.375,8
Men,Tennis,2019,Illinois Col,0.0,0.0,9
Men,Tennis,2021,Grinnell,1.0,0.9,1
Men,Tennis,2021,Lake Forest,1.0,0.667,2
Men,Tennis,2021,Cornell College,0.625,0.526,3
Men,Tennis,2021,St Norbert College,0.333,0.333,4
Men,Tennis,2021,Monmouth IL,0.286,0.222,5
Men,Tennis,2021,Ripon,0.2,0.3,6
Men,Tennis,2021,Illinois Col,0.0,0.0,7
Men,Tennis,2022,Grinnell,1.0,0.692,1
Men,Tennis,2022,Lake Forest,0.833,0.55,2
Men,Tennis,2022,Cornell College,0.667,0.44,3
Men,Tennis,2022,Ripon,0.5,0.316,4
Men,Tennis,2022,Lawrence,0.333,0.235,5
Men,Tennis,2022,Illinois Col,0.167,0.118,6
Men,Tennis,2022,Monmouth IL,0.0,0.0,7
Men,Tennis,2023,Grinnell,1.0,0.862,1
Men,Tennis,2023,Lake Forest,0.833,0.667,2
Men,Tennis,2023,Cornell College,0.667,0.68,3
Men,Tennis,2023,Lawrence,0.5,0.294,4
Men,Tennis,2023,Illinois Col,0.333,0.476,5
Men,Tennis,2023,Ripon,0.167,0.15,6
Men,Tennis,2023,Monmouth IL,0.0,0.0,7
Men,Tennis,2024,Grinnell,0.0,0.8,1
Men,Tennis,2024,Cornell College,0.0,0.7,2
Men,Tennis,2024,Illinois Col,0.0,0.25,3
Men,Tennis,2024,Lawrence,0.0,0.25,4
Men,Tennis,2024,Lake Forest,0.0,0.0,5
Men,Tennis,2024,Ripon,0.0,0.0,6
Men,Tennis,2024,Monmouth IL,0.0,0.0,7
Women,Basketball,2016,Cornell College,0.944,0.8,1
Women,Basketball,2016,St Norbert College,0.833,0.769,2
Women,Basketball,2016,Ripon,0.833,0.708,3
Women,Basketball,2016,Grinnell,0.667,0.583,4
Women,Basketball,2016,Knox,0.556,0.565,5
Women,Basketball,2016,Illinois Col,0.444,0.478,6
Women,Basketball,2016,Lake Forest,0.278,0.261,7
Women,Basketball,2016,Beloit,0.222,0.261,8
Women,Basketball,2016,Monmouth IL,0.222,0.174,9
Women,Basketball,2016,Lawrence,0.0,0.087,10
Women,Basketball,2017,Cornell College,0.875,0.769,1
Women,Basketball,2017,Ripon,0.875,0.68,2
Women,Basketball,2017,Knox,0.688,0.64,3
Women,Basketball,2017,Lake Forest,0.562,0.481,4
Women,Basketball,2017,Monmouth IL,0.375,0.36,5
Women,Basketball,2017,Illinois Col,0.375,0.333,6
Women,Basketball,2017,Lawrence,0.375,0.28,7
Women,Basketball,2017,Grinnell,0.25,0.318,8
Women,Basketball,2017,Beloit,0.125,0.167,9
Women,Basketball,2017,St Norbert College,0.0,0.667,10
Women,Basketball,2018,Ripon,0.889,0.679,1
Women,Basketball,2018,Monmouth IL,0.722,0.704,2
Women,Basketball,2018,Lake Forest,0.667,0.5,3
Women,Basketball,2018,Knox,0.556,0.52,4
Women,Basketball,2018,St Norbert College,0.556,0.423,5
Women,Basketball,2018,Beloit,0.389,0.32,6
Women,Basketball,2018,Cornell College,0.389,0.304,7
Women,Basketball,2018,Illinois Col,0.333,0.4,8
Women,Basketball,2018,Grinnell,0.333,0.333,9
Women,Basketball,2018,Lawrence,0.167,0.25,10
Women,Basketball,2019,Ripon,0.833,0.741,1
Women,Basketball,2019,Monmouth IL,0.778,0.741,2
Women,Basketball,2019,Cornell College,0.667,0.6,3
Women,Basketball,2019,Knox,0.611,0.615,4
Women,Basketball,2019,Lake Forest,0.556,0.52,5
Women,Basketball,2019,Illinois Col,0.5,0.52,6
Women,Basketball,2019,St Norbert College,0.444,0.36,7
Women,Basketball,2019,Grinnell,0.389,0.44,8
Women,Basketball,2019,Lawrence,0.167,0.24,9
Women,Basketball,2019,Beloit,0.056,0.12,10
Women,Basketball,2020,Ripon,0.0,1.0,1
Women,Basketball,2020,Illinois Col,0.0,0.545,2
Women,Basketball,2020,Cornell College,0.0,0.5,3
Women,Basketball,2020,Knox,0.0,0.5,4
Women,Basketball,2020,Lake Forest,0.0,0.125,5
Women,Basketball,2020,Lawrence,0.0,0.0,6
Women,Basketball,2021,Ripon,0.938,0.667,1
Women,Basketball,2021,Monmouth IL,0.625,0.583,2
Women,Basketball,2021,Knox,0.625,0.48,3
Women,Basketball,2021,Illinois Col,0.6,0.476,4
Women,Basketball,2021,Cornell College,0.5,0.571,5
Women,Basketball,2021,Lawrence,0.5,0.455,6
Women,Basketball,2021,Grinnell,0.4,0.409,7
Women,Basketball,2021,Lake Forest,0.312,0.333,8
Women,Basketball,2021,Beloit,0.0,0.167,9
Women,Basketball,2022,Knox,0.938,0.786,1
Women,Basketball,2022,Ripon,0.938,0.741,2
Women,Basketball,2022,Cornell College,0.562,0.417,3
Women,Basketball,2022,Illinois Col,0.5,0.423,4
Women,Basketball,2022,Grinnell,0.438,0.435,5
Women,Basketball,2022,Monmouth IL,0.375,0.4,6
Women,Basketball,2022,Lake Forest,0.312,0.375,7
Women,Basketball,2022,Beloit,0.25,0.333,8
Women,Basketball,2022,Lawrence,0.188,0.28,9
Women,Basketball,2023,Ripon,0.875,0.679,1
Women,Basketball,2023,Knox,0.625,0.704,2
Women,Basketball,2023,Illinois Col,0.625,0.577,3
Women,Basketball,2023,Grinnell,0.562,0.583,4
Women,Basketball,2023,Lawrence,0.562,0.577,5
Women,Basketball,2023,Beloit,0.5,0.44,6
Women,Basketball,2023,Cornell College,0.438,0.36,7
Women,Basketball,2023,Lake Forest,0.312,0.292,8
Women,Basketball,2023,Monmouth IL,0.0,0.08,9
Women,Basketball,2024,Ripon,0.917,0.81,1
Women,Basketball,2024,Lawrence,0.769,0.727,2
Women,Basketball,2024,Grinnell,0.692,0.682,3
Women,Basketball,2024,Cornell College,0.667,0.6,4
Women,Basketball,2024,Knox,0.583,0.571,5
Women,Basketball,2024,Illinois Col,0.462,0.409,6
Women,Basketball,2024,Monmouth IL,0.167,0.238,7
Women,Basketball,2024,Lake Forest,0.167,0.19,8
Women,Basketball,2024,Beloit,0.077,0.091,9
Women,Soccer,2016,Knox,1.0,0.929,1
Women,Soccer,2016,Lake Forest,0.722,0.579,2
Women,Soccer,2016,Grinnell,0.722,0.553,3
Women,Soccer,2016,Ripon,0.611,0.806,4
Women,Soccer,2016,St Norbert College,0.611,0.528,5
Women,Soccer,2016,Illinois Col,0.556,0.472,6
Women,Soccer,2016,Monmouth IL,0.333,0.444,7
Women,Soccer,2016,Beloit,0.278,0.321,8
Women,Soccer,2016,Cornell College,0.111,0.167,9
Women,Soccer,2016,Lawrence,0.056,0.094,10
Women,Soccer,2017,St Norbert College,0.889,0.711,1
Women,Soccer,2017,Knox,0.889,0.682,2
Women,Soccer,2017,Monmouth IL,0.667,0.575,3
Women,Soccer,2017,Grinnell,0.667,0.556,4
Women,Soccer,2017,Lake Forest,0.667,0.471,5
Women,Soccer,2017,Ripon,0.444,0.588,6
Women,Soccer,2017,Cornell College,0.444,0.263,7
Women,Soccer,2017,Beloit,0.222,0.333,8
Women,Soccer,2017,Illinois Col,0.111,0.158,9
Women,Soccer,2017,Lawrence,0.0,0.111,10
Women,Soccer,2018,Knox,0.889,0.69,1
Women,Soccer,2018,Grinnell,0.778,0.559,2
Women,Soccer,2018,St Norbert College,0.722,0.425,3
Women,Soccer,2018,Ripon,0.556,0.421,4
Women,Soccer,2018,Lake Forest,0.5,0.472,5
Women,Soccer,2018,Monmouth IL,0.444,0.529,6
Women,Soccer,2018,Beloit,0.444,0.344,7
Women,Soccer,2018,Cornell College,0.444,0.306,8
Women,Soccer,2018,Illinois Col,0.222,0.333,9
Women,Soccer,2018,Lawrence,0.0,0.0,10
Women,Soccer,2019,Knox ,0.833,0.0,1
Women,Soccer,2019,Cornell College,0.778,0.0,2
Women,Soccer,2019,Monmouth IL,0.667,0.0,3
Women,Soccer,2019,Lake Forest,0.667,0.0,4
Women,Soccer,2019,St Norbert College,0.611,0.0,5
Women,Soccer,2019,Grinnell,0.556,0.0,6
Women,Soccer,2019,Ripon,0.444,0.0,7
Women,Soccer,2019,Lawrence,0.222,0.0,8
Women,Soccer,2019,Beloit,0.222,0.0,9
Women,Soccer,2019,Illinois Col,0.0,0.0,10
Women,Soccer,2020,Lake Forest,0.0,0.9,1
Women,Soccer,2020,Knox,0.0,0.5,2
Women,Soccer,2020,Ripon,0.0,0.375,3
Women,Soccer,2020,Illinois Col,0.0,0.167,4
Women,Soccer,2020,Cornell College,0.0,0.0,5
