Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Tesar, Tali",FR-1,10.65,Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Bresnahan, Cara",SR-4,10.69,Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Bresnahan, Cara",SR-4,10.83,2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Soderberg, Midori",SO-2,10.86,Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Bresnahan, Cara",SR-4,10.86,2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,"Tesar, Tali",FR-1,10.92,2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,"Bresnahan, Cara",SR-4,10.96,2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Tesar, Tali",FR-1,10.97,Wartburg Indoor Invite,"Feb 16, 2019"
,"Soderberg, Midori",SO-2,11.02,Wartburg Indoor Invite,"Feb 16, 2019"
,"Soderberg, Midori",SO-2,11.06,2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,"Bresnahan, Cara",SR-4,11.06,Wartburg Indoor Invite,"Feb 16, 2019"
,"Holtzman, Gwen",SR-4,11.23,2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Soderberg, Midori",SO-2,11.3,2019 Grinnell Indoor Invitational,"Jan 26, 2019"
