Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Schaefer, Emma",FR-1,11:12.55,Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Schaefer, Emma",SO-2,11:28.21,Hilltop Invitational,"Jan 19, 2019"
,"Cottrell, Allison",SO-2,11:35.75,Hilltop Invitational,"Jan 19, 2019"
,"Keleher, Cara",SO-2,11:54.53,Hilltop Invitational,"Jan 19, 2019"
,"McCusker, Katie Lou",SR-4,12:24.57,Hilltop Invitational,"Jan 19, 2019"
,"Timmermans, Merel",SO-2,12:26.00,2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Timmermans, Merel",FR-1,12:39.57,Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Davis, Addison",SO-2,12:40.10,Luther Alumni Meet,"Feb 2, 2019"
,"Sloniewky, Julia",SO-2,12:43.68,Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Sloniewky, Julia",SO-2,13:15.19,Wartburg Indoor Invite,"Feb 16, 2019"
