Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Pellisslier Lloyd, Tallulah",,1.42m,"4' 7.75""",Hilltop Invitational,"Jan 19, 2019"
,"Pellisslier Lloyd, Tallulah",,1.37m,"4' 6""",Hilltop Invitational,"Jan 19, 2019"
,"Pellisslier Lloyd, Tallulah",FR-1,1.36m,"4' 5.5""",Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Pellisslier Lloyd, Tallulah",,1.32m,"4' 4""",Wartburg Indoor Invite,"Feb 16, 2019"
,"Pellisslier Lloyd, Tallulah",,1.32m,"4' 4""",Hilltop Invitational,"Jan 19, 2019"
,"Pellisslier Lloyd, Tallulah",FR-1,1.31m,"4' 3.5""",Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Pellisslier Lloyd, Tallulah",,1.27m,"4' 2""",Hilltop Invitational,"Jan 19, 2019"
,"Pellisslier Lloyd, Tallulah",,1.27m,"4' 2""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Pellisslier Lloyd, Tallulah",,1.27m,"4' 2""",Wartburg Indoor Invite,"Feb 16, 2019"
,"Pellisslier Lloyd, Tallulah",,1.24m,"4' 0.75""",2019 Darren Young Indoor Invitational,"Feb 9, 2019"
