Statistic,High,Opponent
AT BATS,34,Oberlin (3/20/2023); Simpson (4/5/2023)
RUNS SCORED,20,Cornell College (4/29/2023)
HITS,14,North Central (MN) (3/4/2023); Old Westbury (3/20/2023); Knox (4/2/2023); Knox (4/2/2023); Ripon (5/6/2023)
RBIS,16,Cornell College (4/29/2023)
DOUBLES,5,Cornell College (4/29/2023)
TRIPLES,3,North Central (MN) (3/4/2023); Oberlin (3/20/2023)
HOME RUNS,2,North Central (MN) (3/4/2023); Bates (3/19/2023); Beloit (4/23/2023)
WALKS,11,Cornell College (4/29/2023)
STRIKEOUTS,10,Wis.-Whitewater (3/23/2023); Illinois Col. (4/30/2023)
SAC HITS,2,St. Olaf (3/23/2023); Middlebury (3/24/2023)
SAC FLIES,2,Lawrence University (4/22/2023)
STOLEN BASES,7,Oberlin (3/20/2023)
HIT BY PITCH,3,Beloit (4/23/2023)
CAUGHT STEALING,1,Old Westbury (3/20/2023); Wis.-Eau Claire (3/21/2023); Beloit (4/23/2023); Knox (4/2/2023); Simpson (4/5/2023)
HIT INTO DP,2,Macalester College (3/4/2023); Monmouth (Ill.) (4/1/2023)
