#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
23.0,"Durak, Taylor 23 Durak, Taylor",0.415,1.185,43-43,123,32,51,11,0,7,39,83,0.675,24,1,16,0,0.51,1,0,1-1,View Bio
88.0,"Chu, Samantha 88 Chu, Samantha",0.389,1.06,42-42,126,26,49,16,5,1,38,78,0.619,15,0,5,1,0.441,4,0,1-1,View Bio
26.0,"Anson, Kambria 26 Anson, Kambria",0.368,0.832,40-39,125,23,46,1,4,0,16,55,0.44,5,0,8,0,0.392,0,1,15-17,View Bio
10.0,"Ramirez, Amanda 10 Ramirez, Amanda",0.356,0.891,44-44,135,45,48,8,3,0,29,62,0.459,12,7,15,1,0.432,1,7,5-6,View Bio
2.0,"Okada, Alexa 2 Okada, Alexa",0.34,0.838,40-39,100,24,34,3,0,0,16,37,0.37,18,7,14,1,0.468,1,0,7-10,View Bio
3.0,"DiGiacomo-Zahller, Emma 3 DiGiacomo-Zahller, Emma",0.321,0.75,40-38,131,29,42,8,1,0,15,52,0.397,7,0,14,1,0.353,1,0,3-3,View Bio
20.0,"Becker, Anne 20 Becker, Anne",0.4,1.0,10-0,10,0,4,0,1,0,2,6,0.6,0,0,3,0,0.4,0,0,0-0,View Bio
19.0,"O'Bryan, Maddy 19 O'Bryan, Maddy",0.333,1.0,9-7,3,1,1,1,0,0,0,2,0.667,0,0,0,0,0.333,0,0,0-0,View Bio
18.0,"DiCarlo, Sofia 18 DiCarlo, Sofia",0.325,0.808,28-8,40,8,13,4,0,0,9,17,0.425,5,0,3,0,0.383,2,0,0-0,View Bio
17.0,"Oda, Jasmine 17 Oda, Jasmine",0.311,0.827,24-20,61,14,19,3,0,1,16,25,0.41,10,1,21,0,0.417,0,0,0-0,View Bio
4.0,"Dykstra, Hannah 4 Dykstra, Hannah",0.304,0.858,28-20,56,19,17,3,3,0,13,26,0.464,6,3,15,1,0.394,1,1,6-6,View Bio
13.0,"Killion, Kyra 13 Killion, Kyra",0.254,0.743,24-21,59,11,15,2,0,2,11,23,0.39,8,1,3,1,0.353,0,1,0-0,View Bio
11.0,"Vermeulen, Kathryn 11 Vermeulen, Kathryn",0.25,0.71,28-18,20,3,5,0,1,0,3,7,0.35,4,0,8,0,0.36,1,1,2-2,View Bio
12.0,"Nelson, Emma 12 Nelson, Emma",0.242,0.656,29-29,66,10,16,0,1,0,8,18,0.273,13,2,16,0,0.383,0,5,3-4,View Bio
22.0,"Webb, Mary 22 Webb, Mary",0.222,0.635,24-24,63,8,14,2,0,1,6,19,0.302,11,0,23,0,0.333,1,0,0-0,View Bio
5.0,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",0.203,0.617,23-23,59,9,12,2,0,1,6,17,0.288,8,3,17,0,0.329,0,2,1-2,View Bio
1.0,"Nesbeth, Bella 1 Nesbeth, Bella",0.0,0.0,3-0,3,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
,Totals,0.327,0.855,44-44,1180,262,386,64,19,13,227,527,0.447,146,25,182,6,0.408,13,18,44-52,
,Opponents,0.296,0.745,44-44,1083,150,321,57,5,13,140,427,0.394,75,19,159,11,0.351,5,25,35-46,
