Statistic,High,Opponent
INNINGS PITCHED,8.0,Illinois Col. (5/13/2023)
RUNS ALLOWED,16.0,Wis.-Eau Claire (3/5/2023)
EARNED RUNS,13.0,Wis.-Eau Claire (3/5/2023)
WALKS ALLOWED,5.0,Wis.-Eau Claire (3/5/2023); Wis.-La Crosse (5/19/2023)
STRIKEOUTS,8.0,North Central (MN) (3/4/2023)
HITS ALLOWED,17.0,Central College (3/28/2023)
DOUBLES ALLOWED,7.0,Wis.-Eau Claire (3/5/2023)
TRIPLES ALLOWED,1.0,Bates (3/19/2023); Illinois Col. (5/12/2023); Oberlin (3/20/2023); Wis.-Whitewater (3/23/2023); Central College (3/28/2023)
HOME RUNS ALLOWED,4.0,Simpson (4/5/2023)
WILD PITCHES,3.0,Coe (4/25/2023)
HIT BATTERS,3.0,Graceland (IA) (4/11/2023)
