Statistic,High,Player,Opponent
INNINGS PITCHED,7.0,Christin Hartman; Kathryn Vermeulen; C. Hartman; K. Vermeulen,Bates (3/19/2023); Wis.-Eau Claire (3/21/2023); Buffalo State (3/24/2023); Lake Forest (4/15/2023); Coe (4/25/2023)
RUNS ALLOWED,13.0,Christin Hartman,Wis.-Eau Claire (3/5/2023)
EARNED RUNS,10.0,Christin Hartman; Kathryn Vermeulen,Wis.-Eau Claire (3/5/2023); Luther (3/5/2023)
WALKS ALLOWED,4.0,Christin Hartman; K. Vermeulen; Kathryn Vermeulen,Bates (3/19/2023); Coe (4/25/2023); Wis.-La Crosse (5/19/2023)
STRIKEOUTS,7.0,Maddy O'Bryan; Kathryn Vermeulen; K. Vermeulen,North Central (MN) (3/4/2023); Wis.-Eau Claire (3/21/2023); Monmouth (Ill.) (4/1/2023); St. Lawrence (3/19/2023)
HITS ALLOWED,12.0,Christin Hartman,Central College (3/28/2023)
DOUBLES ALLOWED,4.0,Christin Hartman; Kathryn Vermeulen; C. Hartman,Wis.-Eau Claire (3/5/2023); Luther (3/5/2023); Central College (3/28/2023); Illinois Col. (4/30/2023)
TRIPLES ALLOWED,1.0,Christin Hartman; C. Hartman; Maddy O'Bryan; Emma Trani,Bates (3/19/2023); Illinois Col. (5/12/2023); Oberlin (3/20/2023); Wis.-Whitewater (3/23/2023); Central College (3/28/2023)
HOME RUNS ALLOWED,3.0,Maddy O'Bryan,Simpson (4/5/2023)
WILD PITCHES,3.0,K. Vermeulen,Coe (4/25/2023)
HIT BATTERS,2.0,Kathryn Vermeulen; C. Hartman; E. Trani,Luther (3/5/2023); Graceland (IA) (4/11/2023); Graceland (IA) (4/11/2023)
