Statistic,High,Player,Opponent
AT BATS,5,K. Anson; E. DiGiacomo Zahller; Amanda Ramirez; Kami Anson,Illinois Col. (5/13/2023); Oberlin (3/20/2023); Simpson (4/5/2023); Lawrence University (4/22/2023)
RUNS SCORED,3,E. DiGiacomo Zahller; A. Ramirez; Amanda Ramirez; K. Anson,Macalester College (3/4/2023); Buffalo State (3/24/2023); Beloit (4/23/2023); Cornell College (4/29/2023); Illinois Col. (5/12/2023)
HITS,3,E. DiGiacomo Zahller; Samantha Chu; A. Ramirez,Macalester College (3/4/2023); Wis.-Eau Claire (3/5/2023); Bates (3/19/2023); Old Westbury (3/20/2023); Buffalo State (3/24/2023)
RBIS,4,Samantha Chu; S. Chu; Amanda Ramirez; Kyra Killion; K. Anson,Beloit (4/23/2023); Cornell College (4/29/2023); Middlebury (3/24/2023); Simpson (4/5/2023); Ripon (5/6/2023)
DOUBLES,2,Samantha Chu; S. Chu,Beloit (4/23/2023); Cornell College (4/29/2023)
TRIPLES,1,Hannah Dykstra; Samantha Chu; Anne Becker; S. Chu; A. Ramirez,North Central (MN) (3/4/2023); Bates (3/19/2023); Old Westbury (3/20/2023); Monmouth (Ill.) (4/1/2023); Beloit (4/23/2023)
HOME RUNS,1,Taylor Durak; Jasmine Oda; T. Durak,North Central (MN) (3/4/2023); Bates (3/19/2023); Old Westbury (3/20/2023); Buffalo State (3/24/2023); Beloit (4/23/2023)
WALKS,3,K. Vermeulen; Taylor Durak,Cornell College (4/29/2023); Central College (5/18/2023)
STRIKEOUTS,3,T. Durak; L. Vermeulen; Lizzy Vermeulen,Illinois Col. (5/13/2023); Graceland (IA) (4/11/2023); Lawrence University (4/22/2023)
SAC HITS,2,A. Ramirez,St. Olaf (3/23/2023)
SAC FLIES,1,Samantha Chu; Mary Webb; S. Chu; S. Dicarlo; T. Durak,North Central (MN) (3/4/2023); Wis.-Eau Claire (3/21/2023); Monmouth (Ill.) (4/1/2023); Beloit (4/23/2023); Cornell College (4/29/2023)
STOLEN BASES,2,Alexa Okada; Hannah Dykstra; Amanda Ramirez,Macalester College (3/4/2023); Old Westbury (3/20/2023); Oberlin (3/20/2023)
HIT BY PITCH,2,Alexa Okada; L. Vermeulen; A. Ramirez,Wis.-Eau Claire (3/21/2023); Beloit (4/23/2023); Illinois Col. (5/12/2023)
CAUGHT STEALING,1,Lizzy Vermeulen; Alexa Okada; Kami Anson,Old Westbury (3/20/2023); Wis.-Eau Claire (3/21/2023); Beloit (4/23/2023); Knox (4/2/2023); Simpson (4/5/2023)
HIT INTO DP,1,Samantha Chu; Kyra Killion; Amanda Ramirez; T. Durak; S. Dicarlo,Macalester College (3/4/2023); Wis.-Eau Claire (3/5/2023); Old Westbury (3/20/2023); Buffalo State (3/24/2023); Monmouth (Ill.) (4/1/2023)
