Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
3/4/2023,vs,North Central (MN),W,11-1,25,11,14,11,3,3,2,0,0,0,0,0,0,1,0,1,15,4,1,0.56
3/4/2023,vs,Macalester College,W,7-1,26,7,12,5,2,0,0,4,0,3,0,0,1,0,2,3,21,9,2,0.462
3/5/2023,vs,Wis.-Eau Claire,L,2-16,22,2,7,2,1,0,0,1,0,2,0,0,1,0,1,2,15,7,1,0.318
3/5/2023,vs,Luther,L,1-12,20,1,3,1,1,0,0,3,0,1,0,0,0,1,0,5,12,11,1,0.15
3/19/2023,vs,Bates,W,7-1,32,7,13,7,1,1,2,1,0,1,0,0,0,0,0,6,21,5,0,0.406
3/19/2023,vs,St. Lawrence,W,3-2,26,3,5,3,4,0,0,0,0,0,0,0,0,0,0,6,21,7,1,0.192
3/20/2023,vs,Oberlin,W,11-7,34,11,11,9,1,3,1,4,0,7,0,0,1,0,0,4,21,11,2,0.324
3/20/2023,vs,Old Westbury,W,9-1,25,9,14,8,1,2,1,2,0,3,1,2,0,0,0,0,15,8,1,0.56
3/21/2023,vs,Wis.-Eau Claire,L,3-5,28,3,10,3,1,0,0,5,0,0,1,2,1,1,0,9,21,6,0,0.357
3/21/2023,vs,Colby,W,5-3,29,5,6,1,3,0,0,5,0,0,0,0,1,0,0,4,21,11,0,0.207
3/23/2023,vs,St. Olaf,L,3-5,22,3,3,2,1,0,0,10,0,0,0,1,2,0,0,4,21,9,0,0.136
3/23/2023,vs,Wis.-Whitewater,L,2-4,26,2,5,2,0,0,0,0,0,0,0,1,0,0,0,10,18,11,1,0.192
3/24/2023,at,Middlebury,W,8-0,30,8,13,7,1,1,0,1,0,3,0,0,2,0,1,4,18,9,0,0.433
3/24/2023,vs,Buffalo State,W,7-1,26,7,11,6,2,0,1,4,0,3,0,0,1,0,0,2,21,8,1,0.423
3/28/2023,at,Central College,L,1-15,19,1,4,1,2,0,0,2,1,0,0,0,0,0,0,2,12,5,6,0.211
3/28/2023,at,Central College,L,5-6,32,5,11,5,3,0,0,3,1,0,0,1,0,0,0,4,18,12,0,0.344
4/1/2023,,Monmouth (Ill.),W,8-0,30,8,12,6,0,0,0,5,0,2,0,0,0,1,0,4,18,5,0,0.4
4/1/2023,,Monmouth (Ill.),W,8-0,21,8,13,7,0,1,0,5,0,0,0,0,0,0,0,3,15,7,0,0.619
4/2/2023,at,Knox,W,9-0,32,9,14,6,3,0,0,2,0,1,1,2,1,0,0,1,18,6,0,0.438
4/2/2023,at,Knox,W,12-2,31,12,14,10,4,0,1,2,0,2,0,0,0,0,0,3,15,7,0,0.452
4/5/2023,at,Simpson,L,2-3,31,2,9,2,1,0,1,2,0,1,0,0,1,0,0,6,18,10,2,0.29
4/5/2023,at,Simpson,W,10-8,34,10,12,10,0,0,1,5,0,1,1,0,0,0,0,5,21,10,1,0.353
4/11/2023,at,Graceland (IA),L,0-4,21,0,1,0,0,0,0,5,0,1,0,0,1,0,0,8,18,3,0,0.048
4/11/2023,at,Graceland (IA),L,0-3,24,0,2,0,0,1,0,0,0,1,1,0,0,0,1,5,18,9,0,0.083
4/15/2023,,Lake Forest,W,7-6,26,7,6,7,2,0,0,5,0,0,0,0,0,0,0,5,21,9,0,0.231
4/15/2023,,Lake Forest,W,3-0,25,3,6,3,1,0,0,6,0,0,0,1,0,0,0,3,21,8,0,0.24
4/22/2023,at,Lawrence University,W,9-0,30,9,11,9,3,0,0,5,0,2,0,1,0,2,0,4,21,8,0,0.367
4/22/2023,at,Lawrence University,W,3-0,24,3,6,2,0,0,0,2,0,0,1,1,1,1,0,1,21,10,0,0.25
4/23/2023,,Beloit,W,8-0,20,8,7,7,2,2,0,3,0,2,0,3,0,1,0,1,15,6,0,0.35
4/23/2023,,Beloit,W,12-4,30,12,13,11,2,2,2,4,0,1,1,2,0,0,0,3,18,9,1,0.433
4/25/2023,,Coe,L,2-9,26,2,6,2,2,0,0,2,0,0,0,2,1,0,0,7,21,7,0,0.231
4/25/2023,,Coe,W,5-2,28,5,9,5,0,0,0,6,0,1,0,0,1,0,1,7,21,7,1,0.321
4/29/2023,,Cornell College,W,5-3,23,5,6,4,1,0,0,2,0,2,0,0,0,1,0,4,21,13,1,0.261
