#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
12.0,"Nelson, Emma 12 Nelson, Emma",37,35,2,0,1.0,0,0,0,0,0,View Bio
11.0,"Vermeulen, Kathryn 11 Vermeulen, Kathryn",28,7,21,0,1.0,0,11,2,0,0,View Bio
15.0,"Hartman, Christin 15 Hartman, Christin",19,5,14,0,1.0,1,16,6,0,0,View Bio
19.0,"O'Bryan, Maddy 19 O'Bryan, Maddy",8,2,6,0,1.0,1,6,3,0,0,View Bio
14.0,"Trani, Emma 14 Trani, Emma",2,0,2,0,1.0,0,2,0,0,0,View Bio
18.0,"DiCarlo, Sofia 18 DiCarlo, Sofia",2,2,0,0,1.0,0,0,0,0,0,View Bio
8.0,"Kohler, Lane 8 Kohler, Lane",2,0,2,0,1.0,0,0,0,0,0,View Bio
22.0,"Webb, Mary 22 Webb, Mary",145,139,5,1,0.993,6,0,0,0,0,View Bio
17.0,"Oda, Jasmine 17 Oda, Jasmine",133,126,6,1,0.992,9,0,0,0,0,View Bio
13.0,"Killion, Kyra 13 Killion, Kyra",104,86,17,1,0.99,1,24,7,5,0,View Bio
2.0,"Okada, Alexa 2 Okada, Alexa",160,88,67,5,0.969,10,0,0,0,0,View Bio
5.0,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",93,85,5,3,0.968,0,11,3,3,0,View Bio
4.0,"Dykstra, Hannah 4 Dykstra, Hannah",30,27,2,1,0.967,0,0,0,0,0,View Bio
26.0,"Anson, Kambria 26 Anson, Kambria",58,56,0,2,0.966,0,0,0,0,0,View Bio
3.0,"DiGiacomo-Zahller, Emma 3 DiGiacomo-Zahller, Emma",52,42,8,2,0.962,1,0,0,0,0,View Bio
10.0,"Ramirez, Amanda 10 Ramirez, Amanda",192,66,118,8,0.958,10,0,0,0,0,View Bio
23.0,"Durak, Taylor 23 Durak, Taylor",14,12,1,1,0.929,0,0,0,0,0,View Bio
88.0,"Chu, Samantha 88 Chu, Samantha",125,38,78,9,0.928,4,0,0,0,0,View Bio
1.0,"Nesbeth, Bella 1 Nesbeth, Bella",0,0,0,0,0.0,0,0,0,0,0,View Bio
20.0,"Becker, Anne 20 Becker, Anne",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,1204,816,354,34,0.972,17,70,21,8,0,
,Opponents,1139,798,269,72,0.937,12,88,16,8,0,
