Player,2,3,4,5+,Total
"Durak, Taylor",14,3,-,-,17
"Anson, Kambria",14,2,-,-,16
"Chu, Samantha",11,4,-,-,15
"DiGiacomo-Zahller, Emma",11,3,-,-,14
"Ramirez, Amanda",11,3,-,-,14
"Okada, Alexa",7,3,-,-,10
"Oda, Jasmine",4,1,-,-,5
"Nelson, Emma",3,1,-,-,4
"Killion, Kyra",4,-,-,-,4
"Dykstra, Hannah",2,1,-,-,3
"Webb, Mary",2,1,-,-,3
"Vermeulen, Lizzy",2,-,-,-,2
"DiCarlo, Sofia",1,-,-,-,1
TEAM,86,22,0,0,108
