Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Snyder, Joey",SR-4,12.63m,"41' 5.25""",Mid-West Conference Championship,"Feb 26, 2010"
,"McCoy, Curtis",SR-4,10.99m,"36' 0.75""",Mid-West Conference Championship,"Feb 26, 2010"
,"Adams, Malcolm",,10.60m,"34' 9.5""",Mid-West Conference Championship,"Feb 26, 2010"
